ID,ticker,Year,Quarter,Date,negative,positive,uncertainty,litigious,constraining,strong_modal_positive,strong_modal_negative,strong_modal_uncertainty,strong_modal_litigious,strong_modal_constraining,weak_modal_positive,weak_modal_negative,weak_modal_uncertainty,weak_modal_litigious,weak_modal_constraining,strong_modal_raw_count,weak_modal_raw_count,NSS,WSS,Overall_Sentiment_Score,binary_sentiment,start_stock_price,end_stock_price,price_gap,Dividend_Yield,ROE
2006_Q1,EL,2006,1,2005-11-01 18:47:01,69,65,42,0,2,0,0,0,0,0,0,0,0,0,0,24,5,-0.0298507460458899,-0.6666666666666666,-31.3,neutral,16.510000228881836,16.565000534057617,0.0550003051757812,1.21%,0.231
2005_Q3,CMCSA,2005,3,2005-11-16 15:11:37,20,68,30,2,3,0,0,0,0,0,0,0,0,0,0,24,11,0.5454545392561985,8.0,24.6,positive,8.699999809265137,8.916666984558105,0.2166671752929687,,0.017
2006_Q1,CSCO,2006,1,2005-11-21 22:16:50,56,117,121,6,11,0,0,0,0,0,0,0,0,0,0,75,15,0.3526011540312072,10.166666666666666,-24.5,positive,17.059999465942383,17.639999389648438,0.5799999237060547,,0.234
2006_Q1,COST,2006,1,2005-12-12 19:54:54,27,60,30,4,2,0,0,0,0,0,0,0,0,0,0,30,7,0.3793103404676972,5.5,8.3,positive,48.68000030517578,49.97999954223633,1.2999992370605469,.921%,0.126
2005_Q4,ADBE,2005,4,2005-12-20 17:54:08,20,77,37,5,7,0,0,0,0,0,0,0,0,0,0,42,2,0.5876288599213519,9.5,23.9,positive,38.06999969482422,36.959999084472656,-1.1100006103515625,,0.354
2005_Q4,IBM,2005,4,2006-01-18 09:01:51,107,177,62,9,7,0,0,0,0,0,0,0,0,0,0,37,30,0.2464788723715532,11.666666666666666,20.6,positive,80.1147232055664,77.72466278076172,-2.3900604248046875,.984%,0.251
2005_Q4,EBAY,2005,4,2006-01-19 09:25:00,54,201,63,6,5,0,0,0,0,0,0,0,0,0,0,38,30,0.5764705859746252,24.5,99.4,positive,19.68434333801269,18.038721084594727,-1.6456222534179688,,0.142
2006_Q1,AAPL,2006,1,2006-01-19 13:53:17,81,93,88,1,3,0,0,0,0,0,0,0,0,0,0,27,52,0.0689655168450257,2.0,-44.6,neutral,2.822856903076172,2.693571090698242,-0.1292858123779297,,0.208
2005_Q4,TXN,2005,4,2006-01-24 16:12:21,145,148,120,5,19,0,0,0,0,0,0,0,0,0,0,69,59,0.0102389078148842,0.5,-88.7,neutral,30.690000534057617,30.540000915527344,-0.1499996185302734,.411%,0.165
2005_Q4,MCD,2005,4,2006-01-26 16:45:53,77,213,98,6,19,0,0,0,0,0,0,0,0,0,0,67,49,0.4689655156242568,22.666666666666668,56.2,positive,34.939998626708984,36.36000061035156,1.420001983642578,1.91%,0.16
