ID,Year,Quarter,Date,negative,positive,uncertainty,litigious,constraining,strong_modal_positive,strong_modal_negative,strong_modal_uncertainty,strong_modal_litigious,strong_modal_constraining,weak_modal_positive,weak_modal_negative,weak_modal_uncertainty,weak_modal_litigious,weak_modal_constraining,strong_modal_raw_count,weak_modal_raw_count
2021_Q1,2021,1,2021-01-28 01:49:07,62,156,73,2,14,0,0,0,0,0,0,0,0,0,0,46,37
2020_Q4,2020,4,2020-10-30 03:41:57,55,157,49,6,21,0,0,0,0,0,0,0,0,0,0,39,26
2020_Q3,2020,3,2020-07-31 03:36:08,66,147,66,6,13,0,0,0,0,0,0,0,0,0,0,60,36
2020_Q2,2020,2,2020-05-01 01:52:14,85,119,55,1,6,0,0,0,0,0,0,0,0,0,0,48,32
2020_Q1,2020,1,2020-01-29 02:36:45,50,128,38,3,9,0,0,0,0,0,0,0,0,0,0,50,23
2019_Q4,2019,4,2019-10-31 02:28:09,55,177,68,2,10,0,0,0,0,0,0,0,0,0,0,47,46
2019_Q3,2019,3,2019-07-31 02:27:12,42,146,37,3,6,0,0,0,0,0,0,0,0,0,0,46,27
2019_Q2,2019,2,2019-04-30 23:55:13,57,151,42,7,8,0,0,0,0,0,0,0,0,0,0,47,18
2019_Q1,2019,1,2019-01-30 02:06:07,58,132,64,4,8,0,0,0,0,0,0,0,0,0,0,48,34
2018_Q4,2018,4,2018-11-02 00:48:27,38,147,52,2,6,0,0,0,0,0,0,0,0,0,0,47,29
2018_Q3,2018,3,2018-08-01 00:40:13,51,142,65,2,10,0,0,0,0,0,0,0,0,0,0,55,40
2018_Q2,2018,2,2018-05-02 00:36:18,42,159,70,2,4,0,0,0,0,0,0,0,0,0,0,43,45
2018_Q1,2018,1,2018-02-02 01:59:07,40,122,59,8,8,0,0,0,0,0,0,0,0,0,0,40,39
2017_Q4,2017,4,2017-11-03 00:47:20,40,165,59,2,5,0,0,0,0,0,0,0,0,0,0,42,40
2017_Q3,2017,3,2017-08-02 00:17:06,49,151,84,7,11,0,0,0,0,0,0,0,0,0,0,46,53
2017_Q2,2017,2,2017-05-03 00:14:35,46,161,66,8,8,0,0,0,0,0,0,0,0,0,0,37,36
2017_Q1,2017,1,2017-02-01 01:28:21,52,175,51,9,9,0,0,0,0,0,0,1,0,0,0,35,36
