ID,Year,Quarter,Date,negative,positive,uncertainty,litigious,constraining,strong_modal_positive,strong_modal_negative,strong_modal_uncertainty,strong_modal_litigious,strong_modal_constraining,weak_modal_positive,weak_modal_negative,weak_modal_uncertainty,weak_modal_litigious,weak_modal_constraining,strong_modal_raw_count,weak_modal_raw_count
2020_Q4,2020,4,2021-02-04 00:59:09,120,218,165,27,13,0,0,0,0,0,0,0,0,0,0,88,54
2020_Q3,2020,3,2020-10-30 20:18:17,112,232,113,15,8,0,0,0,0,0,0,0,0,0,0,109,48
2020_Q2,2020,2,2020-07-31 19:59:11,104,298,134,10,9,0,0,0,0,0,0,0,0,0,0,85,46
2020_Q1,2020,1,2020-05-01 19:27:53,146,162,146,11,19,0,0,0,0,0,0,0,0,0,0,84,39
2020_Q0,2020,0,2020-01-15 19:22:17,16,79,46,0,4,0,0,0,0,0,0,0,0,0,0,51,20
2019_Q4,2019,4,2020-02-07 18:36:46,101,196,119,12,6,0,0,0,0,0,0,0,0,0,0,101,35
2019_Q3,2019,3,2019-11-01 19:45:10,89,175,73,15,8,0,0,0,0,0,0,0,0,0,0,49,24
2019_Q-1,2019,-1,2019-03-12 16:14:08,19,95,55,6,4,0,0,0,0,0,0,0,0,0,0,34,27
2019_Q2,2019,2,2019-07-26 17:56:58,97,156,115,19,7,0,0,0,0,0,0,0,0,0,0,69,43
2019_Q1,2019,1,2019-04-25 22:11:10,99,173,85,13,9,0,0,0,0,0,0,0,0,0,0,62,25
2019_Q0,2019,0,2019-01-09 21:27:30,10,93,17,6,9,0,0,0,0,0,0,0,0,0,0,31,1
2018_Q4,2018,4,2019-01-25 18:52:18,82,123,122,19,12,0,0,0,0,0,0,0,0,0,0,58,39
2018_Q-1,2018,-1,2018-11-27 20:25:24,29,85,39,3,5,0,0,0,0,0,0,0,0,0,0,42,26
2018_Q3,2018,3,2018-11-02 16:23:27,71,160,88,18,8,0,0,0,0,0,0,0,0,0,0,92,30
2018_Q0,2018,0,2018-09-12 19:19:10,34,52,57,20,1,0,0,0,0,0,0,0,0,0,0,25,40
2018_Q2,2018,2,2018-07-27 21:46:59,91,214,91,28,18,0,0,0,0,0,0,0,0,0,0,50,26
2018_Q1,2018,1,2018-04-26 18:04:21,104,199,99,25,13,0,0,0,0,0,0,0,0,0,0,101,37
2017_Q4,2017,4,2018-01-26 21:18:06,52,193,94,30,11,0,0,0,0,0,0,1,0,0,0,92,33
2017_Q3,2017,3,2017-10-27 18:12:06,128,281,110,40,18,0,0,0,0,0,0,0,0,0,0,137,45
2017_Q2,2017,2,2017-07-28 22:38:23,112,194,103,39,11,0,0,0,0,0,0,0,0,0,0,114,44
2017_Q1,2017,1,2017-04-27 19:34:39,113,209,98,30,8,0,0,0,0,0,0,0,0,0,0,102,42
2016_Q4,2016,4,2017-01-27 19:31:15,100,150,116,27,19,0,0,0,0,0,0,0,0,0,0,82,51
2016_Q3,2016,3,2016-10-28 18:47:11,83,171,99,31,13,0,0,0,0,0,0,0,0,0,0,97,46
2016_Q2,2016,2,2016-07-29 20:04:23,97,251,113,22,13,0,0,0,0,0,0,0,0,0,0,97,43
2016_Q1,2016,1,2016-04-29 05:36:22,93,234,116,11,17,0,0,0,0,0,0,0,0,0,0,103,48
2015_Q4,2015,4,2016-01-29 18:50:13,108,157,127,40,11,0,0,0,0,0,0,0,0,0,0,86,45
2015_Q3,2015,3,2015-10-30 23:38:12,153,242,189,68,24,0,0,0,0,0,0,0,0,0,0,140,60
2015_Q2,2015,2,2015-07-24 18:17:10,90,210,104,33,8,0,0,0,0,0,0,0,0,0,0,69,50
2015_Q1,2015,1,2015-04-23 21:30:10,111,203,107,22,24,0,0,0,0,0,0,0,0,0,0,92,39
2015_Q-1,2015,-1,2015-03-05 21:41:17,67,168,92,17,11,0,0,0,0,0,0,0,0,0,0,65,32
2014_Q4,2014,4,2015-01-30 20:44:14,67,179,85,49,16,0,0,0,0,0,0,0,0,0,0,77,35
2014_Q3,2014,3,2014-10-31 19:29:15,104,165,80,15,14,0,0,0,0,0,0,0,0,0,0,39,36
2014_Q2,2014,2,2014-07-25 15:58:12,15,56,18,5,3,0,0,0,0,0,0,0,0,0,0,10,8
2014_Q1,2014,1,2014-04-25 18:44:09,92,126,82,13,14,0,0,0,0,0,0,0,0,0,0,48,36
2014_Q-1,2014,-1,2014-03-05 18:57:07,59,69,31,3,7,0,0,0,0,0,0,0,0,0,0,38,18
2013_Q4,2013,4,2014-01-31 16:51:14,69,158,67,10,13,0,0,0,0,0,0,0,0,0,0,40,29
2013_Q3,2013,3,2013-10-25 16:30:05,98,167,74,8,8,0,0,0,0,0,0,0,0,0,0,43,35
2013_Q-1,2013,-1,2013-03-13 23:56:19,44,40,50,4,5,0,0,0,0,0,0,0,0,0,0,59,26
2013_Q2,2013,2,2013-07-26 17:10:06,75,109,75,11,13,0,0,0,0,0,0,0,0,0,0,38,31
2013_Q0,2013,0,2013-06-13 23:59:05,38,101,41,3,7,0,0,0,0,0,0,0,0,0,0,32,24
2013_Q1,2013,1,2013-04-26 16:01:16,99,121,81,14,7,0,0,0,0,0,0,0,0,0,0,39,37
