ID,Year,Quarter,Date,negative,positive,uncertainty,litigious,constraining,strong_modal_positive,strong_modal_negative,strong_modal_uncertainty,strong_modal_litigious,strong_modal_constraining,weak_modal_positive,weak_modal_negative,weak_modal_uncertainty,weak_modal_litigious,weak_modal_constraining,strong_modal_raw_count,weak_modal_raw_count
2020_Q4,2020,4,2021-01-27 17:58:06,60,173,104,6,8,0,0,0,0,0,0,0,0,0,0,24,53
2020_Q3,2020,3,2020-10-21 19:08:07,74,169,62,5,6,0,0,0,0,0,0,0,0,0,0,58,44
2020_Q2,2020,2,2020-07-16 17:54:09,96,140,98,5,15,0,0,0,0,0,0,0,0,0,0,32,49
2020_Q1,2020,1,2020-04-16 17:19:08,97,113,81,4,20,0,0,0,0,0,0,0,0,0,0,39,50
2019_Q4,2019,4,2020-01-22 21:43:08,74,215,59,8,4,0,0,0,0,0,0,0,0,0,0,71,40
2019_Q3,2019,3,2019-10-16 18:43:14,73,188,67,10,7,0,0,0,0,0,0,0,0,0,0,46,41
2019_Q2,2019,2,2019-07-17 19:42:26,78,172,67,9,5,0,0,0,0,0,0,0,0,0,0,63,37
2019_Q1,2019,1,2019-04-17 17:19:07,87,151,54,10,10,0,0,0,0,0,0,0,0,0,0,43,37
2018_Q4,2018,4,2019-01-23 19:36:09,70,199,82,11,19,0,0,0,0,0,0,0,0,0,0,30,48
2018_Q3,2018,3,2018-10-17 18:21:48,71,152,60,15,7,0,0,0,0,0,0,0,0,0,0,75,35
2018_Q2,2018,2,2018-07-18 21:18:10,88,216,61,15,8,0,0,0,0,0,0,0,0,0,0,69,25
2018_Q1,2018,1,2018-04-18 18:05:09,71,167,71,20,8,0,0,0,0,0,0,0,0,0,0,54,42
2018_Q0,2018,0,2018-01-09 03:50:09,6,97,11,3,1,0,0,0,0,0,1,0,0,0,0,7,6
2017_Q4,2017,4,2018-01-24 19:04:09,100,226,63,17,7,0,0,0,0,0,0,0,0,0,0,42,24
2017_Q3,2017,3,2017-10-18 19:33:09,72,146,61,13,7,0,0,0,0,0,0,0,0,0,0,61,31
2017_Q2,2017,2,2017-07-20 17:37:08,81,134,73,20,13,0,0,0,0,0,0,0,0,0,0,60,37
2017_Q1,2017,1,2017-04-19 17:47:09,109,167,90,19,10,0,0,0,0,0,0,0,0,0,0,52,36
2017_Q-1,2017,-1,2017-01-11 03:26:15,8,99,7,1,3,0,0,0,0,0,1,0,0,0,0,19,4
2016_Q4,2016,4,2017-01-25 17:44:09,85,159,87,12,4,0,0,0,0,0,0,0,0,0,0,52,40
2016_Q3,2016,3,2016-10-19 15:54:19,72,130,52,19,9,0,0,0,0,0,0,0,0,0,0,59,31
2016_Q-1,2016,-1,2016-09-07 18:54:09,32,93,38,3,2,0,0,0,0,0,0,0,0,0,0,51,22
2016_Q2,2016,2,2016-07-20 18:54:30,89,131,88,8,7,0,0,0,0,0,0,0,0,0,0,66,37
2016_Q1,2016,1,2016-04-20 17:28:18,60,122,58,7,14,0,0,0,0,0,0,0,0,0,0,41,36
2015_Q4,2015,4,2016-01-28 21:21:15,108,181,107,17,16,0,0,0,0,0,0,0,0,0,0,64,49
2015_Q3,2015,3,2015-10-21 17:04:06,78,192,72,10,10,0,0,0,0,0,0,0,0,0,0,70,43
2015_Q2,2015,2,2015-07-22 20:16:10,95,152,87,8,12,0,0,0,0,0,0,0,0,0,0,53,44
2015_Q1,2015,1,2015-04-22 18:27:06,72,245,90,12,12,0,0,0,0,0,0,0,0,0,0,56,53
2015_Q0,2015,0,2015-03-03 20:22:12,3,62,12,0,1,0,0,0,0,0,0,0,0,0,0,8,11
2014_Q4,2014,4,2015-01-29 22:15:15,96,263,112,10,9,0,0,0,0,0,0,0,0,0,0,70,53
2014_Q-1,2014,-1,2014-11-11 22:20:09,8,88,14,0,2,0,0,0,0,0,0,0,0,0,0,22,9
2014_Q3,2014,3,2014-10-22 19:05:08,91,212,82,10,15,0,0,1,0,0,0,0,0,0,0,61,39
2014_Q2,2014,2,2014-07-16 18:14:05,95,167,70,10,8,0,0,0,0,0,0,0,0,0,0,62,32
2014_Q0,2014,0,2014-06-12 01:17:05,2,58,7,0,2,0,0,0,0,0,0,0,0,0,0,16,3
