ID,Year,Quarter,Date,negative,positive,uncertainty,litigious,constraining,strong_modal_positive,strong_modal_negative,strong_modal_uncertainty,strong_modal_litigious,strong_modal_constraining,weak_modal_positive,weak_modal_negative,weak_modal_uncertainty,weak_modal_litigious,weak_modal_constraining,strong_modal_raw_count,weak_modal_raw_count
2021_Q1,2021,1,2020-12-17 16:56:10,63,173,55,3,8,0,0,0,0,0,0,0,0,0,0,35,18
2020_Q4,2020,4,2020-09-24 17:56:45,83,131,69,1,17,0,0,0,0,0,0,0,0,0,0,47,17
2020_Q3,2020,3,2020-06-25 17:06:51,84,136,75,3,22,0,0,0,0,0,0,0,0,0,0,38,29
2020_Q2,2020,2,2020-03-19 18:28:11,96,149,90,5,13,0,0,0,0,0,0,0,0,0,0,55,45
2020_Q1,2020,1,2019-12-19 17:42:38,47,187,51,0,4,0,0,0,0,0,0,0,0,0,0,48,27
2019_Q4,2019,4,2019-09-26 15:56:08,62,137,53,4,7,0,0,0,0,0,0,0,0,0,0,42,26
2019_Q3,2019,3,2019-06-27 18:25:42,59,173,68,6,5,0,0,0,0,0,0,0,0,0,0,52,24
2019_Q2,2019,2,2019-03-28 17:12:19,58,149,69,3,5,0,0,0,0,0,0,0,0,0,0,48,29
2019_Q1,2019,1,2018-12-20 20:11:38,74,192,93,8,6,0,0,0,0,0,0,0,0,0,0,32,45
2018_Q4,2018,4,2018-09-27 17:01:53,54,155,80,6,5,0,0,0,0,0,0,0,0,0,0,40,39
2018_Q3,2018,3,2018-06-28 18:31:49,57,206,59,9,4,0,0,0,0,0,0,0,0,0,0,41,19
2018_Q2,2018,2,2018-03-22 20:33:05,46,164,68,19,4,0,0,0,0,0,0,0,0,0,0,43,34
2018_Q1,2018,1,2017-12-21 17:32:14,43,189,74,9,7,0,0,0,0,0,0,0,0,0,0,34,42
2017_Q4,2017,4,2017-09-28 19:02:27,49,152,90,5,7,0,0,0,0,0,0,0,1,0,0,54,42
2017_Q3,2017,3,2017-06-22 17:52:07,57,174,76,6,5,0,0,0,0,0,0,0,0,0,0,52,32
2017_Q2,2017,2,2017-03-23 17:18:21,63,185,71,10,7,0,0,0,0,0,0,0,0,0,0,56,34
2017_Q1,2017,1,2016-12-21 19:31:14,65,172,83,6,7,0,0,0,0,0,0,0,0,0,0,35,36
2016_Q4,2016,4,2016-09-29 17:55:06,57,178,98,3,4,0,0,0,0,0,0,0,1,0,0,53,42
2016_Q3,2016,3,2016-06-23 18:39:10,56,192,81,3,7,0,0,0,0,0,0,0,0,0,0,58,41
2016_Q2,2016,2,2016-03-24 18:32:12,78,170,68,3,4,0,0,0,0,0,0,0,0,0,0,33,27
2016_Q1,2016,1,2015-12-17 18:05:26,62,146,86,4,4,0,0,0,0,0,0,0,0,0,0,39,41
2015_Q4,2015,4,2015-09-24 15:26:11,63,163,93,5,12,0,0,0,0,0,0,0,1,0,0,51,39
2015_Q3,2015,3,2015-06-25 17:14:07,49,196,77,12,2,0,0,0,0,0,0,0,0,0,0,49,31
2015_Q2,2015,2,2015-03-26 17:11:19,58,177,85,13,4,0,0,0,0,0,0,0,0,0,0,52,36
2015_Q1,2015,1,2014-12-18 20:48:09,74,185,74,21,7,0,0,0,0,0,0,1,0,0,0,40,32
2014_Q4,2014,4,2014-09-24 19:18:06,38,185,78,12,6,0,0,0,0,0,0,0,0,0,0,63,38
2014_Q3,2014,3,2014-06-26 18:57:06,52,209,72,9,8,0,0,0,0,0,0,0,0,0,0,56,29
2014_Q2,2014,2,2014-03-27 18:56:04,62,168,104,25,4,0,0,0,0,0,0,0,0,0,0,68,31
2014_Q1,2014,1,2013-12-19 17:21:09,48,145,84,8,8,0,0,0,0,0,0,0,0,0,0,57,30
2013_Q-1,2013,-1,2013-10-08 18:01:08,62,135,90,9,7,0,0,0,0,0,0,0,0,0,0,66,40
2013_Q4,2013,4,2013-09-27 01:31:10,50,185,101,4,7,0,0,0,0,0,0,0,0,0,0,66,37
2013_Q3,2013,3,2013-06-28 00:01:45,86,154,100,27,10,0,0,0,0,0,0,0,0,0,0,60,35
2013_Q2,2013,2,2013-03-28 16:21:09,69,186,71,12,7,0,0,0,0,0,0,0,0,0,0,63,28
2013_Q1,2013,1,2012-12-20 01:21:07,69,155,69,19,6,0,0,0,0,0,0,0,0,0,0,62,24
2012_Q4,2012,4,2012-09-27 23:21:07,72,164,77,19,7,0,0,0,0,0,0,0,0,0,0,59,39
2012_Q3,2012,3,2012-06-29 00:21:09,63,141,77,16,7,0,0,0,0,0,0,0,0,0,0,59,26
2012_Q2,2012,2,2012-03-23 00:41:37,63,163,53,14,2,0,0,0,0,0,0,0,0,0,0,42,20
2012_Q1,2012,1,2011-12-16 01:41:10,70,144,91,23,8,0,0,0,0,0,0,0,0,0,0,40,44
2011_Q4,2011,4,2011-09-28 01:11:10,49,161,87,8,5,0,0,0,0,0,0,0,0,0,0,52,38
2011_Q3,2011,3,2011-06-24 01:31:21,67,162,100,15,4,0,0,0,0,0,0,0,0,0,0,53,46
2011_Q2,2011,2,2011-03-25 00:41:19,53,164,96,15,5,0,0,0,0,0,0,0,0,0,0,57,43
2010_Q3,2010,3,2010-06-25 02:19:15,61,153,73,11,8,0,0,0,0,0,0,0,0,0,0,52,27
2010_Q2,2010,2,2010-03-26 03:15:12,94,184,106,12,3,0,0,0,0,0,0,0,0,0,0,64,43
2010_Q1,2010,1,2009-12-18 03:43:11,81,180,86,13,3,0,0,0,0,0,0,0,0,0,0,35,27
2009_Q3,2009,3,2009-06-26 00:48:37,123,127,77,18,9,0,0,0,0,0,0,0,0,0,0,60,28
2009_Q2,2009,2,2009-03-26 23:15:17,131,156,84,10,6,0,0,0,0,0,0,0,0,0,0,59,38
2009_Q1,2009,1,2008-12-19 01:29:13,113,168,111,15,5,0,0,0,0,0,0,0,0,0,0,34,37
2008_Q4,2008,4,2008-09-26 03:47:20,94,168,73,5,7,0,0,0,0,0,0,0,0,0,0,35,25
2008_Q3,2008,3,2008-06-27 01:07:13,55,153,69,6,6,0,0,0,0,0,0,0,0,0,0,21,35
2008_Q2,2008,2,2008-03-28 03:27:10,91,155,97,19,4,0,0,0,0,0,0,0,0,0,0,34,53
2008_Q1,2008,1,2007-12-20 02:05:02,52,143,67,11,10,0,0,0,0,0,0,0,0,0,0,39,38
2007_Q4,2007,4,2007-09-28 02:52:07,61,179,74,10,2,0,0,0,0,0,0,0,0,0,0,46,29
