ID,Year,Quarter,Date,negative,positive,uncertainty,litigious,constraining,strong_modal_positive,strong_modal_negative,strong_modal_uncertainty,strong_modal_litigious,strong_modal_constraining,weak_modal_positive,weak_modal_negative,weak_modal_uncertainty,weak_modal_litigious,weak_modal_constraining,strong_modal_raw_count,weak_modal_raw_count
2020_Q4,2020,4,2020-12-10 20:17:01,100,610,136,10,21,0,0,0,0,0,0,0,0,0,0,123,49
2020_Q3,2020,3,2020-09-16 00:56:10,66,245,77,5,6,0,0,0,0,0,0,0,0,0,0,55,35
2020_Q-1,2020,-1,2020-06-23 00:05:12,30,117,12,4,5,0,0,0,0,0,0,0,0,0,0,18,9
2020_Q2,2020,2,2020-06-12 03:13:09,86,253,76,4,6,0,0,0,0,0,0,0,0,0,0,62,34
2020_Q1,2020,1,2020-03-13 03:39:38,58,190,81,1,16,0,0,0,0,0,0,0,0,0,0,75,34
2019_Q4,2019,4,2019-12-13 02:34:09,37,223,74,0,8,0,0,0,0,0,0,0,0,0,0,36,30
2019_Q3,2019,3,2019-09-18 02:20:12,55,213,73,2,7,0,0,0,0,0,0,0,0,0,0,47,35
2019_Q2,2019,2,2019-06-19 02:31:11,42,218,53,3,7,0,0,0,0,0,0,0,0,0,0,44,24
2019_Q1,2019,1,2019-03-15 02:29:23,52,227,79,4,12,0,0,0,0,0,0,0,0,0,0,37,34
2018_Q4,2018,4,2018-12-14 04:41:11,50,205,83,4,7,0,0,0,0,0,0,0,0,0,0,52,28
2018_Q-1,2018,-1,2018-09-05 16:55:07,32,122,52,0,1,0,0,0,0,0,0,0,0,0,0,10,39
2018_Q3,2018,3,2018-09-14 03:02:08,46,213,60,2,7,0,0,0,0,0,0,0,0,0,0,53,36
2018_Q2,2018,2,2018-06-15 01:03:11,60,226,66,6,9,0,0,0,0,0,0,0,0,0,0,38,22
2018_Q1,2018,1,2018-03-16 02:05:13,44,211,56,1,5,0,0,0,0,0,0,0,0,0,0,53,34
2017_Q4,2017,4,2017-12-15 03:07:07,43,220,68,2,4,0,0,0,0,0,0,0,0,0,0,52,29
2017_Q3,2017,3,2017-09-20 00:25:11,61,254,68,4,6,0,0,0,0,0,0,0,0,0,0,54,34
2017_Q2,2017,2,2017-06-21 00:31:09,46,197,61,3,5,0,0,0,0,0,0,0,0,0,0,40,30
2017_Q1,2017,1,2017-03-17 00:22:09,43,164,50,3,6,0,0,0,0,0,0,0,0,0,0,50,22
2016_Q4,2016,4,2016-12-16 03:20:07,56,246,72,4,6,0,0,0,0,0,0,0,0,0,0,44,22
2016_Q3,2016,3,2016-09-21 02:49:07,50,213,61,3,6,0,0,0,0,0,0,0,0,0,0,41,32
2016_Q2,2016,2,2016-06-22 03:17:15,50,158,56,4,5,0,0,0,0,0,0,0,0,0,0,34,29
2016_Q1,2016,1,2016-03-18 00:03:14,46,208,58,0,10,0,0,0,0,0,0,0,0,0,0,38,25
2015_Q4,2015,4,2015-12-11 01:23:13,61,238,74,6,8,0,0,0,0,0,0,0,0,0,0,38,30
2015_Q3,2015,3,2015-09-18 04:22:07,57,256,81,13,6,0,0,0,0,0,0,0,0,0,0,45,42
2015_Q2,2015,2,2015-06-17 03:50:06,50,273,61,0,4,0,0,0,0,0,0,0,0,0,0,55,26
2015_Q1,2015,1,2015-03-18 00:54:08,61,179,49,3,3,0,0,0,0,0,0,0,0,0,0,43,27
2014_Q3,2014,3,2014-09-17 00:43:14,48,224,65,14,5,0,0,0,0,0,0,0,0,0,0,38,37
2014_Q2,2014,2,2014-06-18 03:09:11,43,203,61,1,5,0,0,0,0,0,0,0,0,0,0,39,31
2014_Q1,2014,1,2014-03-19 03:49:11,42,181,50,6,1,0,0,0,0,0,0,0,0,0,0,56,21
2013_Q4,2013,4,2013-12-13 02:41:11,64,226,73,9,3,0,0,0,0,0,0,0,0,0,0,50,33
2013_Q-1,2013,-1,2013-02-26 22:01:10,39,101,39,4,6,0,0,0,0,0,0,0,0,0,0,52,20
2013_Q3,2013,3,2013-09-18 00:41:11,46,167,57,8,4,0,0,0,0,0,0,0,0,0,0,37,27
2013_Q2,2013,2,2013-06-19 01:01:43,50,185,62,5,6,0,0,0,0,0,0,0,0,0,0,58,32
2013_Q1,2013,1,2013-03-20 00:31:08,40,192,58,6,5,0,0,0,0,0,0,0,0,0,0,54,24
2012_Q4,2012,4,2012-12-14 03:11:11,38,221,107,9,4,0,0,0,0,0,0,0,0,0,0,75,35
2012_Q3,2012,3,2012-09-20 01:11:10,30,194,77,3,3,0,0,0,0,0,0,0,0,0,0,82,28
2012_Q2,2012,2,2012-06-20 00:51:11,53,139,63,6,6,0,0,0,0,0,0,0,0,0,0,54,31
2012_Q1,2012,1,2012-03-20 01:01:37,50,173,68,3,4,0,0,0,0,0,0,0,0,0,0,94,32
2011_Q4,2011,4,2011-12-16 02:21:14,34,165,58,4,2,0,0,0,0,0,0,0,0,0,0,71,25
2011_Q3,2011,3,2011-09-21 00:21:14,46,152,66,1,6,0,0,0,0,0,0,0,0,0,0,99,32
2011_Q2,2011,2,2011-06-22 05:31:22,55,141,41,4,9,0,0,0,0,0,0,0,0,0,0,79,17
2011_Q1,2011,1,2011-03-23 01:51:22,37,135,42,2,3,0,0,0,0,0,0,0,0,0,0,57,17
2010_Q4,2010,4,2010-12-21 07:42:24,57,218,53,4,3,0,0,0,0,0,0,0,0,0,0,52,25
2010_Q3,2010,3,2010-09-22 01:39:20,64,151,72,2,6,0,0,0,0,0,0,0,0,0,0,62,33
2010_Q2,2010,2,2010-06-23 19:46:27,63,170,68,10,5,0,0,0,0,0,0,0,0,0,0,81,22
2010_Q1,2010,1,2010-03-24 19:11:33,51,141,77,4,6,0,0,0,0,0,0,0,0,0,0,68,38
2009_Q4,2009,4,2009-12-16 02:52:11,88,216,101,12,8,0,0,0,0,0,0,0,0,0,0,107,45
2009_Q3,2009,3,2009-09-16 03:05:17,76,182,55,2,4,0,0,0,0,0,0,0,0,0,0,70,21
2009_Q2,2009,2,2009-06-17 01:01:48,45,130,61,1,4,0,0,0,0,0,0,0,0,0,0,50,37
2009_Q1,2009,1,2009-03-18 02:43:19,69,148,53,2,5,0,0,0,0,0,0,0,0,0,0,62,19
2008_Q4,2008,4,2008-12-17 02:10:16,60,139,66,7,4,0,0,0,0,0,0,0,0,0,0,55,31
2008_Q3,2008,3,2008-09-17 03:21:32,40,137,60,2,2,0,0,0,0,0,0,0,0,0,0,58,29
2008_Q2,2008,2,2008-06-17 01:56:32,34,144,59,2,5,0,0,0,0,0,0,0,0,0,0,26,28
2008_Q1,2008,1,2008-03-19 01:25:12,18,117,57,1,5,0,0,0,0,0,0,0,0,0,0,51,27
