ID,Year,Quarter,Date,negative,positive,uncertainty,litigious,constraining,strong_modal_positive,strong_modal_negative,strong_modal_uncertainty,strong_modal_litigious,strong_modal_constraining,weak_modal_positive,weak_modal_negative,weak_modal_uncertainty,weak_modal_litigious,weak_modal_constraining,strong_modal_raw_count,weak_modal_raw_count
2020_Q4,2020,4,2021-01-27 03:46:37,50,169,74,1,4,0,0,0,0,0,0,0,0,0,0,36,48
2020_Q3,2020,3,2020-10-27 16:25:08,48,216,63,1,3,0,0,0,0,0,0,0,0,0,0,67,27
2020_Q2,2020,2,2020-07-29 02:23:22,50,166,63,0,12,0,0,0,0,0,0,0,0,0,0,37,29
2020_Q-1,2020,-1,2020-01-07 04:48:10,9,182,30,3,6,0,0,0,0,0,0,0,0,0,0,35,21
2020_Q0,2020,0,2020-05-28 19:51:51,36,162,52,3,7,0,0,0,0,0,0,0,0,0,0,49,25
2020_Q1,2020,1,2020-04-29 04:01:57,72,133,84,6,3,0,0,0,0,0,0,0,0,0,0,19,40
2019_Q4,2019,4,2020-01-29 05:39:36,52,158,73,1,2,0,0,0,0,0,0,0,0,0,0,49,30
2019_Q-1,2019,-1,2019-06-06 22:16:07,27,130,45,6,4,0,0,0,0,0,0,0,0,0,0,43,25
2019_Q3,2019,3,2019-10-30 01:20:41,59,158,60,0,1,0,0,0,0,0,0,0,0,0,0,36,34
2019_Q2,2019,2,2019-07-31 02:14:09,61,102,74,0,4,0,0,0,0,0,0,0,0,0,0,41,31
2019_Q1,2019,1,2019-05-01 02:29:08,52,105,57,0,6,0,0,0,0,0,0,0,0,0,0,42,20
2018_Q4,2018,4,2019-01-30 02:07:20,66,163,69,10,2,0,0,0,0,0,0,0,0,0,0,56,23
2018_Q0,2018,0,2018-11-27 19:15:07,33,79,30,0,4,0,0,0,0,0,0,0,0,0,0,45,11
2018_Q3,2018,3,2018-10-25 02:28:23,63,145,62,1,7,0,0,0,0,0,0,0,0,0,0,41,28
2018_Q-1,2018,-1,2018-09-12 18:19:07,31,89,38,4,4,0,0,0,0,0,0,0,0,0,0,25,21
2018_Q2,2018,2,2018-07-26 02:50:21,76,133,69,1,3,0,0,0,0,0,0,0,0,0,0,47,26
2018_Q1,2018,1,2018-04-26 02:12:07,58,141,57,0,5,0,0,0,0,0,0,0,0,0,0,42,22
2017_Q4,2017,4,2018-01-31 01:50:35,68,135,72,1,5,0,0,0,0,0,0,0,0,0,0,44,25
2017_Q-1,2017,-1,2017-05-18 01:53:28,184,507,130,21,45,0,0,0,0,0,0,0,0,0,0,223,80
2017_Q3,2017,3,2017-10-25 00:36:22,69,132,52,0,2,0,0,0,0,0,0,0,0,0,0,59,26
2017_Q0,2017,0,2017-08-10 02:16:06,26,83,46,9,6,0,0,0,0,0,0,0,0,0,0,10,39
2017_Q2,2017,2,2017-07-26 03:04:39,62,137,61,2,5,0,0,0,0,0,0,0,0,0,0,55,29
2017_Q1,2017,1,2017-05-02 02:08:32,69,123,55,2,8,0,0,0,0,0,0,0,0,0,0,49,31
2016_Q4,2016,4,2017-02-01 03:44:22,76,134,48,1,1,0,0,0,0,0,0,0,0,0,0,50,22
2016_Q-1,2016,-1,2016-06-02 02:49:23,23,184,23,0,7,0,0,0,0,0,0,0,0,0,0,40,16
2016_Q0,2016,0,2016-05-24 17:43:24,26,92,24,7,11,0,0,0,0,0,0,0,0,0,0,33,14
2016_Q3,2016,3,2016-10-21 02:09:09,48,120,49,4,3,0,0,0,0,0,0,0,0,0,0,30,21
2016_Q2,2016,2,2016-07-22 01:34:33,71,142,76,1,4,0,0,0,0,0,0,1,0,0,0,44,40
