ID,Year,Quarter,Date,negative,positive,uncertainty,litigious,constraining,strong_modal_positive,strong_modal_negative,strong_modal_uncertainty,strong_modal_litigious,strong_modal_constraining,weak_modal_positive,weak_modal_negative,weak_modal_uncertainty,weak_modal_litigious,weak_modal_constraining,strong_modal_raw_count,weak_modal_raw_count
2020_Q4,2020,4,2021-02-03 02:27:07,138,193,106,18,15,0,0,0,0,0,0,0,0,0,0,88,54
2020_Q3,2020,3,2020-10-29 03:31:58,110,144,76,8,15,0,0,0,0,0,0,0,0,0,0,57,49
2020_Q2,2020,2,2020-07-29 03:20:13,148,153,89,2,10,0,0,0,0,0,0,0,0,0,0,54,54
2020_Q-1,2020,-1,2020-06-03 01:43:09,44,71,35,8,2,0,0,0,0,0,0,0,0,0,0,36,29
2020_Q1,2020,1,2020-05-01 04:19:11,172,214,106,10,23,0,0,0,0,0,0,1,0,0,0,98,68
2020_Q0,2020,0,2020-01-15 02:16:47,55,179,38,5,5,0,0,0,0,0,0,0,0,0,0,41,15
2019_Q4,2019,4,2020-01-31 03:44:07,123,228,81,13,17,0,0,0,0,0,0,0,0,0,0,88,43
2019_Q3,2019,3,2019-10-30 01:24:08,110,193,98,8,8,0,0,0,0,0,0,0,0,0,0,94,33
2019_Q-1,2019,-1,2019-05-15 21:42:11,38,87,27,23,3,0,0,0,0,0,0,0,0,0,0,24,14
2019_Q2,2019,2,2019-07-31 03:32:09,123,196,79,21,12,0,0,0,0,0,0,0,0,0,0,92,38
2019_Q0,2019,0,2019-01-08 21:39:11,14,101,10,4,11,0,0,0,0,0,0,0,0,0,0,18,4
2019_Q1,2019,1,2019-05-01 03:52:43,124,167,100,21,16,0,0,0,0,0,0,0,0,0,0,72,42
2018_Q4,2018,4,2019-01-30 02:55:12,126,221,85,26,15,0,0,0,0,0,0,0,0,0,0,80,33
2018_Q-1,2018,-1,2018-09-12 18:21:54,35,122,52,1,7,0,0,0,0,0,0,0,0,0,0,19,35
2018_Q3,2018,3,2018-10-31 03:40:11,128,230,70,15,12,0,0,0,0,0,0,0,0,0,0,84,43
2018_Q2,2018,2,2018-07-27 05:40:20,146,172,104,17,20,0,0,0,0,0,0,0,0,0,0,85,54
2018_Q1,2018,1,2018-04-25 04:45:10,106,145,100,13,14,0,0,0,0,0,0,0,0,0,0,42,47
2017_Q4,2017,4,2018-02-02 07:09:09,143,269,111,19,26,0,0,0,0,0,1,0,0,0,0,85,60
2017_Q3,2017,3,2017-10-26 02:28:27,141,194,90,19,18,0,0,0,0,0,0,0,0,0,0,55,41
2017_Q2,2017,2,2017-07-26 03:06:25,99,186,85,20,13,0,0,0,0,0,0,0,0,0,0,66,39
2017_Q1,2017,1,2017-04-27 03:36:21,174,253,123,28,28,0,0,0,0,0,0,0,0,0,0,94,66
2016_Q4,2016,4,2017-02-03 04:08:22,139,214,114,33,26,0,0,0,0,0,0,0,0,0,0,96,51
2016_Q3,2016,3,2016-10-28 03:14:31,138,181,66,34,19,0,0,0,0,0,0,0,0,0,0,67,44
2016_Q2,2016,2,2016-07-28 02:54:40,92,155,69,25,17,0,0,0,0,0,0,0,0,0,0,57,43
2016_Q1,2016,1,2016-04-29 05:33:53,107,139,79,20,12,0,0,0,0,0,0,0,0,0,0,63,39
