ID,Year,Quarter,Date,negative,positive,uncertainty,litigious,constraining,strong_modal_positive,strong_modal_negative,strong_modal_uncertainty,strong_modal_litigious,strong_modal_constraining,weak_modal_positive,weak_modal_negative,weak_modal_uncertainty,weak_modal_litigious,weak_modal_constraining,strong_modal_raw_count,weak_modal_raw_count
2020_Q0,2020,0,2020-11-18 18:25:10,26,89,37,8,3,0,0,0,0,0,0,0,0,0,0,42,26
2020_Q3,2020,3,2020-10-29 18:29:06,84,164,133,23,13,0,0,0,0,0,0,0,0,0,0,89,61
2020_Q2,2020,2,2020-07-30 20:02:20,80,172,167,15,16,0,0,0,0,0,0,0,0,0,0,74,78
2020_Q1,2020,1,2020-04-29 22:23:10,94,210,135,13,17,0,0,0,0,0,0,0,0,0,0,120,66
2020_Q4,2020,4,2021-02-25 21:43:15,80,196,141,22,24,0,0,0,0,0,0,0,0,0,0,113,66
2019_Q4,2019,4,2020-02-25 20:46:26,64,154,126,21,18,0,0,0,0,0,0,0,0,0,0,67,57
2019_Q-1,2019,-1,2019-12-10 19:16:42,26,81,64,16,15,0,0,0,0,0,0,0,0,0,0,55,43
2019_Q3,2019,3,2019-10-31 15:33:09,57,137,117,27,8,0,0,0,0,0,0,0,0,0,0,93,49
2019_Q2,2019,2,2019-07-31 19:16:55,47,140,112,26,12,0,0,0,0,0,0,0,0,0,0,58,52
2019_Q0,2019,0,2019-03-04 19:50:09,21,67,28,4,0,0,0,0,0,0,0,0,0,0,0,31,5
2019_Q1,2019,1,2019-05-03 17:41:18,46,131,108,23,6,0,0,0,0,0,0,1,0,0,0,61,62
2018_Q4,2018,4,2019-02-27 19:23:16,41,127,98,24,16,0,0,0,0,0,0,0,0,0,0,66,48
2018_Q0,2018,0,2018-12-05 00:47:09,26,73,89,16,7,0,0,0,0,0,0,0,0,0,0,37,40
2018_Q3,2018,3,2018-10-30 16:54:24,41,156,107,15,17,0,0,0,0,0,0,0,0,0,0,76,48
2018_Q2,2018,2,2018-07-31 16:47:16,43,114,94,26,9,0,0,0,0,0,0,0,0,0,0,64,49
