ID,Year,Quarter,Date,negative,positive,uncertainty,litigious,constraining,strong_modal_positive,strong_modal_negative,strong_modal_uncertainty,strong_modal_litigious,strong_modal_constraining,weak_modal_positive,weak_modal_negative,weak_modal_uncertainty,weak_modal_litigious,weak_modal_constraining,strong_modal_raw_count,weak_modal_raw_count
2020_Q4,2020,4,2021-02-03 04:26:45,51,121,57,4,7,0,0,0,0,0,0,0,0,0,0,46,28
2020_Q3,2020,3,2020-10-30 02:41:10,58,111,57,3,5,0,0,0,0,0,0,0,0,0,0,40,29
2020_Q2,2020,2,2020-07-31 02:43:08,64,92,74,5,7,1,0,0,0,0,0,0,0,0,0,22,35
2020_Q1,2020,1,2020-05-01 02:47:18,70,69,69,7,8,0,0,0,0,0,0,0,0,0,0,38,36
2019_Q4,2019,4,2020-01-31 02:02:24,49,78,43,3,2,0,0,0,0,0,0,0,0,0,0,43,20
2019_Q3,2019,3,2019-10-25 03:02:36,40,68,36,4,6,0,0,0,0,0,0,0,0,0,0,23,19
2019_Q2,2019,2,2019-07-26 01:34:09,45,82,50,2,0,0,0,0,0,0,0,0,0,0,0,40,28
2019_Q1,2019,1,2019-04-26 03:06:10,58,85,50,7,6,0,0,0,0,0,0,0,0,0,0,48,29
2018_Q4,2018,4,2019-02-01 04:25:08,44,90,40,5,4,0,0,0,0,0,0,0,0,0,0,26,20
2018_Q3,2018,3,2018-10-26 02:32:27,44,73,47,3,2,0,0,0,0,0,0,0,0,0,0,35,27
2018_Q2,2018,2,2018-07-27 01:00:10,44,107,44,4,1,0,0,0,0,0,0,0,0,0,0,28,24
2018_Q1,2018,1,2018-04-27 00:47:03,54,93,46,5,4,0,0,0,0,0,0,1,0,0,0,36,26
2017_Q4,2017,4,2018-02-02 04:22:25,39,90,50,6,5,0,0,0,0,0,0,0,0,0,0,37,33
2017_Q3,2017,3,2017-10-27 01:27:06,59,82,60,4,1,0,0,0,0,0,0,0,0,0,0,42,36
2017_Q2,2017,2,2017-07-28 00:24:41,60,59,44,2,1,0,0,0,0,0,0,0,0,0,0,23,23
2017_Q1,2017,1,2017-04-28 01:10:20,63,93,50,3,3,0,0,0,0,0,0,0,0,0,0,32,31
2016_Q4,2016,4,2017-02-03 03:04:18,68,82,42,3,0,0,0,0,0,0,0,0,0,0,0,38,24
2016_Q3,2016,3,2016-10-28 01:06:13,55,67,53,1,0,0,0,0,0,0,0,0,0,0,0,43,31
2016_Q2,2016,2,2016-07-29 02:44:41,65,102,59,5,4,0,0,0,0,0,0,0,0,0,0,53,29
2016_Q1,2016,1,2016-04-29 05:12:19,98,111,68,5,2,0,0,0,0,0,0,0,0,0,0,49,40
2015_Q4,2015,4,2016-01-29 04:34:08,93,122,75,3,4,0,0,0,0,0,0,0,0,0,0,34,40
2015_Q3,2015,3,2015-10-23 04:08:11,76,98,66,6,2,0,0,0,0,0,0,0,0,0,0,38,34
2015_Q2,2015,2,2015-07-24 02:28:10,81,137,67,4,2,0,0,0,0,0,0,0,0,0,0,42,30
2015_Q1,2015,1,2015-04-24 02:56:08,78,111,74,3,2,0,0,0,0,0,0,0,0,0,0,47,31
2014_Q4,2014,4,2015-01-30 02:49:05,62,82,52,3,4,0,0,0,0,0,0,0,0,0,0,34,26
2014_Q3,2014,3,2014-10-24 02:34:05,60,117,61,3,2,0,0,0,0,0,0,0,0,0,0,44,25
2014_Q2,2014,2,2014-07-25 00:32:07,32,94,65,3,1,0,0,0,0,0,0,0,0,0,0,42,33
2014_Q1,2014,1,2014-04-25 02:35:10,75,100,56,5,1,0,0,0,0,0,0,0,0,0,0,19,25
2013_Q4,2013,4,2014-01-31 00:26:08,56,96,61,3,5,0,0,0,0,0,0,0,0,0,0,45,32
2013_Q3,2013,3,2013-10-24 22:55:09,51,83,56,2,2,0,0,0,0,0,0,0,0,0,0,34,28
2013_Q2,2013,2,2013-07-26 00:31:30,48,115,48,4,1,0,0,0,0,0,0,0,0,0,0,21,20
2013_Q1,2013,1,2013-04-25 23:18:06,47,67,56,2,1,0,0,0,0,0,0,0,0,0,0,37,27
2012_Q4,2012,4,2013-01-30 00:02:05,41,60,46,2,2,0,0,0,0,0,0,0,0,0,0,44,19
2012_Q3,2012,3,2012-10-26 06:21:36,56,75,60,2,3,0,0,0,0,0,0,0,0,0,0,16,32
2012_Q2,2012,2,2012-07-26 23:29:05,52,67,56,7,1,0,0,0,0,0,0,0,0,0,0,41,24
2012_Q1,2012,1,2012-04-27 01:21:08,62,94,59,3,1,0,0,0,0,0,0,0,0,0,0,55,27
