ID,Year,Quarter,Date,negative,positive,uncertainty,litigious,constraining,strong_modal_positive,strong_modal_negative,strong_modal_uncertainty,strong_modal_litigious,strong_modal_constraining,weak_modal_positive,weak_modal_negative,weak_modal_uncertainty,weak_modal_litigious,weak_modal_constraining,strong_modal_raw_count,weak_modal_raw_count
2020_Q3,2020,3,2020-10-14 19:35:12,87,111,118,19,18,0,0,0,0,0,0,0,0,0,0,99,58
2020_Q2,2020,2,2020-07-15 19:53:10,84,90,78,9,12,0,0,0,0,0,0,0,0,0,0,90,44
2020_Q1,2020,1,2020-04-15 18:59:12,131,113,80,4,19,0,0,0,0,0,0,0,0,0,0,75,41
2019_Q4,2019,4,2020-01-22 20:16:10,91,108,90,3,10,0,0,0,0,0,0,0,0,0,0,128,45
2019_Q3,2019,3,2019-10-16 19:29:13,89,75,86,8,16,0,0,0,0,0,0,0,0,0,0,114,54
2019_Q2,2019,2,2019-07-17 19:38:09,92,88,81,3,13,0,0,0,0,0,0,0,0,0,0,91,35
2019_Q1,2019,1,2019-04-17 19:32:09,86,77,94,6,7,0,0,0,0,0,0,0,0,0,0,93,51
2018_Q4,2018,4,2019-01-23 19:16:58,116,90,68,6,0,0,0,0,0,0,0,0,0,0,0,78,31
2018_Q3,2018,3,2018-10-17 22:08:11,76,118,85,3,7,0,0,0,0,0,0,0,0,0,0,91,51
2018_Q2,2018,2,2018-07-18 19:18:10,89,145,55,4,11,0,0,0,0,0,0,0,0,0,0,130,30
2018_Q1,2018,1,2018-04-18 19:40:08,77,127,57,4,11,0,0,0,0,0,0,0,0,0,0,110,33
2017_Q4,2017,4,2018-01-17 19:54:08,91,101,74,8,10,0,0,0,0,0,0,0,0,0,0,102,34
2017_Q3,2017,3,2017-10-18 19:11:11,97,96,86,6,14,0,0,0,0,0,0,0,0,0,0,96,40
2017_Q-1,2017,-1,2017-09-12 22:56:07,40,51,52,2,7,0,0,0,0,0,0,0,0,0,0,42,29
2017_Q2,2017,2,2017-07-19 20:32:07,96,132,80,10,9,0,0,0,0,0,0,0,0,0,0,69,42
2017_Q1,2017,1,2017-04-19 19:55:06,82,86,72,4,4,0,0,0,0,0,0,0,0,0,0,84,30
2016_Q4,2016,4,2017-01-18 21:01:18,85,94,65,6,11,0,0,0,0,0,0,0,0,0,0,95,37
2016_Q3,2016,3,2016-10-19 18:25:11,92,86,104,5,16,0,0,0,0,0,0,0,1,0,0,113,50
2016_Q2,2016,2,2016-07-20 20:04:19,84,77,89,8,10,0,0,0,0,0,0,0,0,0,0,100,42
2016_Q1,2016,1,2016-04-20 19:37:18,84,77,94,4,11,0,0,0,0,0,0,0,0,0,0,104,36
2015_Q4,2015,4,2016-01-20 21:08:11,86,77,82,2,5,0,0,0,0,0,0,0,0,0,0,121,36
2015_Q3,2015,3,2015-10-14 20:42:10,118,88,104,7,22,0,0,0,0,0,0,0,1,0,0,108,50
2015_Q2,2015,2,2015-07-15 19:09:12,84,115,101,6,12,0,0,0,0,0,0,0,0,0,0,97,53
2015_Q1,2015,1,2015-04-15 19:04:10,106,107,79,7,14,0,0,0,0,0,0,0,0,0,0,76,49
2014_Q4,2014,4,2015-01-21 21:01:16,81,93,98,9,9,0,0,0,0,0,0,0,0,0,0,118,52
2014_Q3,2014,3,2014-10-15 19:20:11,94,95,118,2,15,0,0,0,0,0,0,0,0,0,0,72,62
2014_Q2,2014,2,2014-07-16 19:39:10,104,88,97,8,11,0,0,0,0,0,0,0,0,0,0,103,44
2014_Q1,2014,1,2014-04-16 19:29:11,107,89,121,9,12,0,0,0,0,0,0,0,0,0,0,81,65
2013_Q4,2013,4,2014-01-22 18:02:23,59,93,70,8,6,0,0,0,0,0,0,0,0,0,0,88,44
2013_Q3,2013,3,2013-10-16 16:31:12,96,103,68,12,13,0,0,0,0,0,0,0,0,0,0,144,37
2013_Q-1,2013,-1,2013-02-13 04:44:05,49,53,66,10,14,0,0,0,0,0,1,0,0,0,0,66,39
2013_Q2,2013,2,2013-07-17 18:41:09,67,75,83,3,19,0,0,0,0,0,0,0,0,0,0,99,46
2013_Q1,2013,1,2013-04-17 20:11:10,88,78,96,7,35,0,0,0,0,0,0,0,0,0,0,92,58
2012_Q4,2012,4,2013-01-17 19:37:07,107,81,99,9,16,0,0,0,0,0,0,0,0,0,1,113,60
2012_Q-1,2012,-1,2012-03-12 10:05:09,50,31,63,8,17,0,0,0,0,0,0,0,0,0,0,40,35
