ID,Year,Quarter,Date,negative,positive,uncertainty,litigious,constraining,strong_modal_positive,strong_modal_negative,strong_modal_uncertainty,strong_modal_litigious,strong_modal_constraining,weak_modal_positive,weak_modal_negative,weak_modal_uncertainty,weak_modal_litigious,weak_modal_constraining,strong_modal_raw_count,weak_modal_raw_count
2020_Q4,2020,4,2021-01-26 20:15:06,100,164,115,12,16,0,0,0,0,0,0,0,0,0,0,95,37
2020_Q3,2020,3,2020-10-23 17:14:10,104,128,74,7,16,0,0,0,0,0,0,0,0,0,0,86,22
2020_Q2,2020,2,2020-07-24 19:23:11,120,155,77,4,8,0,0,0,0,0,0,0,0,0,0,68,25
2020_Q-1,2020,-1,2020-06-04 02:03:12,91,127,52,1,4,0,0,0,0,0,0,0,0,0,0,44,33
2020_Q1,2020,1,2020-04-24 19:37:16,218,147,115,9,8,0,0,0,0,0,0,0,0,0,0,134,57
2019_Q4,2019,4,2020-01-24 18:39:10,57,135,57,6,6,0,0,0,0,0,0,0,0,0,0,49,17
2019_Q-1,2019,-1,2019-03-16 04:33:08,112,519,118,12,13,0,0,0,0,0,1,0,0,0,0,141,64
2019_Q3,2019,3,2019-10-18 15:12:47,73,150,59,3,5,0,0,0,0,0,0,0,0,0,0,59,25
2019_Q2,2019,2,2019-07-19 17:57:24,59,152,82,5,7,0,0,0,0,0,0,0,0,0,0,45,36
2019_Q1,2019,1,2019-04-19 00:16:23,47,157,75,9,3,0,0,0,0,0,0,0,0,0,0,76,39
2018_Q4,2018,4,2019-01-18 06:00:10,78,170,81,20,6,0,0,0,0,0,0,0,0,0,0,49,36
2018_Q-1,2018,-1,2018-09-12 20:34:06,35,90,48,2,1,0,0,0,0,0,0,0,0,0,0,16,30
2018_Q3,2018,3,2018-10-19 03:38:06,76,168,80,11,10,0,0,0,0,0,0,0,0,0,0,61,41
2018_Q2,2018,2,2018-07-19 01:27:10,70,156,60,15,5,0,0,0,0,0,0,0,0,0,0,54,33
2018_Q1,2018,1,2018-04-19 01:33:11,62,115,69,4,3,0,0,0,0,0,0,0,0,0,0,51,27
2017_Q4,2017,4,2018-01-19 02:47:12,67,176,68,19,3,0,0,0,0,0,0,0,0,0,0,50,28
2017_Q3,2017,3,2017-10-19 01:04:05,90,222,67,11,5,0,0,0,0,0,0,0,0,0,0,78,30
2017_Q2,2017,2,2017-07-20 02:57:11,64,172,57,19,6,0,0,0,0,0,0,0,1,0,0,68,29
2017_Q1,2017,1,2017-04-20 03:53:07,50,157,55,7,3,0,0,0,0,0,0,0,0,0,0,38,22
2016_Q4,2016,4,2017-01-20 04:09:06,76,183,74,5,6,0,0,0,0,0,0,0,0,0,0,50,32
2016_Q3,2016,3,2016-10-20 02:53:07,102,217,87,8,6,0,0,0,0,0,0,0,0,0,0,71,43
2016_Q2,2016,2,2016-07-21 04:30:31,91,150,79,19,2,0,0,0,0,0,0,0,0,0,0,75,33
2016_Q1,2016,1,2016-04-21 04:08:22,97,154,95,15,5,0,0,0,0,0,0,0,0,0,0,72,33
2015_Q4,2015,4,2016-01-22 01:36:17,125,264,94,29,10,0,0,0,0,0,0,0,0,0,0,98,31
2015_Q3,2015,3,2015-10-22 04:08:09,112,176,80,13,11,1,0,0,0,0,0,0,1,0,0,57,42
2015_Q1,2015,1,2015-04-17 01:06:11,106,131,102,2,8,0,0,0,0,0,0,0,0,0,0,64,50
2014_Q4,2014,4,2015-01-22 02:56:12,96,203,89,12,6,0,0,0,0,0,0,0,0,0,0,55,44
2014_Q3,2014,3,2014-10-16 04:44:05,78,139,91,14,22,0,0,0,0,0,0,0,0,0,0,77,47
