ID,Year,Quarter,Date,negative,positive,uncertainty,litigious,constraining,strong_modal_positive,strong_modal_negative,strong_modal_uncertainty,strong_modal_litigious,strong_modal_constraining,weak_modal_positive,weak_modal_negative,weak_modal_uncertainty,weak_modal_litigious,weak_modal_constraining,strong_modal_raw_count,weak_modal_raw_count
2020_Q3,2020,3,2020-11-06 04:35:06,190,259,124,22,16,0,0,0,0,0,0,0,0,0,0,116,61
2020_Q2,2020,2,2020-07-30 20:06:12,163,195,144,22,20,0,0,0,0,0,0,0,0,0,0,112,79
2020_Q1,2020,1,2020-04-29 17:57:17,163,197,122,15,15,0,0,0,0,0,0,0,0,0,0,95,70
2019_Q4,2019,4,2020-02-14 22:57:11,118,274,115,34,10,0,0,0,0,0,0,0,0,0,0,79,51
2019_Q3,2019,3,2019-10-24 20:15:22,193,241,157,22,25,0,0,0,0,0,0,1,0,0,0,145,79
2019_Q2,2019,2,2019-07-25 23:27:39,115,202,101,19,6,0,0,0,0,0,0,1,0,0,0,112,62
2019_Q1,2019,1,2019-04-26 21:40:30,106,218,87,33,9,0,0,0,0,0,0,0,0,0,0,113,38
2018_Q4,2018,4,2019-02-15 01:59:11,106,266,104,23,16,0,0,0,0,0,0,0,0,0,0,108,52
2018_Q3,2018,3,2018-11-08 19:45:11,184,229,153,18,22,0,0,0,0,0,0,0,0,0,0,134,78
2018_Q2,2018,2,2018-07-27 03:32:13,133,224,80,19,6,0,0,0,0,0,0,0,0,0,0,63,32
2018_Q1,2018,1,2018-05-19 02:14:07,127,180,102,23,14,0,0,0,0,0,0,0,0,0,0,57,50
2017_Q4,2017,4,2018-02-05 21:48:07,156,262,116,23,14,0,0,0,0,0,0,0,0,0,0,88,58
2017_Q-1,2017,-1,2017-12-15 02:00:11,211,208,142,32,20,0,0,0,0,0,0,0,0,0,0,86,57
2017_Q3,2017,3,2017-11-09 20:01:03,126,190,97,18,16,0,0,0,0,0,0,0,0,0,0,74,42
2017_Q2,2017,2,2017-07-27 22:37:06,153,253,137,19,10,0,0,0,0,0,0,0,0,0,0,121,56
2017_Q1,2017,1,2017-04-28 01:13:09,117,130,64,23,12,0,0,0,0,0,0,0,0,0,0,78,21
2016_Q4,2016,4,2017-02-03 00:12:32,195,317,127,22,20,0,0,0,0,0,0,0,0,0,0,184,62
2016_Q3,2016,3,2016-11-10 16:09:07,132,181,70,14,12,0,0,0,0,0,0,0,0,0,0,42,32
2016_Q2,2016,2,2016-07-31 14:03:57,155,231,145,26,18,0,0,0,0,0,0,0,0,0,0,103,70
2016_Q1,2016,1,2016-04-29 22:47:38,141,239,117,16,14,0,0,0,0,0,0,0,0,0,0,114,66
2015_Q4,2015,4,2016-02-08 21:50:14,150,223,151,22,41,0,0,0,0,0,0,0,0,0,0,132,79
2015_Q3,2015,3,2015-11-05 18:48:08,135,172,111,22,16,0,0,0,0,0,0,0,0,0,0,78,63
2015_Q2,2015,2,2015-07-30 22:00:09,157,255,126,26,8,0,0,0,0,0,0,0,0,0,1,120,59
2015_Q1,2015,1,2015-04-24 20:04:11,117,180,91,16,7,0,0,0,0,0,0,0,0,0,0,66,56
2014_Q4,2014,4,2015-02-07 08:53:08,120,184,155,11,18,0,0,0,0,0,0,0,0,0,0,93,78
2014_Q3,2014,3,2014-11-09 05:49:07,138,142,139,9,8,0,0,0,0,0,0,0,0,0,0,105,54
2014_Q2,2014,2,2014-08-01 02:37:06,111,203,136,9,18,0,0,0,0,0,0,0,0,0,0,144,65
2014_Q1,2014,1,2014-04-24 18:09:11,117,179,112,11,16,0,0,0,0,0,0,0,0,0,0,124,64
2013_Q4,2013,4,2014-02-06 22:29:10,151,199,148,18,18,0,0,0,0,0,0,0,0,0,0,75,72
2013_Q3,2013,3,2013-11-01 11:37:07,192,184,79,32,30,0,0,0,0,0,0,0,0,0,0,93,39
2013_Q2,2013,2,2013-08-01 18:40:04,157,173,107,7,13,0,0,0,0,0,1,1,0,0,0,96,57
2013_Q1,2013,1,2013-04-26 04:16:07,146,107,54,20,6,0,0,0,0,0,0,0,0,0,0,70,22
2012_Q4,2012,4,2013-01-31 23:04:05,196,267,140,15,22,0,0,0,0,0,0,0,0,0,0,111,53
2012_Q3,2012,3,2012-10-25 16:21:08,142,149,81,6,12,0,0,0,0,0,0,0,1,0,0,68,45
