ID,Year,Quarter,Date,negative,positive,uncertainty,litigious,constraining,strong_modal_positive,strong_modal_negative,strong_modal_uncertainty,strong_modal_litigious,strong_modal_constraining,weak_modal_positive,weak_modal_negative,weak_modal_uncertainty,weak_modal_litigious,weak_modal_constraining,strong_modal_raw_count,weak_modal_raw_count
2020_Q4,2020,4,2021-01-27 20:53:19,120,174,88,16,25,0,0,0,0,0,0,0,0,0,0,124,30
2020_Q3,2020,3,2020-10-28 20:55:10,151,192,119,30,25,0,0,0,0,0,0,0,0,0,0,140,37
2020_Q2,2020,2,2020-07-29 22:17:06,130,145,106,22,36,0,0,0,0,0,0,0,0,0,0,130,35
2020_Q1,2020,1,2020-04-29 20:24:37,169,118,123,12,23,0,0,0,0,0,0,0,1,0,0,124,41
2019_Q4,2019,4,2020-01-29 20:15:11,123,112,81,21,26,0,0,0,0,0,0,0,0,0,0,159,26
2019_Q3,2019,3,2019-10-23 19:34:07,109,179,96,44,37,0,0,0,0,0,0,0,0,0,0,136,36
2019_Q2,2019,2,2019-07-24 20:29:11,93,188,98,32,51,0,0,0,0,0,0,0,0,0,0,110,36
2019_Q1,2019,1,2019-04-24 18:59:09,80,169,42,26,27,0,0,0,0,0,0,0,0,0,0,101,22
2019_Q-1,2019,-1,2019-02-20 16:09:07,18,87,37,3,3,0,0,0,0,0,0,0,0,0,0,30,28
2018_Q4,2018,4,2019-01-30 23:51:23,64,246,70,11,19,0,0,0,0,0,0,0,0,0,0,73,30
2018_Q3,2018,3,2018-10-24 19:35:24,71,259,49,25,15,0,0,0,0,0,0,0,0,0,0,69,11
2018_Q-1,2018,-1,2018-05-01 19:01:02,33,88,35,7,4,0,0,0,0,0,0,0,0,0,0,48,13
2018_Q2,2018,2,2018-07-25 21:02:18,64,233,67,22,28,0,0,0,0,0,0,0,0,0,0,59,34
2018_Q0,2018,0,2018-05-31 18:57:06,49,138,59,9,26,0,0,0,0,0,0,0,0,0,0,38,26
2018_Q1,2018,1,2018-04-25 19:08:16,58,231,61,15,18,0,0,0,0,0,0,0,0,0,0,49,18
2017_Q4,2017,4,2018-01-31 22:11:10,71,243,66,27,24,0,0,0,0,0,0,0,0,0,0,54,26
2017_Q3,2017,3,2017-10-25 19:44:48,74,244,61,13,14,0,0,0,0,0,0,0,0,0,0,66,32
2017_Q-1,2017,-1,2017-06-02 02:56:06,37,138,51,1,14,0,0,0,0,0,0,0,0,0,0,53,27
2017_Q2,2017,2,2017-07-26 22:47:23,66,234,84,7,18,0,0,0,0,0,0,0,0,0,0,52,33
2017_Q1,2017,1,2017-04-26 20:08:41,72,242,67,13,20,0,0,0,0,0,0,0,0,0,0,76,33
2016_Q4,2016,4,2017-01-26 00:06:16,84,272,80,10,21,0,0,0,0,0,0,0,0,0,0,79,33
2016_Q3,2016,3,2016-10-26 19:35:25,75,236,60,9,10,0,0,0,0,0,0,0,0,0,0,82,32
2016_Q-1,2016,-1,2016-03-16 16:33:10,54,88,38,1,3,0,0,0,0,0,0,0,0,0,0,87,20
2016_Q2,2016,2,2016-06-03 18:58:22,52,140,39,4,20,0,0,0,0,0,0,0,0,0,0,59,17
2016_Q1,2016,1,2016-04-27 19:34:16,91,222,48,9,17,0,0,0,0,0,0,0,0,0,0,59,19
2015_Q4,2015,4,2016-01-27 22:59:09,64,194,79,4,22,0,0,0,0,0,0,0,0,0,0,90,29
2015_Q3,2015,3,2015-10-21 19:14:07,89,183,67,7,21,0,0,0,0,0,0,0,0,0,0,78,28
2015_Q-1,2015,-1,2015-02-18 17:33:34,36,100,56,1,7,0,0,0,0,0,0,0,0,0,0,28,26
2015_Q2,2015,2,2015-07-22 19:44:08,71,240,53,12,20,0,0,0,0,0,0,0,0,0,0,81,20
2015_Q1,2015,1,2015-04-22 19:46:12,86,129,66,3,15,0,0,0,0,0,0,0,0,0,0,43,26
2014_Q4,2014,4,2015-01-28 19:25:06,70,222,63,12,12,0,0,0,0,0,0,0,0,0,0,33,23
2014_Q-1,2014,-1,2014-12-03 22:37:04,39,125,58,1,4,0,0,0,0,0,0,0,0,0,0,55,39
2014_Q3,2014,3,2014-10-22 23:27:13,53,209,81,5,12,0,0,0,0,0,0,1,0,0,0,31,47
2014_Q0,2014,0,2014-02-05 21:43:07,49,105,64,1,7,0,0,0,0,0,0,0,0,0,0,36,24
2014_Q2,2014,2,2014-07-23 20:13:07,82,183,82,13,13,0,0,0,0,0,0,0,0,0,0,28,38
2014_Q1,2014,1,2014-04-23 20:11:10,73,236,78,13,10,0,0,0,0,0,1,0,0,0,0,68,44
2013_Q4,2013,4,2014-01-29 18:37:07,71,232,87,16,14,0,0,0,0,0,0,0,0,0,0,60,39
2013_Q-1,2013,-1,2013-09-16 23:57:04,26,136,32,7,13,0,0,0,0,0,0,0,0,0,0,21,14
2013_Q3,2013,3,2013-10-23 18:06:03,74,259,73,7,11,0,0,0,0,0,0,0,0,0,0,57,37
2013_Q2,2013,2,2013-07-24 17:27:12,106,229,74,8,19,0,0,0,0,0,1,0,0,0,0,43,35
2013_Q0,2013,0,2013-05-22 22:03:05,126,584,153,17,30,0,0,0,0,0,0,0,1,0,0,174,67
2013_Q1,2013,1,2013-04-24 16:41:11,94,237,75,15,25,0,0,0,0,0,0,0,0,0,0,60,39
2012_Q4,2012,4,2013-01-30 17:37:07,108,180,89,15,17,0,0,0,0,0,0,0,0,0,0,40,39
2012_Q3,2012,3,2012-10-24 18:41:14,58,174,78,6,17,0,0,0,0,0,0,0,0,0,0,72,29
2012_Q2,2012,2,2012-07-25 19:41:19,81,153,94,5,13,0,0,0,0,0,0,0,0,0,0,75,36
2012_Q1,2012,1,2012-04-25 20:11:08,88,146,85,7,12,0,0,0,0,0,0,0,1,0,0,65,44
2011_Q4,2011,4,2012-01-25 20:41:12,82,151,82,16,32,0,0,0,0,0,0,0,0,0,0,98,34
2011_Q3,2011,3,2011-10-26 21:11:12,97,134,126,16,11,0,0,0,0,0,0,0,0,0,0,87,48
2011_Q2,2011,2,2011-07-27 21:01:20,117,141,124,17,16,0,0,0,0,0,0,0,0,0,0,95,56
2011_Q1,2011,1,2011-04-28 00:01:19,107,123,103,22,7,0,0,0,0,0,0,0,0,0,0,94,59
2010_Q4,2010,4,2011-01-26 23:06:17,99,106,87,23,10,0,0,0,0,0,0,0,0,0,0,65,38
2010_Q2,2010,2,2010-07-29 07:59:22,99,106,108,18,22,0,0,0,0,0,0,0,0,0,2,65,43
2010_Q1,2010,1,2010-04-21 20:54:12,73,133,118,17,10,0,0,0,0,0,0,1,0,0,0,67,50
2009_Q4,2009,4,2010-01-27 21:29:20,75,116,89,8,12,0,0,0,0,0,0,0,0,0,0,47,26
2009_Q3,2009,3,2009-10-21 20:28:11,139,145,93,28,13,0,0,0,0,0,0,0,0,0,0,71,35
2009_Q2,2009,2,2009-07-22 20:00:23,173,138,93,10,11,0,0,0,0,0,0,0,0,0,0,88,35
2009_Q1,2009,1,2009-04-22 20:26:35,137,123,114,13,23,0,0,0,0,0,0,0,0,0,0,62,52
2008_Q4,2008,4,2009-01-28 22:07:16,171,135,147,11,22,0,0,0,0,0,0,0,0,0,0,86,49
2008_Q3,2008,3,2008-10-22 22:48:12,149,158,125,22,28,0,0,0,0,0,0,0,0,0,0,64,73
2008_Q2,2008,2,2008-07-23 22:04:12,109,118,92,8,22,0,0,0,0,0,0,0,0,0,0,58,33
2008_Q1,2008,1,2008-04-23 20:36:12,118,164,111,13,14,0,0,0,0,0,0,0,0,0,0,82,46
2007_Q4,2007,4,2008-01-30 20:39:26,102,172,117,2,21,0,0,0,0,0,0,0,0,0,0,62,64
2007_Q3,2007,3,2007-10-25 14:10:12,134,174,107,14,18,0,0,0,0,0,0,0,0,0,0,65,46
2007_Q2,2007,2,2007-07-25 21:15:25,98,167,106,5,19,0,0,0,0,0,0,0,0,0,0,79,52
2007_Q1,2007,1,2007-04-25 21:18:49,99,200,89,1,9,0,0,0,0,0,0,0,0,0,0,81,42
2006_Q4,2006,4,2007-01-31 21:13:55,127,228,100,17,15,0,0,0,0,0,0,0,0,0,0,82,41
2006_Q3,2006,3,2006-10-25 18:02:57,87,167,108,10,15,0,0,0,0,0,0,0,0,0,0,66,41
2006_Q2,2006,2,2006-07-26 20:27:13,95,110,93,19,14,0,0,0,0,0,0,0,0,0,0,57,44
2006_Q1,2006,1,2006-04-26 23:29:23,81,171,101,21,18,0,0,0,0,0,0,0,0,0,0,118,46
