ID,Year,Quarter,Date,negative,positive,uncertainty,litigious,constraining,strong_modal_positive,strong_modal_negative,strong_modal_uncertainty,strong_modal_litigious,strong_modal_constraining,weak_modal_positive,weak_modal_negative,weak_modal_uncertainty,weak_modal_litigious,weak_modal_constraining,strong_modal_raw_count,weak_modal_raw_count
2020_Q3,2020,3,2020-10-14 19:40:09,160,150,113,18,13,0,0,0,0,0,0,0,0,0,0,46,41
2020_Q2,2020,2,2020-07-16 20:40:06,238,180,121,16,22,0,0,0,0,0,0,0,0,0,0,91,47
2020_Q1,2020,1,2020-04-15 20:49:38,237,112,128,9,21,0,0,0,0,0,0,0,0,0,0,104,57
2019_Q4,2019,4,2020-01-15 22:25:08,92,259,96,5,16,0,0,0,0,0,0,0,0,0,0,65,46
2019_Q3,2019,3,2019-10-16 20:50:12,109,242,105,10,21,0,0,0,0,0,0,0,0,0,0,38,54
2019_Q2,2019,2,2019-07-17 21:22:20,137,239,117,5,16,0,0,0,0,0,0,0,0,0,0,71,51
2019_Q-1,2019,-1,2019-05-28 22:09:11,40,112,42,3,3,0,0,0,0,0,0,0,0,0,0,29,32
2019_Q1,2019,1,2019-04-16 19:12:14,124,195,76,2,14,0,0,0,0,0,0,0,0,0,0,42,27
2018_Q4,2018,4,2019-01-16 20:57:11,141,194,101,6,13,0,0,0,0,0,0,1,0,0,0,52,47
2018_Q-1,2018,-1,2018-06-12 20:20:09,38,120,35,2,5,0,0,0,0,0,0,0,0,0,0,20,29
2018_Q3,2018,3,2018-10-15 19:55:10,98,218,71,11,10,0,0,0,0,0,0,0,0,0,0,25,36
2018_Q2,2018,2,2018-07-16 20:09:06,111,236,92,10,13,0,0,0,0,0,0,0,0,0,0,36,52
2018_Q1,2018,1,2018-04-16 22:19:10,130,209,86,8,3,0,0,0,0,0,0,0,0,0,0,29,39
2017_Q4,2017,4,2018-01-17 23:28:08,138,260,115,18,5,0,0,0,0,0,0,0,0,0,0,100,50
2017_Q-1,2017,-1,2017-06-14 21:43:07,29,66,52,8,2,0,0,0,0,0,0,0,0,0,0,29,30
2017_Q3,2017,3,2017-10-13 21:50:26,101,228,102,23,15,0,0,0,0,0,0,0,0,0,0,47,46
2017_Q2,2017,2,2017-07-18 19:11:06,121,220,84,17,15,0,0,0,0,0,0,0,0,0,0,62,42
2017_Q1,2017,1,2017-04-18 18:28:08,102,228,88,16,7,0,0,0,0,0,0,0,0,0,0,19,34
2016_Q4,2016,4,2017-01-13 21:44:08,129,246,114,15,12,0,0,0,0,0,0,0,0,0,0,66,41
2016_Q3,2016,3,2016-10-18 05:32:07,196,303,144,21,13,0,0,0,0,0,0,0,0,0,0,45,59
2016_Q-1,2016,-1,2016-05-31 23:08:23,28,74,16,3,6,0,0,0,0,0,0,0,0,0,0,20,14
2016_Q2,2016,2,2016-07-19 05:17:25,147,224,121,22,6,0,0,0,0,0,0,0,0,0,0,35,43
2016_Q0,2016,0,2016-06-02 20:33:22,43,132,54,20,2,0,0,0,0,0,0,0,0,0,0,23,16
2016_Q1,2016,1,2016-04-14 21:56:24,180,242,119,33,7,0,0,0,0,0,0,0,0,0,0,52,52
2015_Q4,2015,4,2015-11-17 19:44:07,110,87,64,21,2,0,0,0,0,0,0,0,0,0,0,34,26
2015_Q3,2015,3,2015-10-15 09:12:05,136,194,93,23,6,0,0,0,0,0,0,0,1,0,0,36,28
2015_Q-1,2015,-1,2015-09-18 03:56:07,56,93,42,12,17,0,0,0,0,0,0,0,0,0,0,27,14
