ID,Year,Quarter,Date,negative,positive,uncertainty,litigious,constraining,strong_modal_positive,strong_modal_negative,strong_modal_uncertainty,strong_modal_litigious,strong_modal_constraining,weak_modal_positive,weak_modal_negative,weak_modal_uncertainty,weak_modal_litigious,weak_modal_constraining,strong_modal_raw_count,weak_modal_raw_count
2020_Q3,2020,3,2020-11-06 01:57:05,167,144,117,14,23,0,0,0,0,0,0,0,0,0,0,121,62
2020_Q2,2020,2,2020-08-07 04:27:12,152,166,117,10,14,0,0,0,0,0,0,0,0,0,0,95,65
2020_Q1,2020,1,2020-05-08 03:16:49,159,160,114,14,29,0,0,0,0,0,0,0,0,0,0,104,66
2020_Q4,2020,4,2021-02-25 04:49:17,125,191,105,8,15,0,0,0,0,0,0,0,0,0,0,118,46
2019_Q4,2019,4,2020-02-27 06:01:20,105,186,113,8,4,0,0,0,0,0,0,0,0,0,0,75,48
2019_Q-1,2019,-1,2019-05-14 19:12:22,42,66,35,1,3,0,0,0,0,0,0,0,0,0,0,28,22
2019_Q3,2019,3,2019-11-08 04:32:22,88,198,90,6,8,0,0,0,0,0,0,0,0,0,0,77,36
2019_Q2,2019,2,2019-08-08 05:17:29,75,171,110,7,6,0,0,0,0,0,0,0,0,0,0,71,39
2019_Q1,2019,1,2019-05-10 02:19:28,77,127,101,4,5,1,0,0,0,0,0,0,0,0,0,63,44
2018_Q4,2018,4,2019-02-28 02:45:07,77,158,113,6,2,0,0,0,0,0,0,0,0,0,0,92,37
2018_Q-1,2018,-1,2018-12-04 12:16:56,28,79,58,1,5,0,0,0,0,0,0,0,0,0,0,25,30
2018_Q3,2018,3,2018-11-06 04:35:08,71,187,105,5,4,0,0,0,0,0,0,0,0,0,0,60,44
2018_Q2,2018,2,2018-08-09 18:04:12,57,162,107,5,5,0,0,0,0,0,0,0,0,0,0,70,35
2018_Q1,2018,1,2018-05-10 01:42:11,77,177,127,8,6,0,0,0,0,0,0,0,0,0,0,60,63
2017_Q4,2017,4,2018-02-28 02:38:16,71,196,101,14,7,0,0,0,0,0,0,0,0,0,0,59,50
2017_Q3,2017,3,2017-11-07 02:56:49,86,179,86,6,7,0,0,0,0,0,0,0,0,0,0,77,31
2017_Q2,2017,2,2017-08-09 03:44:42,66,144,76,5,6,0,0,0,0,0,0,0,0,0,0,39,37
2017_Q1,2017,1,2017-05-10 01:56:57,91,179,104,9,4,0,0,0,0,0,1,0,0,0,0,53,56
2016_Q4,2016,4,2017-02-28 02:59:10,89,216,84,11,3,0,0,0,0,0,0,0,0,0,0,48,34
2016_Q3,2016,3,2016-11-08 02:58:18,65,160,81,8,10,0,0,0,0,0,0,0,0,0,0,35,45
2016_Q2,2016,2,2016-08-05 05:36:36,92,134,65,9,7,0,0,0,0,0,0,0,0,0,0,41,23
2016_Q1,2016,1,2016-05-04 16:04:12,73,127,82,7,5,0,0,0,0,0,0,0,0,0,0,30,45
2015_Q4,2015,4,2016-02-17 16:42:09,66,192,114,8,6,0,0,0,0,0,0,0,0,0,0,62,61
2015_Q3,2015,3,2015-11-09 18:36:14,85,205,101,5,6,0,0,0,0,0,0,0,0,0,0,81,48
2015_Q2,2015,2,2015-08-05 17:51:42,68,152,93,11,5,0,0,0,0,0,0,0,0,0,0,49,52
2015_Q1,2015,1,2015-05-07 16:36:10,64,125,95,4,3,0,0,0,0,0,0,0,0,0,0,44,53
2014_Q4,2014,4,2015-02-20 08:20:12,75,143,69,5,5,0,0,0,0,0,0,0,0,0,0,64,25
2014_Q3,2014,3,2014-11-04 15:51:13,75,123,69,9,4,0,0,0,0,0,0,0,0,0,0,39,36
2014_Q2,2014,2,2014-08-11 17:26:13,61,135,75,5,7,0,0,0,0,0,0,0,0,0,0,34,31
2014_Q1,2014,1,2014-05-08 19:28:16,67,168,81,5,5,0,0,0,0,0,0,0,0,0,0,59,39
2013_Q4,2013,4,2014-02-21 01:28:07,56,128,79,10,7,0,0,0,0,0,0,0,0,0,0,35,33
2013_Q3,2013,3,2013-11-08 01:02:43,57,137,76,5,5,0,0,0,0,0,0,0,0,0,0,41,36
2013_Q2,2013,2,2013-08-08 22:33:06,77,167,97,9,4,0,0,0,0,0,0,0,0,0,0,32,45
2013_Q1,2013,1,2013-05-09 23:33:07,76,140,84,8,6,0,0,0,0,0,0,0,0,0,0,29,28
2012_Q4,2012,4,2013-02-26 23:48:06,73,126,74,9,2,0,0,0,0,0,0,0,0,0,0,33,31
2012_Q3,2012,3,2012-11-02 01:31:08,81,100,79,6,5,0,0,0,0,0,0,0,0,0,0,23,37
2012_Q2,2012,2,2012-08-08 00:37:07,99,90,63,7,7,0,0,0,0,0,0,0,0,0,0,23,14
2012_Q1,2012,1,2012-05-10 00:01:10,84,81,71,5,2,0,0,0,0,0,0,0,0,0,0,18,24
2011_Q4,2011,4,2012-02-28 01:21:38,89,92,89,5,4,0,0,0,0,0,0,0,0,0,0,18,39
2011_Q3,2011,3,2011-11-08 01:31:14,79,99,82,9,3,0,0,0,0,0,0,0,0,0,0,25,32
2011_Q2,2011,2,2011-08-05 01:01:19,70,108,93,7,4,0,0,0,0,0,0,0,0,0,0,29,36
2011_Q1,2011,1,2011-05-06 00:21:24,53,86,58,13,4,0,0,0,0,0,0,0,0,0,0,19,13
2010_Q4,2010,4,2011-02-24 01:31:23,90,120,83,13,3,0,0,0,0,0,0,0,0,0,0,39,30
2010_Q3,2010,3,2010-11-09 01:16:30,70,129,95,11,10,0,0,0,0,0,0,0,0,0,0,29,35
2009_Q4,2009,4,2010-02-18 04:08:11,84,65,73,6,3,0,0,0,0,0,0,0,0,0,0,21,20
2009_Q3,2009,3,2009-11-10 03:18:19,77,112,62,12,7,0,0,0,0,0,0,0,0,0,0,30,23
2009_Q2,2009,2,2009-08-10 16:13:17,92,138,78,12,10,0,0,0,0,0,0,0,0,0,0,23,25
2009_Q1,2009,1,2009-05-11 17:45:26,72,110,63,8,6,0,0,0,0,0,0,0,0,0,0,34,16
2008_Q4,2008,4,2009-02-19 05:08:12,82,80,83,6,5,0,0,0,0,0,0,0,0,0,0,25,28
2008_Q3,2008,3,2008-11-07 03:38:13,83,71,97,4,4,0,0,0,0,0,0,0,0,0,0,31,27
2008_Q2,2008,2,2008-08-06 05:12:13,94,106,101,3,5,0,0,0,0,0,0,0,0,0,0,24,28
2008_Q1,2008,1,2008-05-09 01:25:13,63,108,86,2,6,0,0,0,0,0,0,0,0,0,0,44,23
2007_Q4,2007,4,2008-02-15 00:29:12,78,87,88,8,4,0,0,0,0,0,0,0,0,0,0,22,33
2007_Q3,2007,3,2007-11-13 20:46:30,50,113,70,3,8,0,0,0,0,0,0,0,0,0,0,47,20
2007_Q2,2007,2,2007-08-08 03:26:17,54,92,92,7,6,0,0,0,0,0,0,0,0,0,0,28,26
2006_Q4,2006,4,2007-02-13 00:57:20,39,99,83,6,8,0,0,0,0,0,0,0,0,0,0,22,31
2006_Q3,2006,3,2006-11-09 00:53:10,59,126,123,14,9,0,0,0,0,0,0,0,0,0,0,46,32
2006_Q2,2006,2,2006-08-07 23:22:11,62,121,98,11,6,0,0,0,0,0,0,0,1,0,0,31,30
2006_Q1,2006,1,2006-05-04 00:55:30,53,98,85,5,5,0,0,0,0,0,0,0,0,0,0,25,29
2005_Q4,2005,4,2006-02-17 16:43:51,54,68,82,8,5,0,0,0,0,0,0,0,0,0,0,32,33
