ID,Year,Quarter,Date,negative,positive,uncertainty,litigious,constraining,strong_modal_positive,strong_modal_negative,strong_modal_uncertainty,strong_modal_litigious,strong_modal_constraining,weak_modal_positive,weak_modal_negative,weak_modal_uncertainty,weak_modal_litigious,weak_modal_constraining,strong_modal_raw_count,weak_modal_raw_count
2020_Q4,2020,4,2021-01-14 19:14:08,59,178,100,27,19,0,0,0,0,0,0,0,0,0,0,42,34
2020_Q3,2020,3,2020-10-13 15:52:01,65,167,99,7,15,0,0,0,0,0,0,0,0,0,0,48,36
2020_Q2,2020,2,2020-07-17 20:32:09,83,155,87,10,20,0,0,0,0,0,0,0,0,0,0,35,26
2020_Q-1,2020,-1,2020-05-29 19:58:08,64,94,66,6,6,0,0,0,0,0,0,0,0,0,0,67,22
2020_Q1,2020,1,2020-04-16 18:21:12,140,206,143,20,29,0,0,0,0,0,0,0,0,0,0,63,44
2019_Q4,2019,4,2020-01-15 19:49:10,51,145,103,7,10,0,0,0,0,0,0,0,0,0,0,37,28
2019_Q-1,2019,-1,2019-12-11 15:12:31,30,65,56,3,1,0,0,0,0,0,0,0,0,0,0,35,11
2019_Q3,2019,3,2019-10-15 15:53:10,103,141,103,6,10,0,0,0,0,0,0,0,0,0,0,33,39
2019_Q2,2019,2,2019-07-19 16:27:38,70,170,100,7,13,0,0,0,0,0,0,0,0,0,0,34,30
2019_Q1,2019,1,2019-04-16 17:30:11,72,150,81,6,9,0,0,0,0,0,0,0,0,0,0,60,23
2018_Q4,2018,4,2019-01-16 18:11:08,102,175,109,10,13,0,0,0,0,0,0,0,1,0,0,30,41
2018_Q-1,2018,-1,2018-12-05 16:52:06,63,79,49,4,10,0,0,0,0,0,0,0,0,0,0,34,17
2018_Q3,2018,3,2018-10-16 19:23:18,80,135,107,6,19,0,0,0,0,0,0,0,0,0,0,54,38
2018_Q2,2018,2,2018-07-16 17:15:08,63,180,91,8,11,0,0,0,0,0,0,0,1,0,0,32,33
2018_Q1,2018,1,2018-04-12 16:28:09,64,144,106,10,12,0,0,0,0,0,0,0,0,0,0,45,32
2017_Q4,2017,4,2018-01-12 16:58:09,47,143,88,8,12,0,0,0,0,0,0,0,1,0,0,40,43
2017_Q3,2017,3,2017-10-11 17:44:06,63,184,89,13,5,0,0,0,0,0,0,0,0,0,0,44,37
2017_Q2,2017,2,2017-07-17 18:49:08,46,174,102,10,14,0,0,0,0,0,0,0,0,0,0,49,30
2017_Q1,2017,1,2017-04-19 16:31:23,57,172,99,8,14,0,0,0,0,0,0,0,0,0,0,44,24
2016_Q4,2016,4,2017-01-13 18:03:10,70,114,108,10,14,0,0,0,0,0,0,0,0,0,0,33,33
2016_Q3,2016,3,2016-10-18 19:23:05,66,145,116,25,15,0,0,0,0,0,0,0,0,0,0,42,35
2016_Q2,2016,2,2016-07-14 19:41:42,101,137,128,12,21,0,0,0,0,0,0,0,0,0,0,48,43
2016_Q1,2016,1,2016-04-14 17:39:09,75,162,100,12,18,0,0,0,0,0,0,0,0,0,0,30,30
