ID,Year,Quarter,Date,negative,positive,uncertainty,litigious,constraining,strong_modal_positive,strong_modal_negative,strong_modal_uncertainty,strong_modal_litigious,strong_modal_constraining,weak_modal_positive,weak_modal_negative,weak_modal_uncertainty,weak_modal_litigious,weak_modal_constraining,strong_modal_raw_count,weak_modal_raw_count
2020_Q3,2020,3,2020-11-05 18:57:04,91,203,78,13,14,0,0,0,0,0,0,0,0,0,0,49,44
2020_Q2,2020,2,2020-08-06 19:40:09,84,228,80,9,18,0,0,0,0,0,0,0,0,0,0,63,39
2020_Q-1,2020,-1,2020-06-22 22:56:47,111,261,92,9,10,0,0,0,0,0,0,0,0,0,0,96,54
2020_Q0,2020,0,2020-01-09 21:32:22,46,152,89,16,10,0,0,0,0,0,0,0,0,0,0,39,43
2020_Q1,2020,1,2020-05-07 19:32:37,104,197,87,6,16,0,0,0,0,0,0,0,0,0,0,78,50
2019_Q4,2019,4,2020-02-06 17:45:37,73,190,49,3,4,0,0,0,0,0,0,0,0,0,0,57,21
2019_Q3,2019,3,2019-10-31 18:19:07,76,137,40,13,9,0,0,0,0,0,0,0,0,0,0,63,18
2019_Q2,2019,2,2019-07-25 21:17:47,80,160,56,6,9,0,0,0,0,0,1,0,0,0,0,79,29
2019_Q1,2019,1,2019-04-25 19:27:21,114,165,85,6,5,0,0,0,0,0,0,0,0,0,0,83,42
2019_Q-1,2019,-1,2019-01-04 07:17:09,76,202,53,5,11,0,0,0,0,0,0,0,0,0,0,78,15
2018_Q4,2018,4,2019-01-24 20:29:07,100,230,79,18,7,0,0,0,0,0,0,0,0,0,0,74,39
2018_Q-1,2018,-1,2018-03-14 21:17:08,15,76,38,1,4,0,0,0,0,0,0,0,0,0,0,27,27
2018_Q3,2018,3,2018-10-25 19:50:22,119,167,100,9,15,0,0,0,0,0,0,0,0,0,0,77,43
2018_Q0,2018,0,2018-01-09 23:36:05,20,128,14,0,3,0,0,0,0,0,1,0,0,0,0,22,5
2018_Q2,2018,2,2018-07-26 19:26:24,105,201,98,15,9,0,0,0,0,0,0,0,0,0,0,90,50
2018_Q1,2018,1,2018-04-26 20:26:13,125,211,79,13,12,0,0,0,0,0,0,0,0,0,0,59,36
2017_Q4,2017,4,2018-02-05 20:24:08,110,215,100,13,12,0,0,0,0,0,0,0,0,0,0,71,68
2017_Q-1,2017,-1,2017-01-10 20:18:06,7,75,15,2,3,0,0,0,0,0,0,0,0,0,0,36,6
2017_Q3,2017,3,2017-10-26 21:44:40,121,189,84,4,11,0,0,0,0,0,0,0,0,0,0,76,39
2017_Q2,2017,2,2017-07-27 22:40:36,106,166,96,11,13,0,0,0,0,0,0,0,0,0,1,74,65
2017_Q0,2017,0,2017-03-06 21:07:06,11,73,21,0,5,0,0,0,0,0,0,0,0,0,0,23,13
2017_Q1,2017,1,2017-04-27 19:26:29,106,174,78,11,11,0,0,0,0,0,0,0,0,0,0,74,46
