ID,Year,Quarter,Date,negative,positive,uncertainty,litigious,constraining,strong_modal_positive,strong_modal_negative,strong_modal_uncertainty,strong_modal_litigious,strong_modal_constraining,weak_modal_positive,weak_modal_negative,weak_modal_uncertainty,weak_modal_litigious,weak_modal_constraining,strong_modal_raw_count,weak_modal_raw_count
2020_Q4,2020,4,2021-01-27 19:46:43,77,184,85,9,7,0,0,0,0,0,0,0,0,0,0,52,65
2020_Q3,2020,3,2020-10-28 18:55:07,90,175,109,10,8,0,0,0,0,0,0,0,0,0,0,55,73
2020_Q2,2020,2,2020-07-23 19:48:10,115,165,104,8,10,0,0,0,0,0,0,0,0,0,0,49,43
2020_Q0,2020,0,2020-05-29 22:27:08,97,76,69,5,4,0,0,0,0,0,0,0,0,0,0,67,33
2020_Q1,2020,1,2020-04-23 20:14:06,176,151,118,10,15,0,0,0,0,0,0,0,0,0,0,55,66
2019_Q4,2019,4,2020-01-30 19:37:17,63,133,57,4,7,0,0,0,0,0,0,0,0,0,0,53,43
2019_Q3,2019,3,2019-10-23 18:26:51,59,139,57,8,14,0,0,0,0,0,0,0,0,0,0,22,31
2019_Q2,2019,2,2019-07-18 19:34:16,80,113,69,5,10,0,0,0,0,0,0,0,0,0,0,36,45
2019_Q-1,2019,-1,2019-06-12 19:05:08,75,107,50,6,12,0,0,0,0,0,0,0,0,0,0,51,26
2019_Q1,2019,1,2019-04-18 19:38:09,88,153,75,11,23,0,0,0,0,0,0,0,0,0,0,68,41
2018_Q4,2018,4,2019-01-31 17:54:07,104,146,87,6,7,0,0,0,0,0,0,0,0,0,0,30,52
2018_Q-1,2018,-1,2018-12-04 23:37:09,65,64,56,10,6,0,0,0,0,0,0,0,0,0,0,20,22
2018_Q3,2018,3,2018-10-18 17:15:08,84,117,72,2,10,0,0,0,0,0,0,0,0,0,0,31,35
2018_Q2,2018,2,2018-07-19 21:55:07,67,128,82,7,12,0,0,0,0,0,0,0,0,0,0,34,49
2018_Q1,2018,1,2018-04-19 21:10:09,83,142,98,9,18,0,0,0,0,0,0,0,0,0,0,73,57
2017_Q4,2017,4,2018-02-01 23:05:07,94,186,111,23,14,0,0,0,0,0,0,0,0,0,0,82,66
2017_Q3,2017,3,2017-10-19 23:20:06,84,174,78,9,17,0,0,0,0,0,0,0,0,0,0,56,50
2017_Q2,2017,2,2017-07-21 05:54:25,80,163,70,4,15,0,0,0,0,0,0,0,0,0,0,62,45
2017_Q1,2017,1,2017-04-20 22:16:21,84,167,123,21,18,0,0,0,0,0,0,0,0,0,0,71,75
2016_Q4,2016,4,2017-01-26 23:01:02,82,177,94,13,11,0,0,0,0,0,1,0,0,0,0,72,63
2016_Q3,2016,3,2016-10-28 00:36:17,100,201,101,13,24,0,0,0,0,0,0,1,0,0,0,78,62
2016_Q2,2016,2,2016-07-21 22:36:49,134,233,135,13,19,0,0,0,0,0,0,0,0,0,0,65,66
2016_Q1,2016,1,2016-04-22 02:30:16,106,218,152,14,19,0,0,0,0,0,0,0,0,0,0,84,95
2015_Q4,2015,4,2016-01-28 21:55:08,170,207,133,12,9,0,0,0,0,0,0,0,0,0,0,88,71
2015_Q-1,2015,-1,2015-12-09 22:11:14,56,71,44,4,4,0,0,0,0,0,0,0,0,0,0,62,24
2015_Q3,2015,3,2015-10-15 22:35:12,175,181,126,8,17,0,0,0,0,0,0,0,0,0,0,57,59
2015_Q2,2015,2,2015-07-17 00:20:04,107,189,135,6,28,0,0,0,0,0,0,0,0,0,0,84,75
2015_Q1,2015,1,2015-04-16 22:15:03,57,159,71,4,15,0,0,0,0,0,0,0,0,0,0,52,43
2014_Q4,2014,4,2015-01-30 00:41:06,81,170,111,9,10,0,0,0,0,0,0,0,0,0,0,66,54
2014_Q3,2014,3,2014-10-16 22:53:07,133,174,115,7,15,0,0,0,0,0,0,0,0,0,0,64,62
2014_Q2,2014,2,2014-07-17 22:14:07,60,150,98,9,13,0,0,0,0,0,0,0,0,0,0,51,55
2014_Q1,2014,1,2014-04-17 23:32:08,111,194,111,10,20,0,0,0,0,0,0,0,0,0,0,55,67
2013_Q3,2013,3,2013-10-17 22:01:02,108,196,120,21,13,0,0,0,0,0,0,0,0,0,0,86,82
2013_Q2,2013,2,2013-07-18 21:09:06,93,177,99,9,15,0,0,0,0,0,0,0,0,0,0,46,60
2013_Q-1,2013,-1,2013-02-14 00:16:02,126,122,75,7,7,0,0,0,0,0,0,0,0,0,0,57,49
2013_Q1,2013,1,2013-04-18 20:21:11,72,173,87,6,13,0,0,0,0,0,0,0,0,0,0,60,56
2013_Q0,2013,0,2013-03-07 19:01:35,27,44,21,7,12,0,0,0,0,0,0,0,0,0,0,26,13
2012_Q4,2012,4,2013-01-31 23:41:04,114,196,116,6,5,0,0,0,0,0,0,0,0,0,0,75,63
2012_Q3,2012,3,2012-10-19 04:06:06,98,178,119,6,19,0,0,0,0,0,0,0,0,0,0,41,59
2012_Q2,2012,2,2012-07-19 20:51:05,135,182,123,7,17,0,0,0,0,0,0,0,0,0,0,80,63
2008_Q2,2008,2,2008-09-20 05:50:15,123,101,78,10,11,0,0,0,0,0,0,0,0,0,0,50,39
2007_Q2,2007,2,2007-08-13 21:11:29,89,150,101,6,12,1,0,0,0,0,0,0,0,0,0,79,51
