ID,Year,Quarter,Date,negative,positive,uncertainty,litigious,constraining,strong_modal_positive,strong_modal_negative,strong_modal_uncertainty,strong_modal_litigious,strong_modal_constraining,weak_modal_positive,weak_modal_negative,weak_modal_uncertainty,weak_modal_litigious,weak_modal_constraining,strong_modal_raw_count,weak_modal_raw_count
2020_Q3,2020,3,2020-10-13 21:36:07,217,250,136,51,28,0,0,0,0,0,0,0,0,0,0,79,55
2020_Q2,2020,2,2020-07-14 23:59:08,206,198,142,16,10,0,0,0,0,0,0,0,0,0,0,64,56
2020_Q-1,2020,-1,2020-06-11 00:40:08,43,61,34,6,5,0,0,0,0,0,0,0,0,0,0,19,18
2020_Q0,2020,0,2020-05-29 20:41:07,69,94,43,8,4,0,0,0,0,0,0,0,0,0,0,23,20
2020_Q1,2020,1,2020-04-15 21:58:08,201,127,113,13,11,0,0,0,0,0,0,0,0,0,0,44,29
2019_Q-1,2019,-1,2019-03-12 20:35:07,38,102,35,2,4,0,0,0,0,0,0,0,0,0,0,26,20
2019_Q3,2019,3,2019-10-15 20:12:25,106,203,123,3,13,0,0,0,0,0,0,1,0,0,0,68,65
2019_Q2,2019,2,2019-07-15 18:31:49,173,248,139,12,8,0,0,0,0,0,0,0,0,0,0,70,49
2019_Q0,2019,0,2019-05-29 18:36:06,69,81,71,5,0,0,0,0,0,0,0,0,0,0,0,39,21
2019_Q1,2019,1,2019-04-15 22:08:09,109,209,79,11,12,0,0,0,0,0,0,0,0,0,0,40,35
2018_Q4,2018,4,2019-01-14 21:10:08,196,265,172,5,24,0,0,0,0,0,0,0,0,0,0,42,71
2018_Q-1,2018,-1,2018-03-06 21:10:08,29,82,45,10,2,0,0,0,0,0,0,0,0,0,0,23,22
2018_Q3,2018,3,2018-10-12 20:33:04,105,168,72,6,5,0,0,0,0,0,0,0,0,0,0,38,31
2018_Q2,2018,2,2018-07-13 22:59:05,88,228,105,5,11,0,0,0,0,0,0,0,0,0,0,23,52
2018_Q0,2018,0,2018-05-30 19:42:08,53,110,68,20,12,0,0,0,0,0,0,0,0,0,0,31,22
2018_Q1,2018,1,2018-04-13 19:50:07,96,178,93,8,8,0,0,0,0,0,0,0,0,0,0,36,42
2017_Q4,2017,4,2018-01-16 22:14:05,141,259,131,14,5,0,0,0,0,0,0,0,0,0,0,61,60
2017_Q-1,2017,-1,2017-03-07 22:57:04,34,74,23,6,3,0,0,0,0,0,0,0,0,0,0,14,16
2017_Q3,2017,3,2017-10-12 19:23:05,136,164,112,17,4,0,0,0,0,0,0,0,0,0,0,45,45
2017_Q2,2017,2,2017-07-14 19:40:24,96,171,92,14,9,0,0,0,0,0,0,0,0,0,0,39,37
2017_Q1,2017,1,2017-04-13 19:15:09,97,143,102,22,15,0,0,0,0,0,0,0,0,0,0,32,50
2016_Q4,2016,4,2017-01-19 02:20:07,156,240,155,22,16,0,0,0,0,0,0,0,0,0,0,58,72
2016_Q-1,2016,-1,2016-05-31 22:09:21,52,74,52,13,1,0,0,0,0,0,0,0,0,0,0,24,25
2016_Q3,2016,3,2016-10-14 20:01:16,132,198,102,14,13,0,0,0,0,0,0,0,0,0,0,51,51
2016_Q2,2016,2,2016-07-15 22:45:19,131,224,105,24,6,0,0,0,0,0,0,0,0,0,0,29,34
2016_Q1,2016,1,2016-04-15 21:17:15,146,177,167,35,9,0,0,0,0,0,0,0,0,0,0,55,54
2015_Q4,2015,4,2016-01-16 02:25:07,178,260,168,27,8,0,0,0,0,0,0,0,0,0,0,71,63
2015_Q-1,2015,-1,2015-09-16 16:35:11,36,120,45,18,15,0,0,0,0,0,0,0,0,0,0,19,25
2015_Q3,2015,3,2015-10-15 21:47:03,145,212,150,27,10,0,0,0,0,0,0,0,0,0,0,72,52
2015_Q2,2015,2,2015-07-16 23:17:14,148,211,160,34,14,0,0,0,0,0,0,0,0,0,0,42,71
2015_Q1,2015,1,2015-04-16 21:44:04,143,196,154,44,17,0,0,0,0,0,0,0,0,1,0,54,65
2015_Q0,2015,0,2015-03-02 17:33:07,32,90,33,32,1,0,0,0,0,0,0,0,0,0,0,22,6
