ID,Year,Quarter,Date,negative,positive,uncertainty,litigious,constraining,strong_modal_positive,strong_modal_negative,strong_modal_uncertainty,strong_modal_litigious,strong_modal_constraining,weak_modal_positive,weak_modal_negative,weak_modal_uncertainty,weak_modal_litigious,weak_modal_constraining,strong_modal_raw_count,weak_modal_raw_count
2020_Q4,2020,4,2021-01-29 19:55:08,66,120,71,3,14,0,0,0,0,0,0,0,0,0,0,64,43
2020_Q3,2020,3,2020-10-30 16:22:13,79,103,59,5,10,0,0,0,0,0,0,0,0,0,0,17,30
2020_Q2,2020,2,2020-07-31 16:40:20,115,100,76,10,15,0,0,0,0,0,0,0,0,0,0,48,42
2020_Q1,2020,1,2020-05-01 20:32:35,155,124,97,12,19,0,0,0,0,0,0,1,0,0,0,84,50
2019_Q4,2019,4,2020-01-31 20:08:37,63,95,50,9,9,0,0,0,0,0,0,0,0,0,0,46,25
2019_Q3,2019,3,2019-10-25 17:17:33,67,128,47,2,11,0,0,0,0,0,0,0,0,0,0,32,29
2019_Q2,2019,2,2019-07-26 19:12:34,78,115,46,5,8,0,0,0,0,0,0,0,0,0,0,22,23
2019_Q1,2019,1,2019-04-30 19:43:08,84,146,60,3,4,0,0,0,0,0,0,0,0,0,0,38,29
2018_Q4,2018,4,2019-01-31 18:34:10,74,120,51,2,11,0,0,0,0,0,0,0,0,0,0,53,31
2018_Q3,2018,3,2018-10-26 20:46:48,87,104,43,8,6,0,0,0,0,0,0,0,0,0,0,75,28
2018_Q2,2018,2,2018-07-31 18:34:16,89,85,63,11,17,0,0,0,0,0,0,0,0,0,0,70,31
2018_Q1,2018,1,2018-04-27 20:39:06,87,117,63,8,6,0,0,0,0,0,0,0,0,0,0,55,37
2017_Q4,2017,4,2018-02-02 21:49:08,74,126,54,15,10,0,0,0,0,0,0,0,0,0,0,58,26
2017_Q3,2017,3,2017-10-26 18:05:43,69,101,53,5,15,0,0,0,0,0,0,0,0,0,0,54,32
2017_Q-1,2017,-1,2017-09-13 01:32:07,31,107,45,6,7,0,0,0,0,0,0,0,0,0,0,20,35
2017_Q2,2017,2,2017-07-27 19:00:25,85,109,52,8,8,0,0,0,0,0,0,0,0,0,0,48,32
2017_Q0,2017,0,2017-05-17 21:04:08,53,63,48,6,5,0,0,0,0,0,0,0,0,0,0,26,32
2017_Q1,2017,1,2017-05-02 17:50:34,98,93,55,15,9,0,0,0,0,0,0,0,0,0,0,54,37
2016_Q4,2016,4,2017-02-16 18:21:46,81,93,77,20,11,0,0,0,0,0,0,0,0,0,1,51,41
2016_Q3,2016,3,2016-11-03 20:04:38,90,75,71,15,9,0,0,0,0,0,0,0,0,0,0,64,42
2016_Q2,2016,2,2016-08-09 19:31:02,89,96,72,15,13,0,0,0,0,0,0,0,0,0,0,64,24
2016_Q1,2016,1,2016-04-28 19:26:28,59,81,59,12,15,0,0,0,0,0,0,0,0,0,0,87,23
2015_Q4,2015,4,2016-01-28 18:49:09,83,134,88,8,8,0,0,0,0,0,0,1,0,0,0,33,53
2015_Q3,2015,3,2015-10-29 18:20:09,89,134,62,11,13,0,0,0,0,0,0,0,0,0,0,35,32
2015_Q2,2015,2,2015-07-30 17:50:07,88,150,73,17,8,0,0,0,0,0,0,0,0,0,0,52,45
2015_Q1,2015,1,2015-04-30 18:32:05,89,186,71,9,10,0,0,0,0,0,0,0,0,0,0,44,38
