ID,Year,Quarter,Date,negative,positive,uncertainty,litigious,constraining,strong_modal_positive,strong_modal_negative,strong_modal_uncertainty,strong_modal_litigious,strong_modal_constraining,weak_modal_positive,weak_modal_negative,weak_modal_uncertainty,weak_modal_litigious,weak_modal_constraining,strong_modal_raw_count,weak_modal_raw_count
2020_Q4,2020,4,2021-01-28 19:32:06,96,222,59,14,10,0,0,0,0,0,0,0,0,0,0,80,34
2020_Q3,2020,3,2020-10-29 18:23:05,84,257,75,6,12,0,0,0,0,0,0,0,0,0,0,37,49
2020_Q2,2020,2,2020-07-30 20:45:14,120,230,55,9,9,0,0,0,0,0,0,0,0,0,0,113,26
2020_Q1,2020,1,2020-05-01 00:41:46,180,161,76,4,13,0,0,0,0,0,0,0,0,0,0,63,38
2019_Q4,2019,4,2020-01-23 17:05:23,66,256,48,7,1,0,0,0,0,0,0,0,0,0,0,81,28
2019_Q-1,2019,-1,2019-03-12 19:36:09,17,148,45,1,0,0,0,0,0,0,0,0,0,0,0,55,31
2019_Q3,2019,3,2019-10-24 17:44:06,69,204,44,7,4,0,0,0,0,0,0,0,0,0,0,78,28
2019_Q0,2019,0,2019-09-18 17:35:06,28,102,44,3,3,0,0,0,0,0,0,0,0,0,0,43,34
2019_Q2,2019,2,2019-07-25 16:47:40,58,199,49,6,3,0,0,0,0,0,0,0,0,0,0,73,27
2019_Q1,2019,1,2019-04-25 18:33:10,67,212,50,5,2,0,0,0,0,0,0,0,0,0,0,64,25
2018_Q4,2018,4,2019-01-23 21:30:15,50,263,49,7,5,1,0,0,0,0,0,0,0,0,0,76,24
2018_Q-1,2018,-1,2018-05-14 19:32:07,36,153,32,3,2,0,0,0,0,0,0,0,0,0,0,36,14
2018_Q3,2018,3,2018-10-25 17:04:25,78,320,68,5,6,0,0,0,0,0,0,0,0,0,0,93,45
2018_Q0,2018,0,2018-06-11 16:13:07,43,49,24,11,4,0,0,0,0,0,0,0,0,0,0,27,15
2018_Q2,2018,2,2018-07-26 18:26:59,58,182,54,4,3,0,0,0,0,0,0,0,0,0,0,30,35
2018_Q1,2018,1,2018-04-25 18:32:07,50,212,51,6,7,0,0,0,0,0,0,0,0,0,0,56,26
2017_Q4,2017,4,2018-01-24 19:22:17,77,223,59,6,7,0,0,0,0,0,0,0,0,0,0,67,34
2017_Q-1,2017,-1,2017-03-06 18:50:06,20,133,22,7,9,0,0,0,0,0,0,0,0,0,1,20,13
2017_Q3,2017,3,2017-10-26 16:22:01,67,226,59,5,4,0,0,0,0,0,0,0,0,0,0,62,28
2017_Q0,2017,0,2017-06-08 17:16:29,51,49,26,11,3,0,0,0,0,0,0,0,0,0,0,27,16
2017_Q2,2017,2,2017-07-27 15:28:21,60,176,51,10,1,0,0,0,0,0,0,0,0,0,0,42,31
2017_Q1,2017,1,2017-04-27 18:28:30,62,209,52,8,4,0,0,0,0,0,0,0,0,0,0,71,34
2016_Q4,2016,4,2017-01-26 20:31:00,68,194,66,9,1,0,0,0,0,0,0,0,0,0,0,62,37
2016_Q-1,2016,-1,2016-05-23 23:20:33,19,105,28,12,7,0,0,0,0,0,0,0,0,0,0,50,15
2016_Q3,2016,3,2016-10-26 19:00:15,75,189,61,17,2,0,0,0,0,0,0,0,0,0,0,54,36
2016_Q2,2016,2,2016-07-27 16:24:34,96,191,57,13,3,0,0,0,0,0,0,0,0,0,0,64,32
2016_Q1,2016,1,2016-04-27 18:28:18,75,179,57,11,8,0,0,0,0,0,0,0,0,0,0,52,29
2015_Q-1,2015,-1,2015-03-03 21:23:09,39,128,32,20,4,0,0,0,0,0,0,0,0,0,0,48,15
2015_Q4,2015,4,2016-02-03 18:46:04,73,202,53,7,3,0,0,0,0,0,0,0,0,0,0,53,31
2015_Q3,2015,3,2015-10-27 17:08:03,56,158,42,8,4,0,0,0,0,0,0,0,0,0,0,38,21
2015_Q2,2015,2,2015-07-23 17:16:13,51,253,40,5,5,0,0,0,0,0,0,0,0,0,0,64,20
