ID,Year,Quarter,Date,negative,positive,uncertainty,litigious,constraining,strong_modal_positive,strong_modal_negative,strong_modal_uncertainty,strong_modal_litigious,strong_modal_constraining,weak_modal_positive,weak_modal_negative,weak_modal_uncertainty,weak_modal_litigious,weak_modal_constraining,strong_modal_raw_count,weak_modal_raw_count
2021_Q1,2021,1,2020-12-11 05:22:00,74,139,105,15,8,0,0,0,0,0,0,0,0,0,0,44,57
2021_Q2,2021,2,2021-03-05 03:49:07,92,157,77,16,2,0,0,0,0,0,0,0,0,0,0,36,35
2020_Q4,2020,4,2020-09-25 05:57:10,105,168,114,14,15,0,0,0,0,0,0,0,0,0,0,53,60
2020_Q3,2020,3,2020-05-29 06:13:12,87,122,73,13,23,0,0,0,0,0,0,0,0,0,0,43,30
2020_Q2,2020,2,2020-03-06 01:14:11,90,131,89,15,11,0,0,0,0,0,0,0,0,0,0,47,45
2020_Q1,2020,1,2019-12-13 04:07:27,75,136,96,8,2,0,0,0,0,0,0,0,0,0,0,53,61
2019_Q4,2019,4,2019-10-04 04:33:08,71,161,82,4,9,0,0,0,0,0,0,0,0,0,0,57,48
2019_Q3,2019,3,2019-05-31 02:10:20,68,133,57,10,7,0,0,0,0,0,0,0,0,0,0,47,30
2019_Q2,2019,2,2019-03-08 03:07:17,71,101,66,7,3,0,0,0,0,0,0,0,0,0,0,54,27
2019_Q1,2019,1,2018-12-14 02:56:09,64,129,75,9,5,0,0,0,0,0,0,0,0,0,0,71,35
2018_Q4,2018,4,2018-10-05 05:16:12,90,154,85,13,5,0,0,0,0,0,0,0,0,0,0,38,46
2018_Q-1,2018,-1,2018-09-07 17:18:10,8,11,8,2,1,0,0,0,0,0,0,0,0,0,0,7,1
2018_Q3,2018,3,2018-06-01 04:59:16,71,150,94,11,7,0,0,0,0,0,0,0,0,0,0,81,51
2018_Q2,2018,2,2018-03-09 20:45:14,74,194,96,28,5,0,0,0,0,0,0,0,0,0,0,67,43
2018_Q1,2018,1,2017-12-15 05:25:09,54,147,86,25,1,0,0,0,0,0,0,0,0,0,0,61,44
2017_Q4,2017,4,2017-10-06 08:46:59,114,215,119,15,9,0,0,0,0,0,0,0,1,0,0,84,55
2017_Q3,2017,3,2017-05-26 05:04:07,92,169,99,18,5,0,0,0,0,0,0,0,0,0,0,71,44
2017_Q2,2017,2,2017-03-03 13:16:19,148,206,169,16,3,0,0,0,0,0,0,0,0,0,0,137,81
2017_Q1,2017,1,2016-12-08 05:32:10,75,176,106,24,5,0,0,0,0,0,0,0,0,0,0,61,52
2016_Q4,2016,4,2016-09-30 03:58:21,79,201,102,11,4,0,0,0,0,0,0,0,0,0,0,84,52
2016_Q3,2016,3,2016-05-26 22:12:25,70,107,109,18,4,0,0,0,0,0,0,0,0,0,0,73,49
2016_Q2,2016,2,2016-03-04 03:28:12,114,191,125,19,7,0,0,0,0,0,0,0,0,0,0,87,61
2016_Q1,2016,1,2015-12-10 01:48:10,124,194,110,23,7,0,0,0,0,0,0,0,0,0,0,36,56
2015_Q4,2015,4,2015-09-30 23:51:06,86,186,105,12,5,0,0,0,0,0,0,0,0,0,0,46,55
2015_Q3,2015,3,2015-05-28 23:52:07,84,210,135,14,7,0,0,0,0,0,0,0,0,0,0,92,61
2015_Q2,2015,2,2015-03-05 22:13:09,96,168,126,18,8,0,0,0,0,0,0,0,0,0,0,78,65
2015_Q1,2015,1,2014-12-11 00:36:11,78,169,105,11,7,0,0,0,0,0,0,0,0,0,0,61,50
2014_Q4,2014,4,2014-10-08 19:59:09,70,126,87,13,5,0,0,0,0,0,0,0,0,0,0,45,39
2014_Q-1,2014,-1,2014-09-04 18:34:11,10,10,12,3,1,0,0,0,0,0,0,0,0,0,0,6,2
2014_Q3,2014,3,2014-05-29 22:35:11,75,123,93,7,6,0,0,0,0,0,0,0,0,0,0,51,44
2014_Q2,2014,2,2014-03-06 20:50:08,104,152,77,12,4,0,0,0,0,0,0,0,0,0,0,70,38
2014_Q1,2014,1,2013-12-11 19:04:09,67,106,89,5,6,0,0,0,0,0,0,0,0,0,0,52,48
2013_Q4,2013,4,2013-10-09 19:33:07,81,119,101,7,9,0,0,0,0,0,0,0,0,0,0,66,56
2013_Q3,2013,3,2013-05-30 18:33:06,61,132,98,19,3,0,0,0,0,0,0,0,0,0,0,45,50
2013_Q2,2013,2,2013-03-12 19:03:13,69,118,98,13,4,0,0,0,0,0,0,0,0,0,0,21,50
2013_Q1,2013,1,2012-12-12 19:21:08,45,81,65,3,6,0,0,0,0,0,0,0,0,0,0,56,25
2012_Q4,2012,4,2012-10-10 17:25:08,46,92,90,8,3,0,0,0,0,0,0,1,0,0,0,46,43
2012_Q3,2012,3,2012-05-24 19:51:11,91,126,85,15,9,0,0,0,0,0,0,1,0,0,0,65,47
2012_Q2,2012,2,2012-02-29 23:51:36,91,128,84,14,3,0,0,0,0,0,0,0,0,0,0,76,47
2012_Q1,2012,1,2011-12-09 01:11:10,83,152,111,9,4,0,0,0,0,0,0,0,0,0,0,73,52
2011_Q4,2011,4,2011-10-05 21:51:14,94,134,108,10,10,0,0,0,0,0,0,0,0,0,0,90,42
2011_Q-1,2011,-1,2011-08-04 11:01:04,13,22,21,2,1,0,0,0,0,0,0,0,0,0,0,6,3
2011_Q3,2011,3,2011-05-26 01:11:18,86,156,113,12,3,0,0,0,0,0,0,0,0,0,0,84,50
2011_Q2,2011,2,2011-03-03 05:51:20,84,147,79,17,3,0,0,0,0,0,0,0,0,0,0,65,38
2011_Q1,2011,1,2010-12-08 23:06:36,77,185,88,7,7,0,0,0,0,0,0,0,0,0,0,51,42
2010_Q3,2010,3,2010-05-27 23:23:14,97,170,108,20,9,0,0,0,0,0,0,0,0,0,0,45,42
2010_Q2,2010,2,2010-03-03 23:56:22,110,145,105,16,7,0,0,0,0,0,0,0,0,0,0,89,50
2010_Q1,2010,1,2009-12-10 23:15:11,110,188,96,9,9,0,0,0,0,0,1,0,0,0,0,39,51
2009_Q4,2009,4,2009-10-08 00:41:24,111,147,112,12,4,0,0,0,0,0,0,0,0,0,0,86,37
2009_Q3,2009,3,2009-05-28 21:49:33,194,157,127,32,10,0,1,0,0,0,0,0,0,0,0,48,56
2009_Q2,2009,2,2009-03-04 23:49:14,117,164,117,11,11,0,0,0,0,0,0,0,0,0,0,78,59
2009_Q1,2009,1,2008-12-11 23:10:28,124,130,101,10,6,0,0,0,0,0,0,0,0,0,0,37,53
2008_Q4,2008,4,2008-10-08 22:44:13,164,180,148,26,7,0,0,0,0,0,0,0,0,0,0,50,55
2008_Q3,2008,3,2008-05-29 22:49:19,141,176,120,11,12,0,0,0,0,0,0,0,0,0,0,54,52
2008_Q2,2008,2,2008-03-05 22:33:09,115,176,104,19,13,0,0,0,0,0,0,0,0,0,0,54,58
2008_Q-1,2008,-1,2008-01-10 20:06:44,16,32,19,2,1,0,0,0,0,0,0,0,0,0,0,6,3
2008_Q1,2008,1,2007-12-13 23:07:46,101,141,98,11,3,0,0,0,0,0,0,0,0,0,0,62,39
2007_Q4,2007,4,2007-10-10 21:37:41,105,161,145,12,2,0,0,0,0,0,0,0,0,0,0,62,54
2007_Q3,2007,3,2007-05-31 22:11:04,106,120,127,8,5,0,0,0,0,0,0,0,0,0,0,47,56
2007_Q2,2007,2,2007-03-08 23:07:10,118,145,102,18,8,0,0,0,0,0,0,0,0,0,0,91,42
2007_Q1,2007,1,2006-12-14 21:23:56,116,127,128,12,8,0,0,0,0,0,0,0,0,0,0,99,44
2006_Q4,2006,4,2006-10-13 00:12:56,129,163,138,10,11,0,0,0,0,0,0,0,0,0,0,41,59
2006_Q3,2006,3,2006-05-31 20:16:31,67,120,121,10,3,0,0,0,0,0,0,0,0,0,0,59,45
2006_Q2,2006,2,2006-03-03 00:14:04,90,180,119,14,7,0,0,0,0,0,0,0,0,0,0,104,62
2006_Q1,2006,1,2005-12-12 19:54:54,27,60,30,4,2,0,0,0,0,0,0,0,0,0,0,30,7
