ID,Year,Quarter,Date,negative,positive,uncertainty,litigious,constraining,strong_modal_positive,strong_modal_negative,strong_modal_uncertainty,strong_modal_litigious,strong_modal_constraining,weak_modal_positive,weak_modal_negative,weak_modal_uncertainty,weak_modal_litigious,weak_modal_constraining,strong_modal_raw_count,weak_modal_raw_count
2021_Q3,2021,3,2020-12-02 04:23:07,52,209,80,5,5,0,0,0,0,0,0,0,0,0,0,45,37
2021_Q2,2021,2,2020-08-26 05:36:07,71,177,67,6,6,0,0,0,0,0,0,0,0,0,0,49,33
2021_Q1,2021,1,2020-05-29 04:38:09,102,178,99,13,10,0,0,0,0,0,0,0,0,0,0,44,33
2020_Q-1,2020,-1,2020-06-10 01:43:07,36,103,26,4,3,0,0,0,0,0,0,0,0,0,0,27,18
2020_Q0,2020,0,2020-06-09 22:30:11,38,103,25,5,3,0,0,0,0,0,0,0,0,0,0,29,18
2020_Q4,2020,4,2020-02-26 04:02:51,56,160,70,4,6,0,0,0,0,0,0,0,0,0,0,30,30
2020_Q3,2020,3,2019-12-04 03:00:07,50,156,80,9,8,0,0,0,0,0,0,0,0,0,0,23,26
2020_Q2,2020,2,2019-08-23 03:37:10,51,213,79,6,8,0,0,0,0,0,0,0,0,0,0,54,26
2020_Q1,2020,1,2019-06-05 01:13:19,57,202,74,10,7,0,0,0,0,0,0,0,0,0,0,43,42
2019_Q-1,2019,-1,2019-09-19 01:11:08,41,136,85,1,11,0,0,0,0,0,0,0,0,0,0,28,65
2019_Q4,2019,4,2019-03-05 04:54:11,39,176,47,2,5,0,0,0,0,0,0,0,0,0,0,28,22
2019_Q3,2019,3,2018-11-28 05:02:05,55,179,58,5,6,0,0,0,0,0,0,0,0,0,0,32,29
2019_Q2,2019,2,2018-08-30 01:55:07,53,174,69,6,9,0,0,0,0,0,0,0,0,0,0,34,31
2019_Q1,2019,1,2018-05-30 00:54:07,46,179,82,18,7,0,0,0,0,0,0,0,0,0,0,32,49
2018_Q-1,2018,-1,2018-03-22 01:11:11,68,151,71,3,5,0,0,0,0,0,0,0,0,0,0,59,35
2018_Q4,2018,4,2018-03-01 04:08:20,49,213,76,9,5,0,0,0,0,0,0,0,0,0,0,50,50
2018_Q2,2018,2,2017-08-23 02:31:10,55,203,46,2,11,0,0,0,0,0,0,0,0,0,0,33,25
2017_Q3,2017,3,2016-11-18 03:56:12,48,203,45,5,6,0,0,0,0,0,0,0,0,0,0,17,18
2017_Q1,2017,1,2016-05-19 02:36:13,55,211,51,5,2,0,0,0,0,0,0,0,0,0,0,39,20
2017_Q4,2017,4,2017-03-01 03:50:22,50,194,71,0,8,0,0,0,0,0,0,0,0,0,0,38,33
2017_Q2,2017,2,2016-09-01 07:46:33,56,201,74,1,6,0,0,0,0,0,0,0,0,0,0,58,34
2016_Q4,2016,4,2016-02-25 06:18:09,57,140,46,4,3,0,0,0,0,0,0,0,0,0,0,48,18
2016_Q3,2016,3,2015-11-19 04:35:10,53,174,68,3,8,0,0,0,0,0,0,0,0,0,0,43,36
2016_Q2,2016,2,2015-08-21 01:10:08,61,238,59,3,9,0,0,0,0,0,0,0,0,0,0,43,33
2016_Q1,2016,1,2015-05-21 02:00:05,58,211,65,0,7,0,0,0,0,0,0,0,0,0,0,54,37
2014_Q-1,2014,-1,2014-03-04 00:57:08,25,44,26,4,1,0,0,0,0,0,0,0,0,0,0,23,20
2014_Q2,2014,2,2013-08-29 23:26:06,55,160,85,3,2,0,0,0,0,0,0,0,0,0,0,63,31
2014_Q0,2014,0,2014-06-03 00:51:08,9,7,1,6,2,0,0,0,0,0,0,0,0,0,0,10,0
2014_Q4,2014,4,2014-02-28 01:37:05,54,168,79,3,5,0,0,0,0,0,0,0,0,0,0,51,25
2014_Q3,2014,3,2013-11-19 00:58:07,38,119,86,1,2,0,0,0,0,0,0,0,0,0,0,58,39
2014_Q1,2014,1,2013-05-23 23:16:10,71,144,82,7,6,0,0,0,0,0,0,0,0,0,0,24,28
2015_Q4,2015,4,2015-02-26 05:32:06,55,186,65,2,7,0,0,0,0,0,0,0,0,0,0,49,32
2015_Q3,2015,3,2014-11-20 01:50:07,38,200,70,4,8,0,0,0,0,0,0,0,0,0,0,36,27
2015_Q1,2015,1,2014-05-21 01:29:07,51,138,80,5,8,0,0,0,0,0,0,0,0,0,0,52,35
2013_Q0,2013,0,2013-06-07 02:43:09,11,5,6,12,5,0,0,0,0,0,0,0,0,0,0,16,3
