ID,Year,Quarter,Date,negative,positive,uncertainty,litigious,constraining,strong_modal_positive,strong_modal_negative,strong_modal_uncertainty,strong_modal_litigious,strong_modal_constraining,weak_modal_positive,weak_modal_negative,weak_modal_uncertainty,weak_modal_litigious,weak_modal_constraining,strong_modal_raw_count,weak_modal_raw_count
2021_Q2,2021,2,2021-02-10 03:09:14,90,185,83,7,11,0,0,0,0,0,0,0,0,0,0,74,48
2021_Q1,2021,1,2020-11-13 04:23:10,70,186,55,5,9,0,0,0,0,0,0,0,0,0,0,54,29
2020_Q4,2020,4,2020-08-12 23:30:16,98,131,60,9,15,0,0,0,0,0,0,0,0,0,0,96,37
2020_Q0,2020,0,2020-05-27 17:53:10,24,69,39,0,0,0,0,0,0,0,0,0,0,0,0,26,17
2020_Q3,2020,3,2020-05-14 02:20:11,103,125,85,3,9,0,0,0,0,0,0,0,0,0,0,76,49
2020_Q-1,2020,-1,2020-03-06 19:17:18,22,79,22,1,0,0,0,0,0,0,0,0,0,0,0,20,18
2020_Q2,2020,2,2020-02-13 02:43:35,79,119,84,3,7,0,0,0,0,0,0,0,0,0,0,61,49
2020_Q1,2020,1,2019-11-14 02:39:42,83,124,59,6,9,0,0,0,0,0,0,0,0,0,0,54,33
2019_Q-1,2019,-1,2019-02-25 23:05:13,21,112,28,2,4,0,0,0,0,0,0,0,0,0,0,34,14
2019_Q0,2019,0,2019-12-03 22:09:39,19,30,31,3,3,0,0,0,0,0,0,0,0,0,0,18,27
2019_Q4,2019,4,2019-08-15 03:06:09,76,126,85,7,9,0,0,0,0,0,0,0,0,0,0,43,55
2019_Q3,2019,3,2019-05-16 00:46:10,68,119,73,4,3,0,0,0,0,0,0,0,0,0,0,57,45
2019_Q2,2019,2,2019-02-14 03:54:08,65,137,67,1,8,0,0,0,0,0,0,0,0,0,0,49,39
2019_Q1,2019,1,2018-11-15 02:07:12,63,169,70,2,4,0,0,0,0,0,0,0,0,0,0,69,39
2018_Q-1,2018,-1,2018-06-07 20:12:12,56,73,40,4,4,0,0,0,0,0,0,0,0,0,0,21,26
2018_Q0,2018,0,2018-05-30 19:38:11,33,95,38,1,4,0,0,0,0,0,0,0,0,0,0,21,16
2018_Q4,2018,4,2018-08-16 03:04:09,67,141,62,4,8,0,0,0,0,0,0,0,0,0,0,73,34
2018_Q1,2018,1,2017-11-16 01:22:09,88,131,36,3,3,0,0,0,0,0,0,0,0,0,0,44,19
2018_Q2,2018,2,2018-02-15 01:56:18,86,154,55,2,4,0,0,0,0,0,0,0,0,0,0,50,27
2017_Q0,2017,0,2017-11-29 01:34:11,33,54,27,8,4,0,0,0,0,0,0,0,0,0,0,28,17
2017_Q-1,2017,-1,2017-06-06 19:51:10,54,112,40,4,9,0,0,0,0,0,0,0,0,0,0,26,30
2017_Q4,2017,4,2017-08-17 03:31:10,127,159,71,4,4,0,0,0,0,0,0,0,0,0,0,60,28
2017_Q3,2017,3,2017-05-18 02:33:10,75,98,71,3,4,0,0,0,0,0,1,0,0,0,0,72,32
2017_Q2,2017,2,2017-02-16 01:18:23,97,138,50,3,7,0,0,0,0,0,0,0,0,0,0,65,21
2017_Q1,2017,1,2016-11-17 03:58:23,98,132,63,5,10,0,0,0,0,0,0,0,0,0,0,40,26
2015_Q-1,2015,-1,2015-03-05 22:37:07,32,49,39,1,3,0,0,0,0,0,0,0,0,0,0,56,20
2015_Q3,2015,3,2015-05-14 02:12:06,101,230,88,5,11,0,0,0,0,0,0,0,0,0,0,98,44
2015_Q4,2015,4,2015-08-12 23:33:18,73,122,54,5,6,0,0,0,0,0,0,0,0,0,0,45,25
2015_Q2,2015,2,2015-02-12 05:37:08,107,229,105,5,6,0,0,0,0,0,0,0,0,0,0,75,56
2015_Q1,2015,1,2014-11-13 01:29:12,118,244,93,9,7,0,0,0,0,0,0,0,0,0,0,64,42
2016_Q0,2016,0,2016-12-12 23:12:08,87,123,56,35,17,0,0,0,0,0,0,0,0,0,0,42,20
2016_Q-1,2016,-1,2016-06-02 00:40:22,33,53,36,0,10,0,0,0,0,0,0,0,0,0,0,20,26
2016_Q4,2016,4,2016-06-16 16:38:36,35,57,38,5,4,0,0,0,0,0,0,0,0,0,0,31,17
2016_Q3,2016,3,2016-05-19 03:05:34,107,145,66,4,4,0,0,0,0,0,0,0,0,0,0,67,31
2016_Q2,2016,2,2016-02-11 00:58:11,102,145,79,4,3,0,0,0,0,0,0,0,0,0,0,60,25
2016_Q1,2016,1,2015-11-13 01:12:08,101,163,64,4,4,0,0,0,0,0,0,0,0,0,0,64,32
2014_Q-1,2014,-1,2014-03-04 00:04:09,49,53,17,2,7,0,0,0,0,0,0,0,0,0,0,40,10
2014_Q4,2014,4,2014-08-14 02:39:10,151,220,93,3,12,0,0,0,0,0,0,1,0,0,0,66,38
2014_Q3,2014,3,2014-05-15 02:29:06,145,218,101,8,14,0,0,0,0,0,0,0,0,0,0,85,52
2014_Q2,2014,2,2014-02-13 01:15:09,121,151,82,4,17,0,0,0,0,0,1,0,0,0,0,68,28
2014_Q1,2014,1,2013-11-14 00:50:08,151,158,76,3,19,0,0,0,0,0,0,0,0,0,0,93,25
2013_Q-1,2013,-1,2013-05-31 21:15:08,53,67,48,11,8,0,0,0,0,0,0,0,0,0,0,22,36
2013_Q0,2013,0,2013-11-20 00:04:09,100,104,83,14,7,0,0,0,0,0,0,0,0,0,0,87,35
