ID,Year,Quarter,Date,negative,positive,uncertainty,litigious,constraining,strong_modal_positive,strong_modal_negative,strong_modal_uncertainty,strong_modal_litigious,strong_modal_constraining,weak_modal_positive,weak_modal_negative,weak_modal_uncertainty,weak_modal_litigious,weak_modal_constraining,strong_modal_raw_count,weak_modal_raw_count
2020_Q4,2020,4,2021-02-16 17:44:25,59,175,79,8,12,0,0,0,0,0,0,0,0,0,0,68,36
2020_Q3,2020,3,2020-11-06 19:28:10,92,229,74,12,7,0,0,0,0,0,0,0,0,0,0,65,25
2020_Q2,2020,2,2020-08-05 17:03:08,94,140,61,10,10,0,0,0,0,0,0,0,0,0,0,60,22
2020_Q1,2020,1,2020-05-06 18:52:19,117,121,80,11,5,0,0,0,0,0,0,0,0,0,0,67,38
2019_Q4,2019,4,2020-02-12 18:31:47,83,226,64,25,6,0,0,0,0,0,0,0,0,0,0,71,34
2019_Q3,2019,3,2019-11-06 15:35:13,69,255,71,12,7,0,0,0,0,0,0,0,0,0,0,79,27
2019_Q2,2019,2,2019-08-07 17:34:09,69,264,88,17,6,0,0,0,0,0,0,0,0,0,0,83,52
2019_Q1,2019,1,2019-05-01 15:39:08,89,209,65,20,5,0,0,0,0,0,0,0,0,0,0,76,35
2019_Q-1,2019,-1,2019-01-08 20:53:08,30,109,9,3,6,0,0,0,0,0,0,0,0,0,0,48,2
2018_Q4,2018,4,2019-02-20 19:44:11,100,246,71,20,9,0,0,0,0,0,0,0,0,0,0,115,31
2018_Q-1,2018,-1,2018-09-13 18:59:07,34,85,29,5,3,0,0,0,0,0,0,0,0,0,0,39,18
2018_Q3,2018,3,2018-11-06 17:57:24,60,163,55,15,5,0,0,0,0,0,0,0,0,0,0,76,25
2018_Q2,2018,2,2018-08-08 21:52:02,130,237,102,36,22,0,0,0,0,0,0,0,0,0,0,80,38
2018_Q1,2018,1,2018-05-02 18:22:01,92,191,82,19,7,0,0,0,0,0,0,0,0,0,0,86,29
2017_Q4,2017,4,2018-02-08 16:58:10,68,161,71,12,11,0,0,0,0,0,0,0,0,0,0,82,27
2017_Q3,2017,3,2017-11-06 20:36:43,105,162,89,12,15,0,0,0,0,0,0,0,0,0,0,92,37
