ID,Year,Quarter,Date,negative,positive,uncertainty,litigious,constraining,strong_modal_positive,strong_modal_negative,strong_modal_uncertainty,strong_modal_litigious,strong_modal_constraining,weak_modal_positive,weak_modal_negative,weak_modal_uncertainty,weak_modal_litigious,weak_modal_constraining,strong_modal_raw_count,weak_modal_raw_count
2020_Q4,2020,4,2021-01-29 23:14:12,124,130,92,11,21,0,0,0,0,0,0,0,0,0,0,94,49
2020_Q3,2020,3,2020-10-30 21:53:05,109,185,83,16,15,0,0,0,0,0,0,0,0,0,0,90,45
2020_Q2,2020,2,2020-08-01 00:27:10,149,146,87,17,31,0,0,0,0,0,0,0,0,0,0,80,40
2020_Q1,2020,1,2020-05-01 22:02:57,163,98,66,10,9,0,0,0,0,0,1,0,0,0,0,77,40
2019_Q4,2019,4,2020-01-31 19:16:54,101,155,73,11,17,0,0,0,0,0,0,0,0,0,0,54,41
2019_Q3,2019,3,2019-11-01 19:05:07,86,139,63,15,13,0,0,0,0,0,0,0,0,0,0,64,29
2019_Q-1,2019,-1,2019-04-12 17:51:11,49,170,46,7,13,0,0,0,0,0,0,0,0,0,0,53,22
2019_Q2,2019,2,2019-08-02 18:10:09,111,148,72,6,11,0,0,0,0,0,0,0,0,0,0,47,31
2019_Q1,2019,1,2019-04-26 19:51:21,109,133,85,8,20,0,0,0,0,0,0,0,0,0,0,72,49
2018_Q4,2018,4,2019-02-01 21:27:31,78,145,86,4,19,0,0,0,0,0,0,0,0,0,0,62,44
2018_Q3,2018,3,2018-11-02 20:22:12,104,150,87,20,11,0,0,0,0,0,0,0,0,0,0,60,36
2018_Q2,2018,2,2018-07-27 21:47:07,67,119,66,11,11,0,0,0,0,0,0,0,0,0,0,39,27
2018_Q1,2018,1,2018-04-27 20:48:12,91,111,79,16,13,0,0,0,0,0,0,0,0,0,0,39,41
2018_Q-1,2018,-1,2018-03-06 21:29:10,92,279,104,13,15,0,0,0,0,0,0,0,0,0,0,47,48
2017_Q4,2017,4,2018-02-02 21:30:09,86,200,80,13,9,0,0,0,0,0,0,0,0,0,0,61,31
2017_Q3,2017,3,2017-10-27 20:12:01,106,172,69,4,9,0,0,0,0,0,0,0,0,0,0,100,39
2017_Q2,2017,2,2017-07-28 20:10:42,90,185,82,2,8,0,0,0,0,0,0,0,0,0,0,58,41
2017_Q1,2017,1,2017-04-28 19:10:23,98,148,82,36,14,0,0,0,0,0,0,0,0,0,0,66,32
2017_Q-1,2017,-1,2017-03-07 21:35:10,77,224,108,17,24,0,0,0,0,0,0,0,1,0,0,71,70
