ID,Year,Quarter,Date,negative,positive,uncertainty,litigious,constraining,strong_modal_positive,strong_modal_negative,strong_modal_uncertainty,strong_modal_litigious,strong_modal_constraining,weak_modal_positive,weak_modal_negative,weak_modal_uncertainty,weak_modal_litigious,weak_modal_constraining,strong_modal_raw_count,weak_modal_raw_count
2020_Q3,2020,3,2020-10-22 17:57:20,62,165,80,5,15,0,0,0,0,0,0,0,0,0,0,51,39
2020_Q2,2020,2,2020-07-23 17:00:10,83,179,80,6,10,0,0,0,0,0,0,0,0,0,0,57,35
2020_Q1,2020,1,2020-05-07 20:42:19,73,151,61,4,7,0,0,0,0,0,0,0,0,0,0,46,24
2019_Q4,2019,4,2020-01-30 16:11:07,52,165,87,8,5,0,0,0,0,0,0,0,0,0,0,38,38
2019_Q3,2019,3,2019-10-24 18:02:49,61,164,99,19,6,0,0,0,0,0,0,0,0,0,0,42,45
2019_Q2,2019,2,2019-07-18 18:59:07,52,191,82,5,8,0,0,0,0,0,0,0,0,0,0,48,32
2019_Q1,2019,1,2019-04-18 17:55:12,54,208,67,8,6,0,0,0,0,0,0,0,0,0,0,42,39
2018_Q4,2018,4,2019-01-29 22:22:13,57,168,99,6,6,0,0,0,0,0,0,0,0,0,0,38,45
2018_Q3,2018,3,2018-10-18 18:14:11,67,205,81,7,4,0,0,0,0,0,0,0,0,0,0,48,48
2018_Q2,2018,2,2018-07-19 19:19:07,48,250,81,5,13,0,0,0,0,0,1,0,0,0,0,56,36
2018_Q1,2018,1,2018-04-20 14:58:09,69,223,82,6,3,0,0,0,0,0,0,0,0,0,0,23,34
2017_Q4,2017,4,2018-01-30 20:53:10,47,205,85,6,5,0,0,0,0,0,0,0,0,0,0,42,45
2017_Q3,2017,3,2017-10-19 18:37:05,63,216,88,7,7,0,0,0,0,0,0,0,0,0,0,56,48
2017_Q2,2017,2,2017-07-20 17:42:07,74,210,80,8,7,0,0,0,0,0,0,0,0,0,0,23,36
2017_Q1,2017,1,2017-04-20 17:43:08,53,173,86,7,8,0,0,0,0,0,0,0,0,0,0,32,47
2016_Q4,2016,4,2017-01-31 16:54:17,92,210,100,6,4,0,0,0,0,0,0,0,0,0,0,36,54
2016_Q3,2016,3,2016-10-20 16:50:06,64,236,67,6,3,0,0,0,0,0,0,0,0,0,0,51,24
2016_Q2,2016,2,2016-07-25 16:12:39,60,247,84,7,7,0,0,0,0,0,0,0,0,0,0,55,46
2016_Q1,2016,1,2016-04-21 16:30:16,91,224,100,8,6,0,0,0,0,0,0,1,0,0,0,54,44
2015_Q4,2015,4,2016-01-26 18:08:08,85,199,83,4,6,0,0,0,0,0,0,0,0,0,0,49,44
2015_Q3,2015,3,2015-10-22 17:40:09,100,157,88,6,4,0,0,0,0,0,0,1,0,0,0,39,44
2015_Q0,2015,0,2015-09-17 20:29:14,42,106,63,13,2,0,0,0,0,0,0,0,0,0,0,33,35
2015_Q2,2015,2,2015-07-23 15:40:04,61,201,61,8,5,0,0,0,0,0,0,0,0,0,0,53,26
2015_Q-1,2015,-1,2015-05-13 23:47:12,55,171,83,10,7,0,0,0,0,0,0,0,0,0,0,78,42
2015_Q1,2015,1,2015-04-23 17:58:08,64,203,84,6,5,0,0,0,0,0,0,0,0,0,0,44,42
2014_Q4,2014,4,2015-01-27 16:36:10,72,197,81,4,8,0,0,0,0,0,0,0,0,0,0,36,47
2014_Q3,2014,3,2014-10-16 22:40:08,77,158,86,10,6,0,0,0,0,0,0,0,0,0,0,47,48
2014_Q2,2014,2,2014-07-17 18:09:05,82,143,81,6,4,0,0,0,0,0,0,0,0,0,0,38,32
2014_Q1,2014,1,2014-04-17 18:37:12,65,188,56,8,7,0,0,0,0,0,0,0,0,0,0,65,29
2013_Q4,2013,4,2014-01-28 17:21:06,72,152,99,4,8,0,0,0,0,0,0,0,0,0,0,54,48
2013_Q-1,2013,-1,2013-02-20 22:21:11,53,89,51,5,2,0,0,0,0,0,0,0,0,0,0,58,28
2013_Q3,2013,3,2013-10-17 15:51:11,82,176,71,13,2,0,0,0,0,0,0,0,0,0,0,53,34
2013_Q2,2013,2,2013-07-18 15:31:11,61,149,89,8,4,0,0,0,0,0,0,0,0,0,0,60,42
2013_Q1,2013,1,2013-04-18 17:02:11,72,142,102,8,6,0,0,1,0,0,0,0,0,0,0,55,54
2012_Q4,2012,4,2013-01-29 18:01:22,62,161,86,5,6,0,0,1,0,0,0,0,1,0,0,75,39
2012_Q-1,2012,-1,2012-12-13 03:11:08,195,468,177,14,14,0,0,0,0,0,1,0,0,0,0,192,84
2012_Q3,2012,3,2012-10-18 17:31:10,116,154,85,6,5,0,0,0,0,0,0,0,0,0,0,79,43
2012_Q2,2012,2,2012-07-19 17:51:09,67,161,123,4,8,0,0,0,0,0,0,0,1,0,0,65,71
2012_Q1,2012,1,2012-04-19 18:11:23,73,216,84,6,4,0,0,0,0,0,0,0,0,0,0,56,42
2011_Q4,2011,4,2012-01-31 18:11:08,84,167,83,5,7,0,0,0,0,0,0,0,0,0,0,60,44
2011_Q-1,2011,-1,2011-12-15 01:01:03,221,718,270,19,16,0,1,0,0,0,0,0,0,0,0,247,146
2011_Q3,2011,3,2011-10-20 16:51:15,84,149,95,9,4,0,0,0,0,0,0,0,0,0,0,66,48
2011_Q2,2011,2,2011-07-21 17:21:12,64,164,102,10,9,0,0,0,0,0,0,0,0,0,0,69,41
