ID,Year,Quarter,Date,negative,positive,uncertainty,litigious,constraining,strong_modal_positive,strong_modal_negative,strong_modal_uncertainty,strong_modal_litigious,strong_modal_constraining,weak_modal_positive,weak_modal_negative,weak_modal_uncertainty,weak_modal_litigious,weak_modal_constraining,strong_modal_raw_count,weak_modal_raw_count
2020_Q3,2020,3,2020-11-05 20:13:07,64,176,73,53,8,0,0,0,0,0,0,0,0,0,0,97,29
2020_Q2,2020,2,2020-08-10 19:42:01,70,136,61,38,12,0,0,0,0,0,0,0,0,0,0,114,22
2020_Q1,2020,1,2020-05-12 21:12:02,83,110,88,44,15,0,0,0,0,0,0,0,0,0,0,92,42
2019_Q4,2019,4,2020-02-13 21:29:46,41,142,60,29,19,0,0,0,0,0,0,0,0,0,0,80,25
2019_Q3,2019,3,2019-11-08 21:43:45,67,184,72,66,23,0,0,0,0,0,0,0,0,0,0,97,24
2019_Q2,2019,2,2019-08-06 19:16:56,62,141,72,78,24,0,0,0,0,0,0,0,0,0,0,61,34
2019_Q1,2019,1,2019-05-09 18:17:56,62,115,53,75,21,0,0,0,0,0,0,0,0,0,0,78,19
2018_Q4,2018,4,2019-02-14 23:28:09,82,151,69,60,23,0,0,0,0,0,0,0,0,0,0,53,30
2018_Q3,2018,3,2018-11-02 20:58:27,58,131,78,37,18,0,0,0,0,0,0,0,0,0,0,84,28
2018_Q2,2018,2,2018-08-02 18:34:15,50,112,28,38,11,0,0,0,0,0,0,0,0,0,0,64,18
2018_Q1,2018,1,2018-05-10 18:02:09,37,147,60,49,16,0,0,0,0,0,0,0,0,0,0,66,17
2017_Q4,2017,4,2018-02-20 21:59:11,59,172,85,73,19,0,0,0,0,0,0,0,0,0,0,97,25
2017_Q3,2017,3,2017-11-03 16:52:22,51,125,75,70,21,0,0,0,0,0,0,0,0,0,0,84,32
2017_Q-1,2017,-1,2017-09-07 19:09:06,22,49,25,45,2,0,0,0,0,0,0,0,0,0,0,23,8
2017_Q2,2017,2,2017-08-03 19:32:38,33,146,33,42,10,0,0,0,0,0,0,0,0,0,0,68,17
2017_Q1,2017,1,2017-05-09 20:38:25,63,154,69,49,9,0,0,0,0,0,0,0,0,0,0,71,37
2016_Q4,2016,4,2017-02-16 19:56:32,56,184,81,50,16,0,0,0,0,0,0,0,0,0,0,129,26
2016_Q3,2016,3,2016-11-04 20:44:21,47,86,42,34,9,0,0,0,0,0,0,0,0,0,0,50,15
2016_Q2,2016,2,2016-08-04 20:06:50,88,171,80,65,19,0,0,0,0,0,0,0,0,0,0,74,32
2016_Q1,2016,1,2016-05-03 18:54:25,90,168,73,28,9,0,0,0,0,0,0,0,0,0,0,100,27
2015_Q4,2015,4,2016-02-18 22:14:13,68,171,82,36,9,0,0,0,0,0,0,0,0,0,0,106,35
2015_Q3,2015,3,2015-11-05 21:15:12,72,115,59,33,9,0,0,0,0,0,0,0,0,0,0,43,31
2015_Q2,2015,2,2015-08-06 19:10:07,109,148,89,42,19,0,0,0,0,0,0,0,0,0,0,97,38
2015_Q1,2015,1,2015-05-01 19:23:07,106,114,91,60,21,0,0,0,0,0,0,0,0,0,0,90,42
2014_Q4,2014,4,2015-02-18 18:31:18,73,123,74,47,13,0,0,0,0,0,0,0,0,0,0,87,17
