ID,Year,Quarter,Date,negative,positive,uncertainty,litigious,constraining,strong_modal_positive,strong_modal_negative,strong_modal_uncertainty,strong_modal_litigious,strong_modal_constraining,weak_modal_positive,weak_modal_negative,weak_modal_uncertainty,weak_modal_litigious,weak_modal_constraining,strong_modal_raw_count,weak_modal_raw_count
2020_Q3,2020,3,2020-10-29 05:12:10,71,133,70,5,10,0,0,0,0,0,0,0,0,0,0,42,32
2020_Q2,2020,2,2020-07-29 02:37:13,47,203,60,4,17,0,0,0,0,0,0,0,0,0,0,59,17
2020_Q1,2020,1,2020-04-30 03:53:39,84,146,68,4,28,0,0,0,0,0,0,0,0,0,0,56,24
2019_Q4,2019,4,2020-01-29 04:31:35,53,135,71,3,12,0,0,0,0,0,0,0,0,0,0,58,39
2019_Q3,2019,3,2019-10-24 01:07:23,66,108,57,6,18,0,0,0,0,0,0,0,0,0,0,82,28
2019_Q2,2019,2,2019-07-18 01:22:27,43,141,60,9,10,0,0,0,0,0,0,0,0,0,0,68,32
2019_Q-1,2019,-1,2019-05-30 19:02:02,9,44,16,13,8,0,0,0,0,0,0,0,0,0,0,19,7
2019_Q1,2019,1,2019-04-24 01:05:15,41,111,58,8,6,0,0,0,0,0,0,0,0,0,0,57,34
2018_Q4,2018,4,2019-01-30 05:07:15,60,149,69,2,9,0,0,0,0,0,0,0,0,0,0,101,39
2018_Q3,2018,3,2018-10-31 02:50:25,54,131,66,5,12,0,0,0,0,0,0,0,0,0,0,97,31
2018_Q2,2018,2,2018-07-19 03:00:15,73,137,71,8,6,0,0,0,0,0,0,0,0,0,0,64,22
2018_Q-1,2018,-1,2018-05-30 20:36:10,13,37,21,9,3,0,0,0,0,0,0,0,0,0,0,20,10
2018_Q1,2018,1,2018-04-26 00:28:09,43,118,59,3,8,0,0,0,0,0,0,0,0,0,0,67,30
2017_Q4,2017,4,2018-02-01 03:18:06,36,149,79,3,7,0,0,0,0,0,0,0,0,0,0,80,33
2017_Q-1,2017,-1,2017-12-05 15:59:11,23,87,35,3,2,0,0,0,0,0,0,0,0,0,0,22,26
2017_Q0,2017,0,2017-05-19 00:17:11,18,58,25,25,5,0,0,0,0,0,0,0,0,0,0,28,11
2017_Q3,2017,3,2017-10-19 02:50:28,48,134,57,1,8,0,0,0,0,0,0,0,0,0,0,59,35
2017_Q2,2017,2,2017-07-21 02:40:10,59,156,48,2,8,0,0,0,0,0,0,0,0,0,0,53,24
2017_Q1,2017,1,2017-04-20 02:58:10,54,157,64,3,7,0,0,0,0,0,0,0,0,0,0,82,36
2016_Q4,2016,4,2017-01-26 04:47:10,67,172,73,9,8,0,0,0,0,0,0,0,0,0,0,81,36
2016_Q3,2016,3,2016-10-20 01:15:19,54,157,63,4,3,0,0,0,0,0,0,0,0,0,0,60,35
2016_Q2,2016,2,2016-07-21 01:54:34,84,175,70,5,11,0,0,0,0,0,0,0,0,0,0,58,32
2016_Q1,2016,1,2016-04-27 02:26:58,98,189,52,2,10,0,0,0,0,0,0,0,0,0,0,67,22
2015_Q4,2015,4,2016-01-28 03:12:09,84,156,83,0,7,0,0,0,0,0,0,0,0,0,0,60,36
2015_Q3,2015,3,2015-10-22 02:48:10,81,173,64,3,9,0,0,0,0,0,0,0,0,0,0,56,29
