ID,Year,Quarter,Date,negative,positive,uncertainty,litigious,constraining,strong_modal_positive,strong_modal_negative,strong_modal_uncertainty,strong_modal_litigious,strong_modal_constraining,weak_modal_positive,weak_modal_negative,weak_modal_uncertainty,weak_modal_litigious,weak_modal_constraining,strong_modal_raw_count,weak_modal_raw_count
2021_Q2,2021,2,2021-02-05 19:01:47,84,211,55,6,18,0,0,0,0,0,0,0,0,0,0,89,26
2021_Q1,2021,1,2020-11-02 18:06:09,84,250,59,2,18,0,0,0,0,0,0,0,0,0,0,77,23
2020_Q4,2020,4,2020-08-20 22:14:10,150,222,82,1,17,0,0,0,0,0,0,0,0,0,0,107,34
2020_Q3,2020,3,2020-05-01 19:19:48,137,179,70,4,12,0,0,0,0,0,0,0,0,0,0,71,23
2020_Q2,2020,2,2020-02-06 18:41:46,88,200,53,1,15,0,0,0,0,0,1,0,0,0,0,56,21
2020_Q1,2020,1,2019-10-31 20:29:07,87,268,89,0,9,0,0,0,0,0,0,0,0,0,0,50,34
2019_Q4,2019,4,2019-08-19 19:20:09,104,347,91,6,15,0,0,0,0,0,0,0,0,0,0,59,35
2019_Q3,2019,3,2019-05-01 20:02:25,86,277,67,1,8,1,0,0,0,0,0,0,0,0,0,49,28
2019_Q2,2019,2,2019-02-05 20:13:07,84,299,60,9,16,0,0,0,0,0,1,0,0,0,0,45,21
2019_Q1,2019,1,2018-10-31 18:30:27,99,305,94,5,6,0,0,0,0,0,0,0,0,0,0,51,34
2018_Q4,2018,4,2018-08-20 20:01:11,115,354,74,9,13,0,0,0,0,0,0,0,0,0,0,71,27
2018_Q3,2018,3,2018-05-02 20:14:25,82,254,90,23,8,0,0,0,0,0,0,0,0,0,0,71,38
2018_Q2,2018,2,2018-02-02 22:32:19,66,287,80,16,6,0,0,0,0,0,0,0,0,0,0,51,40
2018_Q1,2018,1,2017-11-01 19:28:40,60,261,56,1,7,0,0,0,0,0,0,0,0,0,0,43,21
2017_Q4,2017,4,2017-08-18 21:08:06,104,374,83,1,14,0,0,0,0,0,0,0,0,0,0,67,37
2017_Q3,2017,3,2017-05-03 19:56:21,67,250,44,1,6,0,0,0,0,0,0,0,0,0,0,51,19
2017_Q2,2017,2,2017-02-02 21:38:20,101,237,65,0,9,0,0,0,0,0,0,0,0,0,0,54,24
2017_Q1,2017,1,2016-11-02 19:56:42,95,276,84,2,12,0,0,0,0,0,0,0,0,0,0,73,21
2016_Q4,2016,4,2016-08-19 18:33:32,149,289,105,4,9,0,0,0,0,0,0,0,0,0,0,72,33
2016_Q3,2016,3,2016-05-03 19:44:33,72,268,64,1,9,0,0,0,0,0,0,0,0,0,0,63,25
2016_Q2,2016,2,2016-02-05 20:46:14,88,226,73,2,8,0,0,0,0,0,0,0,0,0,0,51,27
2016_Q1,2016,1,2015-11-02 20:40:09,97,238,94,2,10,0,0,0,0,0,0,0,0,0,0,55,40
2015_Q4,2015,4,2015-08-18 14:45:07,126,331,97,5,6,0,0,0,0,0,0,0,0,0,0,82,23
2015_Q3,2015,3,2015-05-05 18:51:11,62,244,61,2,6,0,0,0,0,0,0,0,0,0,0,79,16
2015_Q1,2015,1,2014-11-04 22:11:16,95,217,63,3,7,0,0,0,0,0,0,0,0,0,0,71,20
2014_Q4,2014,4,2014-08-15 23:17:07,68,440,84,7,11,0,0,0,0,0,0,0,0,0,0,87,35
2014_Q3,2014,3,2014-05-02 18:51:12,98,297,82,5,7,0,0,0,0,0,0,0,0,0,0,71,33
2014_Q2,2014,2,2014-02-05 19:11:47,85,250,70,4,13,0,0,0,0,0,0,0,0,0,0,61,25
2014_Q1,2014,1,2013-10-31 18:11:19,66,282,80,5,7,0,0,0,0,0,0,0,0,0,0,67,38
2013_Q4,2013,4,2013-08-15 17:02:11,103,340,96,2,8,0,0,0,0,0,0,0,0,0,0,110,32
2013_Q0,2013,0,2013-06-11 12:51:10,30,216,42,4,3,0,0,0,0,0,0,0,0,0,0,31,18
2013_Q3,2013,3,2013-05-02 18:41:09,90,245,77,3,6,0,0,0,0,0,0,0,0,0,0,64,29
2013_Q-1,2013,-1,2013-02-22 19:41:15,31,294,39,3,9,0,0,0,0,0,0,0,0,0,0,77,20
2013_Q2,2013,2,2013-02-05 19:11:12,101,236,70,5,4,0,0,0,0,0,0,0,0,0,0,58,17
2013_Q1,2013,1,2012-11-01 19:31:08,86,241,79,4,12,0,0,0,0,0,0,0,0,0,0,66,30
2012_Q4,2012,4,2012-08-14 20:41:09,123,392,97,6,12,0,0,0,0,0,1,0,0,0,0,102,40
2012_Q3,2012,3,2012-05-04 18:41:05,73,285,69,2,9,0,0,0,0,0,0,0,0,0,0,65,24
2012_Q2,2012,2,2012-02-03 20:21:08,84,245,59,2,7,0,0,0,0,0,0,0,0,0,0,59,20
2012_Q1,2012,1,2011-11-03 21:31:14,59,272,70,2,9,1,0,0,0,0,0,0,0,0,0,64,26
2011_Q4,2011,4,2011-08-15 21:11:11,90,380,111,7,9,0,0,0,0,0,0,0,0,0,0,93,44
2011_Q3,2011,3,2011-05-05 20:31:22,88,253,98,3,11,0,0,0,0,0,0,0,0,0,0,50,38
2011_Q2,2011,2,2011-02-04 00:01:21,83,284,78,5,10,0,0,0,0,0,1,0,0,0,0,70,32
2010_Q3,2010,3,2010-04-27 19:13:14,98,259,67,3,9,0,0,0,0,0,0,0,0,0,0,62,28
2010_Q4,2010,4,2010-08-12 22:30:16,118,429,116,7,17,0,0,0,0,0,0,0,0,0,0,98,52
2010_Q2,2010,2,2010-01-28 17:53:12,113,300,88,2,7,0,0,0,0,0,0,0,0,0,0,48,23
2010_Q1,2010,1,2009-11-01 15:58:10,128,286,147,9,11,0,0,0,0,0,0,0,0,0,0,79,55
2009_Q4,2009,4,2009-08-13 23:04:26,187,314,162,11,31,0,0,0,0,0,0,0,0,0,0,107,60
2009_Q3,2009,3,2009-05-04 21:46:29,139,226,86,5,7,0,0,0,0,0,0,0,0,0,0,78,34
2009_Q2,2009,2,2009-02-05 21:34:15,185,317,120,2,15,0,0,0,0,0,0,0,0,0,0,141,29
2009_Q1,2009,1,2008-10-28 19:13:12,156,237,130,1,8,0,0,0,0,0,0,0,0,0,0,82,45
2008_Q4,2008,4,2008-08-14 18:14:13,90,302,75,3,9,0,0,0,0,0,0,0,0,0,0,92,36
2008_Q3,2008,3,2008-05-06 17:24:12,92,218,64,0,5,0,0,0,0,0,0,1,0,0,0,63,38
2008_Q2,2008,2,2008-02-01 20:36:24,79,212,70,2,4,0,0,0,0,0,0,0,0,0,0,58,33
2008_Q1,2008,1,2007-10-25 23:41:55,43,134,62,5,5,0,0,0,0,0,0,0,0,0,0,29,26
2007_Q4,2007,4,2007-08-16 19:41:46,121,267,136,9,20,0,0,0,0,0,0,1,0,0,0,70,57
