ID,Year,Quarter,Date,negative,positive,uncertainty,litigious,constraining,strong_modal_positive,strong_modal_negative,strong_modal_uncertainty,strong_modal_litigious,strong_modal_constraining,weak_modal_positive,weak_modal_negative,weak_modal_uncertainty,weak_modal_litigious,weak_modal_constraining,strong_modal_raw_count,weak_modal_raw_count
2020_Q3,2020,3,2020-10-29 11:25:39,86,218,52,1,13,0,0,0,0,0,0,0,0,0,0,63,31
2020_Q2,2020,2,2020-07-31 04:36:49,124,263,87,11,10,0,0,0,0,0,0,0,0,0,0,43,45
2020_Q-1,2020,-1,2020-06-26 22:45:13,58,171,95,1,8,0,0,0,0,0,0,0,0,0,0,71,76
2020_Q1,2020,1,2020-04-29 02:25:09,144,154,42,4,18,0,0,0,0,0,0,0,0,0,0,53,22
2019_Q4,2019,4,2020-02-05 05:41:41,126,215,61,6,19,0,0,0,0,0,0,0,0,0,0,82,34
2019_Q-1,2019,-1,2019-01-16 00:43:09,53,148,57,5,12,0,0,0,0,0,0,0,0,0,0,46,36
2019_Q0,2019,0,2019-12-04 18:36:06,32,138,24,0,10,0,0,0,0,0,0,0,0,0,0,16,17
2019_Q3,2019,3,2019-10-02 16:56:09,26,78,17,1,0,0,0,0,0,0,0,0,0,0,0,19,8
2019_Q2,2019,2,2019-07-25 03:21:51,95,237,47,8,6,0,0,0,0,0,0,0,0,0,0,56,25
2019_Q1,2019,1,2019-04-04 19:36:06,63,175,71,4,1,0,0,0,0,0,0,0,0,0,0,32,28
2018_Q4,2018,4,2019-01-24 01:39:09,104,161,49,3,1,0,0,0,0,0,0,0,0,0,0,51,25
2018_Q-1,2018,-1,2018-05-15 21:17:12,40,99,47,11,13,0,0,0,0,0,0,0,0,0,0,43,34
2018_Q3,2018,3,2018-10-25 02:21:49,105,223,58,0,14,0,0,0,0,0,0,0,0,0,0,59,30
2018_Q0,2018,0,2018-09-12 19:23:15,46,70,34,5,5,0,0,0,0,0,0,0,0,0,0,32,16
2018_Q2,2018,2,2018-07-26 01:50:08,166,196,59,7,15,0,0,0,0,0,0,0,0,0,0,65,31
2018_Q1,2018,1,2018-04-26 02:02:11,102,200,72,4,12,0,0,0,0,0,0,0,0,0,0,82,41
2017_Q4,2017,4,2018-01-25 04:05:08,116,164,72,11,6,0,0,0,0,0,0,0,0,0,0,68,41
2017_Q-1,2017,-1,2017-06-01 21:36:38,69,95,89,1,5,0,0,0,0,0,0,0,0,0,0,28,28
2017_Q3,2017,3,2017-10-26 21:08:45,109,197,71,10,11,0,0,0,0,0,0,0,0,0,0,51,35
2017_Q2,2017,2,2017-07-27 00:02:21,146,280,104,2,6,0,0,0,0,0,0,1,0,0,0,99,44
2017_Q1,2017,1,2017-04-27 22:12:32,148,259,108,14,7,0,0,0,0,0,1,0,0,0,0,99,59
2016_Q4,2016,4,2017-01-26 22:50:07,122,262,120,12,4,0,0,0,0,0,0,0,0,0,0,90,69
2016_Q-1,2016,-1,2016-03-23 17:06:09,57,124,65,3,14,0,0,0,0,0,0,0,0,0,0,45,24
2016_Q3,2016,3,2016-10-27 17:20:29,125,205,99,5,14,0,0,0,0,0,0,0,1,0,0,85,51
2016_Q2,2016,2,2016-07-28 17:52:13,49,34,28,8,1,0,0,0,0,0,0,0,0,0,0,35,11
2016_Q1,2016,1,2016-04-29 05:36:19,111,265,99,11,4,0,0,0,0,0,0,0,0,0,0,139,50
2015_Q4,2015,4,2016-01-28 20:27:04,95,258,99,8,11,0,0,0,0,0,0,0,0,0,0,90,49
2015_Q-1,2015,-1,2015-03-03 20:45:02,39,108,26,1,3,0,0,0,0,0,1,0,0,0,0,28,16
2015_Q3,2015,3,2015-10-27 19:03:04,79,236,51,5,9,0,0,0,0,0,0,0,0,0,0,66,36
2015_Q2,2015,2,2015-07-28 19:24:12,111,276,81,2,6,0,0,0,0,0,0,0,0,0,0,61,51
2015_Q1,2015,1,2015-04-28 19:50:06,125,250,73,5,10,0,0,0,0,0,0,0,0,0,0,87,45
2014_Q4,2014,4,2015-01-29 19:15:06,176,263,89,6,13,0,0,0,0,0,0,0,0,0,0,73,54
2014_Q-1,2014,-1,2014-02-03 18:30:06,86,92,39,2,3,0,0,0,0,0,0,0,0,0,0,35,16
2014_Q3,2014,3,2014-10-25 01:57:11,189,165,74,7,10,0,0,0,0,0,0,0,0,0,0,46,30
2014_Q2,2014,2,2014-07-24 19:29:07,157,251,75,3,7,0,0,0,0,0,1,0,0,0,0,68,40
2014_Q1,2014,1,2014-04-25 18:08:10,156,161,92,5,7,0,0,0,0,0,0,0,0,0,0,68,51
2013_Q4,2013,4,2014-01-28 17:46:09,190,230,108,5,15,0,0,0,0,0,0,0,0,0,0,57,61
2013_Q0,2013,0,2013-05-10 04:06:05,85,181,53,10,15,0,0,0,0,0,0,0,0,0,0,70,34
2013_Q-1,2013,-1,2013-03-15 19:10:04,105,94,84,0,27,0,0,0,0,0,1,0,0,0,0,68,32
2013_Q3,2013,3,2013-10-24 16:46:03,99,281,93,2,10,0,0,0,0,0,3,0,0,0,0,33,59
2013_Q1,2013,1,2013-04-24 16:29:18,166,248,120,7,10,0,0,0,0,0,0,0,0,0,0,52,73
2013_Q2,2013,2,2013-07-24 18:21:10,125,275,87,2,16,0,0,0,0,0,1,0,0,0,0,52,46
2012_Q-1,2012,-1,2012-02-01 17:51:06,43,94,37,1,1,0,0,0,0,0,0,0,0,0,0,32,22
2012_Q4,2012,4,2013-01-29 23:41:15,155,201,85,2,12,0,0,0,0,0,0,0,0,0,0,85,40
2012_Q3,2012,3,2012-11-01 19:43:07,154,244,100,0,12,0,0,0,0,0,0,1,0,0,0,89,60
2012_Q2,2012,2,2012-07-25 18:50:06,163,218,83,0,7,0,0,0,0,0,0,0,0,0,0,97,48
2012_Q0,2012,0,2012-05-10 19:31:01,67,121,41,17,10,0,0,0,0,0,0,0,0,0,0,60,26
2012_Q1,2012,1,2012-04-27 19:01:06,124,217,93,10,16,0,0,0,0,0,0,0,0,0,0,105,53
2011_Q4,2011,4,2012-01-27 20:11:08,146,209,82,2,5,0,0,0,0,0,0,0,0,0,0,72,42
2011_Q-1,2011,-1,2011-08-03 00:01:01,63,83,30,2,2,0,0,0,0,0,0,0,0,0,0,39,17
