ID,Year,Quarter,Date,negative,positive,uncertainty,litigious,constraining,strong_modal_positive,strong_modal_negative,strong_modal_uncertainty,strong_modal_litigious,strong_modal_constraining,weak_modal_positive,weak_modal_negative,weak_modal_uncertainty,weak_modal_litigious,weak_modal_constraining,strong_modal_raw_count,weak_modal_raw_count
2020_Q4,2020,4,2021-01-28 01:51:07,88,147,65,9,12,0,0,0,0,0,0,0,0,0,0,40,40
2020_Q3,2020,3,2020-10-30 04:57:09,94,135,73,11,8,0,0,0,0,0,0,0,0,0,0,49,40
2020_Q2,2020,2,2020-07-31 02:25:06,93,143,90,8,14,0,0,0,0,0,0,0,0,0,0,38,47
2020_Q1,2020,1,2020-04-30 03:57:19,113,98,88,6,10,0,0,0,0,0,0,0,0,0,0,42,53
2019_Q4,2019,4,2020-01-30 04:05:12,72,151,58,17,12,0,0,0,0,0,0,0,0,0,0,44,36
2019_Q3,2019,3,2019-10-31 02:52:35,95,166,88,18,14,0,0,0,0,0,0,0,0,0,0,57,49
2019_Q2,2019,2,2019-07-25 02:01:15,81,171,83,37,19,0,0,0,0,0,0,0,0,0,0,46,49
2019_Q1,2019,1,2019-04-25 02:42:37,87,157,87,27,14,0,0,0,0,0,0,0,0,0,0,58,45
2019_Q-1,2019,-1,2019-02-27 01:30:13,41,141,44,18,13,0,0,0,0,0,0,0,0,0,0,32,22
2018_Q4,2018,4,2019-01-31 04:35:07,75,226,81,8,5,0,0,0,0,0,1,0,0,0,0,69,45
2018_Q3,2018,3,2018-10-31 01:38:26,73,196,71,1,13,0,0,0,0,0,0,0,0,0,0,83,40
2018_Q2,2018,2,2018-07-26 01:40:09,76,178,75,4,9,0,0,0,0,0,0,0,0,0,0,62,40
2018_Q0,2018,0,2018-06-01 02:45:06,190,178,106,28,37,0,0,0,0,0,0,0,0,0,0,84,53
2018_Q1,2018,1,2018-04-26 01:44:10,87,182,87,5,19,0,0,0,0,0,0,0,0,0,0,54,59
2017_Q4,2017,4,2018-02-01 03:39:35,75,178,76,1,13,0,0,0,0,0,0,0,0,0,0,60,40
2017_Q3,2017,3,2017-11-02 01:22:40,89,155,73,6,11,0,0,0,0,0,0,0,0,0,0,64,45
2017_Q2,2017,2,2017-07-27 01:04:24,85,210,66,7,9,0,0,0,0,0,0,0,0,0,0,58,42
2017_Q0,2017,0,2017-06-02 01:25:07,147,152,72,21,19,0,0,0,0,0,0,0,0,0,0,45,40
2017_Q1,2017,1,2017-05-04 01:02:20,77,136,55,3,6,0,0,0,0,0,0,0,0,0,0,53,30
2016_Q4,2016,4,2017-02-02 03:14:33,71,156,70,3,5,0,0,0,0,0,0,0,0,0,0,38,40
2016_Q3,2016,3,2016-11-03 01:00:29,50,167,65,1,6,0,0,0,0,0,0,0,0,0,0,48,35
2016_Q2,2016,2,2016-07-28 02:58:38,61,173,68,2,4,0,0,0,0,0,0,0,0,0,0,49,31
2016_Q0,2016,0,2016-06-20 22:15:37,106,143,66,13,25,0,0,0,0,0,0,1,0,0,0,56,34
2016_Q1,2016,1,2016-04-28 02:30:18,65,151,60,1,11,0,0,0,0,0,0,0,0,0,0,55,37
2015_Q4,2015,4,2016-01-28 02:48:16,64,194,65,0,7,0,0,0,0,0,0,0,0,0,0,38,40
2015_Q0,2015,0,2015-05-18 18:16:04,22,91,52,12,3,0,0,0,0,0,0,0,0,0,0,20,32
2015_Q3,2015,3,2015-11-05 04:36:08,66,188,76,4,11,0,0,0,0,0,0,0,0,0,0,32,48
2015_Q2,2015,2,2015-07-30 02:00:07,62,171,53,2,4,0,0,0,0,0,0,0,0,0,0,45,27
2015_Q1,2015,1,2015-04-23 01:30:03,59,205,64,4,3,0,0,0,0,0,0,0,0,0,0,38,35
2015_Q-1,2015,-1,2015-03-02 22:51:09,21,125,42,0,4,0,0,0,0,0,0,0,0,0,0,24,23
2014_Q4,2014,4,2015-01-29 04:01:58,62,216,67,2,5,0,0,0,0,0,0,0,0,0,0,35,35
2014_Q0,2014,0,2014-12-02 23:05:05,25,99,27,0,2,0,0,0,0,0,0,0,0,0,0,7,21
2014_Q3,2014,3,2014-10-29 01:15:05,61,172,72,2,3,0,0,0,0,0,0,0,0,0,0,47,32
2014_Q2,2014,2,2014-07-24 02:53:08,68,199,60,2,7,0,0,0,0,0,0,0,0,0,0,42,43
2014_Q1,2014,1,2014-04-24 03:19:07,68,202,92,3,9,0,0,0,0,0,0,0,0,0,0,44,62
2014_Q-1,2014,-1,2014-02-20 17:16:18,30,96,47,5,2,0,0,0,0,0,0,0,0,0,0,52,29
2013_Q4,2013,4,2014-01-30 00:56:07,54,196,69,2,4,0,0,0,0,0,0,0,0,0,0,28,44
2013_Q-1,2013,-1,2013-12-04 22:56:11,20,74,39,2,2,0,0,0,0,0,0,0,0,0,0,13,29
2013_Q3,2013,3,2013-10-31 00:34:08,74,205,75,3,7,0,0,0,0,0,0,0,0,0,0,49,43
2013_Q2,2013,2,2013-07-25 01:08:05,69,202,86,2,9,0,0,0,0,0,0,0,0,0,0,31,39
2013_Q1,2013,1,2013-05-02 01:10:07,58,201,80,6,6,0,0,0,0,0,0,0,0,0,0,43,51
2012_Q4,2012,4,2013-01-31 03:09:04,57,220,61,2,10,0,0,0,0,0,0,0,0,0,0,40,37
2012_Q3,2012,3,2012-10-24 02:37:06,80,175,70,5,5,0,0,0,0,0,0,0,0,0,0,31,40
2012_Q2,2012,2,2012-07-27 01:31:07,69,178,80,4,10,0,0,0,0,0,0,0,0,0,0,57,40
