ID,Year,Quarter,Date,negative,positive,uncertainty,litigious,constraining,strong_modal_positive,strong_modal_negative,strong_modal_uncertainty,strong_modal_litigious,strong_modal_constraining,weak_modal_positive,weak_modal_negative,weak_modal_uncertainty,weak_modal_litigious,weak_modal_constraining,strong_modal_raw_count,weak_modal_raw_count
2021_Q2,2021,2,2020-12-18 03:18:09,80,261,67,6,11,0,0,0,0,0,1,0,0,0,0,49,35
2021_Q1,2021,1,2020-09-16 04:49:08,64,226,74,14,7,0,0,0,0,0,0,0,0,0,0,53,38
2020_Q4,2020,4,2020-07-01 06:25:08,92,160,80,5,14,0,0,0,0,0,0,0,0,0,0,68,39
2020_Q3,2020,3,2020-03-18 03:44:34,96,157,91,8,21,0,0,0,0,0,0,0,0,0,0,75,44
2020_Q2,2020,2,2019-12-18 02:34:11,100,180,70,14,11,0,0,0,0,0,0,0,0,0,0,80,30
2020_Q1,2020,1,2019-09-18 02:01:12,95,164,69,15,10,0,0,0,0,0,0,0,0,0,0,73,32
2019_Q4,2019,4,2019-06-26 04:17:30,120,181,83,31,23,0,0,0,0,0,0,0,0,0,0,94,38
2019_Q3,2019,3,2019-03-20 02:44:11,97,198,68,4,7,0,0,0,0,0,0,0,0,0,0,77,31
2019_Q2,2019,2,2018-12-19 02:20:11,133,168,63,6,12,0,0,0,0,0,0,0,0,0,0,86,26
2019_Q1,2019,1,2018-09-17 23:19:07,36,104,42,9,4,0,0,0,0,0,0,0,0,0,0,41,15
2018_Q4,2018,4,2018-06-20 03:34:07,85,183,66,8,9,0,0,0,0,0,0,0,0,0,0,93,24
2018_Q3,2018,3,2018-03-21 02:14:07,70,190,59,16,11,0,0,0,0,0,0,0,0,0,0,57,18
2018_Q2,2018,2,2017-12-20 03:25:05,108,198,63,12,5,0,0,0,0,0,0,0,0,0,0,70,24
2018_Q1,2018,1,2017-09-20 03:55:30,96,146,62,10,11,0,0,0,0,0,1,0,0,0,0,43,24
