ID,Year,Quarter,Date,negative,positive,uncertainty,litigious,constraining,strong_modal_positive,strong_modal_negative,strong_modal_uncertainty,strong_modal_litigious,strong_modal_constraining,weak_modal_positive,weak_modal_negative,weak_modal_uncertainty,weak_modal_litigious,weak_modal_constraining,strong_modal_raw_count,weak_modal_raw_count
2020_Q3,2020,3,2020-10-14 18:50:07,142,204,148,11,25,0,0,0,0,0,0,0,0,0,0,60,53
2020_Q2,2020,2,2020-07-15 21:03:06,196,197,158,17,27,0,0,0,0,0,0,1,0,0,0,94,54
2020_Q1,2020,1,2020-04-15 20:31:08,215,157,182,8,26,0,0,0,0,0,0,0,0,0,0,92,63
2019_Q4,2019,4,2020-01-15 20:08:09,134,168,97,28,18,0,0,0,0,0,0,0,0,0,0,87,43
2019_Q3,2019,3,2019-10-16 00:27:31,128,214,108,8,8,0,0,0,0,0,0,1,1,0,0,61,49
2019_Q2,2019,2,2019-07-16 20:31:08,115,175,108,11,6,0,0,0,0,0,0,0,0,0,0,90,36
2019_Q1,2019,1,2019-04-15 20:12:20,103,169,92,13,8,0,0,0,0,0,0,0,0,0,0,101,41
2018_Q4,2018,4,2019-01-16 19:28:10,134,189,100,29,16,0,0,0,0,0,0,0,0,0,0,112,41
2018_Q3,2018,3,2018-10-19 02:57:09,86,179,107,9,13,0,0,0,0,0,0,0,0,0,0,58,50
2018_Q2,2018,2,2018-07-17 22:01:48,88,194,81,6,13,0,0,0,0,0,0,0,0,0,0,42,38
2018_Q0,2018,0,2018-05-31 23:58:10,34,154,50,4,9,0,0,0,0,0,0,0,0,0,0,42,21
2018_Q1,2018,1,2018-04-17 22:13:06,116,217,148,11,19,0,0,0,0,0,0,0,0,0,0,57,66
2017_Q4,2017,4,2018-01-17 20:50:09,132,164,126,19,24,0,0,0,0,0,0,0,1,0,0,45,48
2017_Q3,2017,3,2017-10-17 18:33:09,106,156,105,18,21,0,0,0,0,0,0,0,0,0,0,34,55
2017_Q-1,2017,-1,2017-05-31 20:53:08,47,132,77,10,4,0,0,0,0,0,1,0,0,0,0,35,39
2017_Q2,2017,2,2017-07-18 20:14:08,144,158,124,18,16,0,0,0,0,0,0,0,0,0,0,24,58
2017_Q1,2017,1,2017-04-18 18:26:08,113,133,115,23,6,0,0,0,0,0,0,0,0,0,0,22,62
