ID,Year,Quarter,Date,negative,positive,uncertainty,litigious,constraining,strong_modal_positive,strong_modal_negative,strong_modal_uncertainty,strong_modal_litigious,strong_modal_constraining,weak_modal_positive,weak_modal_negative,weak_modal_uncertainty,weak_modal_litigious,weak_modal_constraining,strong_modal_raw_count,weak_modal_raw_count
2020_Q3,2020,3,2020-11-17 17:29:12,61,181,84,3,7,0,0,0,0,0,0,0,0,0,0,31,27
2020_Q2,2020,2,2020-08-18 18:49:05,67,160,82,2,22,0,0,0,0,0,0,0,0,0,0,25,31
2020_Q0,2020,0,2020-05-28 23:50:10,71,117,60,3,10,0,0,0,0,0,0,0,0,0,0,85,34
2020_Q-1,2020,-1,2020-05-27 21:31:45,31,58,29,1,12,0,0,0,0,0,0,0,0,0,0,17,15
2020_Q1,2020,1,2020-05-19 19:38:09,116,131,80,3,30,0,0,0,0,0,0,0,0,0,0,36,25
2020_Q4,2020,4,2021-02-23 18:30:13,69,167,99,3,6,0,0,0,0,0,0,0,0,0,0,62,22
2019_Q4,2019,4,2020-02-25 20:56:09,67,178,77,4,6,0,0,0,0,0,0,0,0,0,0,35,24
2019_Q-1,2019,-1,2019-12-12 05:12:21,88,355,128,7,5,0,0,0,0,0,0,0,0,0,0,128,62
2019_Q3,2019,3,2019-11-19 18:41:07,81,131,67,3,3,0,0,0,0,0,0,0,0,0,0,46,21
2019_Q0,2019,0,2019-09-05 17:00:08,34,105,34,2,5,0,0,0,0,0,0,0,0,0,0,14,25
2019_Q2,2019,2,2019-08-20 19:59:09,82,169,86,2,3,0,0,0,0,0,0,0,0,0,0,34,33
2019_Q1,2019,1,2019-05-21 19:01:08,97,140,83,2,5,0,0,0,0,0,0,0,0,0,0,58,23
2018_Q4,2018,4,2019-02-26 19:45:08,83,159,81,4,5,0,0,0,0,0,0,0,0,0,0,53,25
2018_Q3,2018,3,2018-11-13 19:49:56,81,173,86,4,2,0,0,0,0,0,0,0,0,0,0,54,33
2018_Q0,2018,0,2018-03-06 16:52:06,12,89,22,0,2,0,0,0,0,0,0,0,0,0,0,37,9
2018_Q2,2018,2,2018-08-14 18:06:12,75,182,73,1,2,0,0,0,0,0,1,0,0,0,0,23,29
2018_Q-1,2018,-1,2018-05-30 19:43:07,33,86,35,1,7,0,0,0,0,0,0,0,0,0,0,22,19
2018_Q1,2018,1,2018-05-15 20:27:09,95,180,78,1,5,0,0,0,0,0,0,0,0,0,0,58,35
2017_Q4,2017,4,2018-02-20 19:58:08,74,172,90,2,4,0,0,0,0,0,0,0,0,0,0,52,30
2017_Q-1,2017,-1,2017-12-09 03:03:06,110,508,147,11,31,0,0,0,0,0,0,0,0,0,0,262,80
2017_Q3,2017,3,2017-11-14 19:40:28,70,152,69,1,2,0,0,0,0,0,0,0,0,0,0,55,29
