ID,Year,Quarter,Date,negative,positive,uncertainty,litigious,constraining,strong_modal_positive,strong_modal_negative,strong_modal_uncertainty,strong_modal_litigious,strong_modal_constraining,weak_modal_positive,weak_modal_negative,weak_modal_uncertainty,weak_modal_litigious,weak_modal_constraining,strong_modal_raw_count,weak_modal_raw_count
2020_Q4,2020,4,2021-01-29 20:52:06,127,229,96,3,18,0,0,0,0,0,0,0,0,0,0,85,29
2020_Q3,2020,3,2020-10-30 17:20:08,98,223,76,7,15,0,0,0,0,0,0,0,0,0,0,46,28
2020_Q2,2020,2,2020-07-24 18:48:07,124,167,115,5,22,0,0,0,0,0,0,0,0,0,0,59,55
2020_Q-1,2020,-1,2020-06-10 20:11:51,71,68,73,1,3,1,1,0,0,0,0,0,0,0,0,45,37
2020_Q1,2020,1,2020-05-01 20:49:08,208,150,131,7,31,0,0,0,0,0,0,0,0,0,0,66,59
2019_Q4,2019,4,2020-01-31 20:23:08,97,215,104,11,8,0,0,0,0,0,0,0,0,0,0,41,36
2019_Q3,2019,3,2019-10-17 18:15:12,76,223,80,6,5,0,0,0,0,0,0,0,0,0,0,64,35
2019_Q0,2019,0,2019-09-12 18:27:30,28,75,55,0,5,0,0,0,0,0,0,0,0,0,0,26,30
2019_Q2,2019,2,2019-07-18 16:59:10,107,207,110,9,12,0,0,0,0,0,0,0,0,0,0,31,45
2019_Q1,2019,1,2019-04-18 20:54:22,89,215,104,7,10,0,0,0,0,0,0,0,0,0,0,41,47
2019_Q-1,2019,-1,2019-02-20 23:12:18,32,57,28,3,4,0,0,0,0,0,0,0,0,0,0,16,13
2018_Q4,2018,4,2019-02-02 02:17:12,98,277,108,3,16,0,0,0,0,0,0,1,0,0,0,64,39
2018_Q3,2018,3,2018-10-19 17:00:09,74,231,120,20,11,0,0,0,0,0,0,0,0,0,0,60,53
2018_Q-1,2018,-1,2017-12-13 20:05:27,96,198,92,10,23,0,0,0,0,0,0,0,0,0,0,97,40
2018_Q2,2018,2,2018-07-20 18:34:16,61,237,75,9,7,0,0,0,0,0,0,0,0,0,0,59,41
2018_Q1,2018,1,2018-04-20 18:40:09,54,206,80,7,10,0,0,0,0,0,0,0,0,0,0,67,32
2017_Q4,2017,4,2018-01-26 19:10:10,75,226,79,21,12,0,0,0,0,0,0,0,0,0,0,61,28
2017_Q3,2017,3,2017-10-20 18:24:08,94,241,65,5,12,0,0,0,0,0,0,0,0,0,0,76,28
2017_Q2,2017,2,2017-07-21 20:16:07,92,212,78,3,4,0,0,0,0,0,0,0,0,0,0,65,38
2017_Q1,2017,1,2017-04-21 21:06:27,73,200,74,3,1,0,0,0,0,0,0,0,0,0,0,43,33
2016_Q4,2016,4,2017-01-28 00:32:08,131,225,95,3,18,0,0,0,0,0,0,0,0,0,0,79,43
2016_Q3,2016,3,2016-10-21 19:05:06,128,198,78,6,7,0,0,0,0,0,0,0,0,0,0,114,34
2016_Q2,2016,2,2016-07-22 19:26:34,101,269,81,2,3,0,0,0,0,0,0,0,0,0,0,95,27
2016_Q1,2016,1,2016-04-22 20:14:18,112,206,93,12,10,0,0,0,0,0,0,0,0,0,0,65,40
2015_Q4,2015,4,2016-01-29 19:22:11,120,222,81,4,8,0,0,0,0,0,0,0,0,0,0,83,37
2015_Q3,2015,3,2015-10-16 18:24:12,118,208,83,3,12,0,0,0,0,0,0,0,0,0,0,89,28
2015_Q2,2015,2,2015-07-17 19:33:08,90,259,60,2,8,0,0,0,0,0,0,0,0,0,0,45,28
2015_Q1,2015,1,2015-04-17 22:07:07,134,274,113,4,7,0,0,0,0,0,0,0,0,0,0,70,25
2014_Q4,2014,4,2015-01-23 21:47:08,101,234,99,12,5,0,0,0,0,0,1,0,0,0,0,45,31
2014_Q3,2014,3,2014-10-18 02:29:04,90,247,97,9,4,0,0,0,0,0,0,0,0,0,0,61,40
2014_Q2,2014,2,2014-07-18 20:12:04,77,205,70,5,4,0,0,0,0,0,0,0,0,0,0,25,35
2014_Q-1,2014,-1,2013-12-17 19:51:10,87,229,101,3,9,0,0,0,0,0,1,0,0,0,0,67,31
2014_Q1,2014,1,2014-04-18 01:45:08,90,205,60,5,5,0,0,0,0,0,0,0,0,0,0,41,12
2013_Q4,2013,4,2014-01-24 17:38:08,63,222,73,5,4,0,0,0,0,0,1,0,0,0,0,62,34
2013_Q-1,2013,-1,2013-02-20 22:01:13,54,95,42,3,6,0,0,0,0,0,0,0,0,0,0,29,15
2013_Q3,2013,3,2013-10-18 17:34:08,99,215,92,2,7,0,0,0,0,0,0,0,0,0,0,54,29
2013_Q2,2013,2,2013-07-19 17:50:07,81,205,82,2,1,0,0,0,0,0,0,0,0,0,0,52,28
2013_Q1,2013,1,2013-04-19 17:07:07,80,192,83,9,1,0,0,0,0,0,0,0,0,0,0,40,30
2012_Q4,2012,4,2013-01-25 18:51:09,88,211,82,3,4,0,0,0,0,0,1,0,0,0,0,54,31
2012_Q3,2012,3,2012-10-19 17:51:09,105,178,89,2,5,0,0,0,0,0,0,0,0,0,0,74,31
2012_Q2,2012,2,2012-07-18 17:21:09,96,187,76,1,7,0,0,0,0,0,0,0,0,0,0,45,24
2012_Q1,2012,1,2012-04-20 19:11:05,92,204,81,5,1,0,0,0,0,0,0,0,0,0,0,38,33
2012_Q-1,2012,-1,2011-12-15 18:21:44,71,140,84,0,4,0,0,0,0,0,0,0,0,0,0,46,18
2011_Q4,2011,4,2012-01-27 19:51:11,89,195,79,6,5,0,0,0,0,0,0,0,0,0,0,58,33
2011_Q-1,2011,-1,2011-12-07 03:16:03,24,79,23,7,11,0,0,0,0,0,0,0,0,0,1,30,12
2011_Q3,2011,3,2011-10-21 17:11:47,63,229,97,3,11,0,0,0,0,0,0,0,0,0,0,64,28
2011_Q2,2011,2,2011-07-22 18:21:12,79,223,91,4,7,0,0,0,0,0,0,0,0,0,0,76,34
2011_Q1,2011,1,2011-04-22 03:51:21,72,216,77,3,2,0,0,0,0,0,0,0,0,0,0,61,31
2010_Q4,2010,4,2011-01-28 20:06:22,69,227,100,10,4,0,0,0,0,0,0,0,0,0,0,80,34
2010_Q3,2010,3,2010-10-22 21:22:18,96,274,131,3,1,0,0,0,0,0,0,0,0,0,0,58,39
2010_Q2,2010,2,2010-07-23 18:34:18,81,235,94,5,8,0,0,0,0,0,0,0,0,0,0,52,22
2010_Q1,2010,1,2010-04-23 18:36:22,69,238,80,10,12,0,0,0,0,0,0,0,0,0,0,41,22
2009_Q4,2009,4,2010-01-29 21:03:22,103,228,113,1,8,0,0,0,0,0,0,0,0,0,0,36,35
2009_Q3,2009,3,2009-10-23 20:54:13,121,223,77,4,14,0,0,0,0,0,0,0,0,0,0,93,16
2009_Q2,2009,2,2009-07-27 18:30:25,124,173,91,9,2,1,0,0,0,0,0,0,0,0,0,34,23
2009_Q1,2009,1,2009-04-24 20:14:26,133,144,91,7,4,0,0,0,0,0,0,0,0,0,0,51,25
2009_Q-1,2009,-1,2008-12-15 21:45:22,141,193,141,4,10,0,0,0,0,0,0,0,0,0,0,63,33
2008_Q4,2008,4,2009-01-30 20:23:16,117,175,76,1,3,0,1,0,0,0,0,0,0,0,0,52,29
2008_Q3,2008,3,2008-10-17 18:29:15,94,249,74,10,11,0,0,0,0,0,0,0,0,0,0,69,20
2008_Q2,2008,2,2008-07-22 01:04:15,68,226,106,4,3,0,0,0,0,0,0,0,0,0,0,20,32
2008_Q1,2008,1,2008-04-18 17:52:10,44,200,70,15,12,0,0,0,0,0,0,0,0,0,0,20,27
2007_Q4,2007,4,2008-01-25 18:52:18,63,215,72,5,4,0,0,0,0,0,0,0,0,0,0,36,34
2007_Q3,2007,3,2007-10-19 17:53:39,44,185,68,11,1,0,0,0,0,0,0,0,0,0,0,38,29
2007_Q2,2007,2,2007-07-19 20:03:12,51,211,84,4,14,0,0,0,0,0,0,0,0,0,0,44,32
