ID,Year,Quarter,Date,negative,positive,uncertainty,litigious,constraining,strong_modal_positive,strong_modal_negative,strong_modal_uncertainty,strong_modal_litigious,strong_modal_constraining,weak_modal_positive,weak_modal_negative,weak_modal_uncertainty,weak_modal_litigious,weak_modal_constraining,strong_modal_raw_count,weak_modal_raw_count
2020_Q4,2020,4,2021-01-22 03:19:07,91,188,69,23,14,0,0,0,0,0,0,0,0,0,0,73,36
2020_Q3,2020,3,2020-10-20 03:13:08,82,156,62,5,11,0,0,0,0,0,0,0,0,0,0,38,39
2020_Q2,2020,2,2020-07-21 04:28:07,110,179,77,9,13,0,0,0,0,0,0,0,0,0,0,52,48
2020_Q1,2020,1,2020-04-21 01:40:10,114,152,66,5,18,0,0,0,0,0,0,0,0,0,0,51,43
2019_Q4,2019,4,2020-01-22 03:46:10,82,150,43,6,14,0,0,0,0,0,0,0,0,0,0,42,22
2019_Q3,2019,3,2019-10-17 03:23:07,82,143,36,6,3,0,0,0,0,0,0,0,0,0,0,45,23
2019_Q2,2019,2,2019-07-17 23:59:09,70,144,27,6,2,0,0,0,0,0,0,0,0,0,0,41,16
2019_Q-1,2019,-1,2019-06-04 21:40:10,35,76,33,12,2,0,0,0,0,0,0,0,0,0,0,40,25
2019_Q1,2019,1,2019-04-17 00:54:11,117,173,54,6,8,0,0,0,0,0,0,0,0,0,0,33,28
2018_Q4,2018,4,2019-01-23 01:07:09,120,219,65,5,8,0,0,0,0,0,0,0,0,0,0,41,32
2018_Q-1,2018,-1,2018-10-29 20:18:07,47,115,29,6,10,0,0,0,0,0,0,0,0,0,0,35,16
2018_Q0,2018,0,2018-11-27 23:56:49,36,72,80,7,6,0,0,0,0,0,0,0,0,0,0,25,47
2018_Q3,2018,3,2018-10-17 00:55:20,95,193,34,5,6,0,0,0,0,0,0,0,0,0,0,40,20
2018_Q2,2018,2,2018-07-19 01:14:09,75,181,36,5,4,0,0,0,0,0,0,0,0,0,0,27,21
2018_Q1,2018,1,2018-04-18 04:33:12,88,193,43,6,5,0,0,0,0,0,0,0,0,0,0,23,26
2017_Q4,2017,4,2018-01-19 02:24:11,89,200,65,13,5,0,0,0,0,0,0,0,0,0,0,90,37
2017_Q-1,2017,-1,2017-09-11 19:20:06,15,50,11,9,0,0,0,0,0,0,0,0,0,0,0,9,6
2017_Q0,2017,0,2017-11-28 23:31:59,33,51,19,13,4,0,0,0,0,0,0,0,0,0,0,50,13
2017_Q3,2017,3,2017-10-18 02:41:07,192,312,108,14,18,0,0,0,0,0,0,0,0,0,0,78,80
2017_Q2,2017,2,2017-07-19 04:20:08,102,200,46,25,7,0,0,0,0,0,0,0,0,0,0,98,32
2017_Q1,2017,1,2017-04-19 02:03:09,91,152,41,14,10,0,0,0,0,0,0,0,0,0,0,75,33
2016_Q4,2016,4,2017-01-20 01:20:08,104,179,55,14,11,0,0,0,0,0,0,0,0,0,0,69,31
2016_Q-1,2016,-1,2016-05-23 18:47:30,23,64,37,7,6,1,0,0,0,0,0,0,0,0,0,22,28
2016_Q3,2016,3,2016-10-18 03:29:07,78,138,63,8,6,0,0,0,0,0,0,0,0,0,0,65,33
2016_Q2,2016,2,2016-07-19 04:29:20,100,111,43,1,9,0,0,0,0,0,0,0,0,0,0,50,30
2016_Q1,2016,1,2016-04-19 03:28:20,125,143,58,3,9,0,0,0,0,0,0,0,0,0,0,95,43
2015_Q4,2015,4,2016-01-20 03:08:15,104,155,63,10,7,0,0,0,0,0,0,0,0,0,0,63,48
2015_Q-1,2015,-1,2015-03-04 00:35:11,45,63,23,4,5,0,0,0,0,0,0,0,0,0,0,76,18
2015_Q0,2015,0,2015-12-01 20:02:11,44,47,35,5,2,0,0,0,0,0,0,0,0,0,0,18,24
2015_Q3,2015,3,2015-10-20 00:15:07,130,121,53,7,4,0,0,0,0,0,0,0,0,0,0,75,38
2015_Q2,2015,2,2015-07-20 23:15:10,120,148,63,5,6,0,0,0,0,0,0,0,0,0,0,53,40
2015_Q1,2015,1,2015-04-21 02:52:12,108,154,62,9,7,1,0,0,0,0,0,0,0,0,0,62,38
2014_Q4,2014,4,2015-01-21 01:50:14,157,168,69,5,11,0,0,0,0,0,0,0,0,0,0,74,43
2014_Q-1,2014,-1,2014-11-12 00:04:07,79,107,40,9,13,0,0,0,0,0,0,0,0,0,0,55,25
2014_Q3,2014,3,2014-10-20 19:37:06,196,126,67,7,15,0,0,0,0,0,0,0,0,0,0,107,45
2014_Q2,2014,2,2014-07-18 01:09:09,97,141,27,7,8,0,0,0,0,0,0,0,0,0,0,42,17
