ID,Year,Quarter,Date,negative,positive,uncertainty,litigious,constraining,strong_modal_positive,strong_modal_negative,strong_modal_uncertainty,strong_modal_litigious,strong_modal_constraining,weak_modal_positive,weak_modal_negative,weak_modal_uncertainty,weak_modal_litigious,weak_modal_constraining,strong_modal_raw_count,weak_modal_raw_count
2020_Q4,2020,4,2021-01-22 05:59:10,62,273,65,1,17,0,0,0,0,0,0,0,0,0,0,87,27
2020_Q3,2020,3,2020-10-23 01:21:08,72,176,72,2,6,0,0,0,0,0,0,0,0,0,0,52,25
2020_Q2,2020,2,2020-07-24 00:24:11,81,150,65,1,5,0,0,0,0,0,0,0,0,0,0,25,19
2020_Q1,2020,1,2020-04-24 02:23:36,92,170,53,1,17,0,0,0,0,0,0,0,0,0,0,32,23
2020_Q-1,2020,-1,2020-01-07 06:57:16,34,237,41,1,5,0,0,0,0,0,0,0,0,0,0,36,28
2019_Q4,2019,4,2020-01-24 04:40:11,63,167,56,0,15,0,0,0,0,0,0,0,0,0,0,59,25
2019_Q3,2019,3,2019-10-25 02:36:08,65,166,57,1,9,0,0,0,0,0,0,0,0,0,0,59,20
2019_Q-1,2019,-1,2019-09-04 20:02:34,54,112,52,5,3,0,0,0,0,0,0,0,0,0,0,44,31
2019_Q2,2019,2,2019-07-26 02:44:11,80,174,74,2,13,0,0,0,0,0,0,0,0,0,0,58,29
2019_Q1,2019,1,2019-04-26 02:13:10,80,135,71,1,10,0,0,0,0,0,0,0,0,0,0,37,30
2019_Q0,2019,0,2019-01-08 21:46:58,14,82,29,1,6,0,0,0,0,0,0,0,0,0,0,33,14
2018_Q4,2018,4,2019-01-25 02:15:23,65,141,63,2,17,0,0,0,0,0,0,0,0,0,0,46,27
2018_Q-1,2018,-1,2018-05-17 22:36:10,88,131,76,25,14,0,0,0,0,0,0,0,0,0,0,51,30
2018_Q0,2018,0,2018-01-10 03:36:08,40,82,34,1,6,0,0,0,0,0,0,0,0,0,0,33,16
2018_Q3,2018,3,2018-10-26 00:10:16,51,159,51,1,15,0,0,0,0,0,0,0,0,0,0,45,19
2018_Q2,2018,2,2018-07-27 00:44:13,80,178,53,2,4,0,0,0,0,0,0,0,0,0,0,36,27
2018_Q1,2018,1,2018-04-27 01:00:15,73,161,76,1,6,0,0,0,0,0,0,0,0,0,0,59,20
2017_Q4,2017,4,2018-01-26 04:10:11,61,150,75,5,13,0,0,0,0,0,0,0,0,0,0,49,23
2017_Q-1,2017,-1,2017-08-08 00:24:11,84,126,52,14,6,0,0,0,0,0,0,0,0,0,0,37,36
2017_Q1,2017,1,2017-04-28 01:18:33,53,132,60,3,14,0,0,0,0,0,0,0,0,0,0,58,19
2017_Q3,2017,3,2017-10-27 01:18:30,60,186,52,1,7,0,0,0,0,0,0,0,0,0,0,47,25
2017_Q2,2017,2,2017-07-28 01:44:24,54,152,49,1,5,0,0,0,0,0,0,0,0,0,0,34,20
2016_Q4,2016,4,2017-01-27 05:01:04,70,174,100,4,11,0,0,0,0,0,0,0,0,0,0,81,31
2016_Q-1,2016,-1,2016-06-01 17:09:09,59,108,80,17,7,0,0,0,0,0,0,0,0,0,0,54,45
2016_Q0,2016,0,2016-11-29 21:47:09,63,126,50,12,5,0,0,0,0,0,0,0,0,0,0,35,25
2016_Q3,2016,3,2016-10-19 04:10:18,99,139,56,3,6,0,0,0,0,0,0,0,0,0,0,35,17
2016_Q2,2016,2,2016-07-21 01:44:35,71,127,58,0,6,0,0,0,0,0,0,0,0,0,0,54,24
2016_Q1,2016,1,2016-04-20 02:52:17,97,142,70,5,3,0,0,0,0,0,0,0,0,0,0,81,22
2015_Q4,2015,4,2016-01-15 03:59:10,74,105,48,1,4,0,0,0,0,0,0,0,0,0,0,50,22
2015_Q-1,2015,-1,2015-08-04 04:06:14,57,102,52,1,10,0,1,0,0,0,0,0,0,0,0,41,40
2015_Q3,2015,3,2015-10-14 01:26:10,64,114,60,2,8,0,0,0,0,0,0,1,0,0,0,52,25
2015_Q2,2015,2,2015-07-16 01:00:06,77,121,68,10,2,0,0,0,0,0,0,0,0,0,0,73,18
2015_Q0,2015,0,2015-05-21 20:15:11,86,132,70,28,14,0,0,0,0,0,0,0,0,0,0,78,28
2015_Q1,2015,1,2015-04-15 00:33:11,78,116,83,6,5,0,0,0,0,0,0,0,0,0,0,48,26
2014_Q4,2014,4,2015-01-16 02:03:11,75,136,71,0,6,0,0,0,0,0,0,0,0,0,0,48,33
2014_Q-1,2014,-1,2014-09-03 18:18:07,37,122,62,26,7,0,0,0,0,0,0,0,0,0,0,45,31
2014_Q3,2014,3,2014-10-15 00:42:09,66,122,63,0,6,0,0,0,0,0,0,0,0,0,0,32,19
2014_Q2,2014,2,2014-07-16 04:06:06,75,94,81,1,6,0,0,0,0,0,0,0,0,0,0,45,29
2014_Q1,2014,1,2014-04-16 03:43:07,84,134,53,5,8,0,0,0,0,0,0,0,0,0,0,62,26
2013_Q4,2013,4,2014-01-17 01:02:06,61,109,60,3,8,0,0,0,0,0,0,0,0,0,0,55,30
2013_Q3,2013,3,2013-10-15 23:58:06,89,103,85,3,4,0,0,0,0,0,0,0,0,0,0,69,49
2013_Q-1,2013,-1,2013-09-04 19:43:09,52,144,47,8,2,0,0,0,0,0,0,0,0,0,0,65,23
2013_Q2,2013,2,2013-07-18 01:09:05,68,125,46,0,1,0,0,0,0,0,0,0,0,0,0,62,20
2013_Q0,2013,0,2013-05-17 19:47:06,63,115,80,21,21,0,0,0,0,0,0,0,0,0,0,41,22
2013_Q1,2013,1,2013-04-17 00:08:09,56,122,69,3,4,0,0,0,0,0,0,0,0,0,0,34,34
2012_Q4,2012,4,2013-01-18 01:18:08,60,101,65,2,5,0,0,0,0,0,0,0,0,0,0,47,34
2012_Q-1,2012,-1,2012-03-06 22:01:06,30,143,22,6,18,0,0,0,0,0,0,0,0,0,0,23,9
2012_Q3,2012,3,2012-10-16 23:06:09,86,73,70,0,2,0,0,0,0,0,0,0,0,0,0,36,27
2012_Q2,2012,2,2012-07-17 22:55:07,71,77,51,1,1,0,0,0,0,0,0,0,0,0,0,17,28
2012_Q1,2012,1,2012-04-18 01:31:36,85,128,77,2,7,0,0,0,0,0,0,0,0,0,0,50,42
2011_Q4,2011,4,2012-01-20 02:21:11,56,90,66,3,1,0,0,0,0,0,0,0,0,0,0,68,32
2011_Q3,2011,3,2011-10-19 04:21:14,77,116,85,2,6,0,0,0,0,0,0,0,0,0,0,47,45
2011_Q2,2011,2,2011-07-21 02:11:10,70,130,72,2,6,0,0,0,0,0,0,0,0,0,0,46,22
2011_Q1,2011,1,2011-04-20 02:21:20,97,111,63,4,5,0,0,0,0,0,0,0,0,0,0,52,28
2010_Q4,2010,4,2011-01-14 02:43:37,69,122,68,1,11,0,0,0,0,0,0,0,0,0,0,61,33
2010_Q1,2010,1,2010-04-14 01:15:14,63,107,68,1,12,0,0,0,0,0,0,0,0,0,0,57,34
2009_Q4,2009,4,2010-01-15 01:48:11,70,125,64,3,7,0,0,0,0,0,0,0,0,0,0,58,23
2009_Q3,2009,3,2009-10-14 01:45:12,87,114,63,1,7,0,0,0,0,0,0,0,0,0,0,30,29
2009_Q2,2009,2,2009-07-15 00:58:26,108,139,88,0,11,0,0,0,0,0,0,0,0,0,0,44,47
2009_Q1,2009,1,2009-04-15 03:47:13,105,109,88,4,8,0,0,0,0,0,0,0,0,0,0,55,39
2008_Q4,2008,4,2009-01-16 03:26:30,155,102,83,4,9,0,0,0,0,0,0,0,0,0,0,65,38
2008_Q3,2008,3,2008-10-15 03:50:13,110,118,100,6,7,0,0,0,0,0,0,0,0,0,0,47,48
2008_Q2,2008,2,2008-07-16 03:23:17,94,103,75,4,22,0,0,0,0,0,0,0,0,0,0,44,30
2008_Q1,2008,1,2008-04-16 02:42:14,136,157,96,6,12,0,0,0,0,0,0,0,0,0,0,31,40
2007_Q4,2007,4,2008-01-16 07:30:52,118,130,94,4,7,0,0,0,0,0,0,0,0,0,0,39,38
2007_Q3,2007,3,2007-10-17 02:14:33,49,122,60,1,9,0,0,0,0,0,0,0,0,0,0,40,25
2007_Q2,2007,2,2007-07-18 01:31:55,69,165,74,1,4,0,0,0,0,0,0,0,0,0,0,63,30
2007_Q1,2007,1,2007-04-18 03:25:25,79,145,109,1,9,0,0,0,0,0,1,0,0,0,0,59,51
2006_Q4,2006,4,2007-01-17 04:17:19,102,91,121,5,11,0,0,0,0,0,0,0,0,0,0,74,58
2006_Q3,2006,3,2006-10-18 03:50:12,85,141,107,5,5,0,0,0,0,0,0,0,0,0,0,64,47
2006_Q2,2006,2,2006-07-20 04:05:41,102,107,104,3,6,0,0,0,0,0,1,0,0,0,0,55,47
2006_Q1,2006,1,2006-04-20 01:23:44,109,96,120,6,10,0,0,0,0,0,0,0,0,0,0,86,41
