ID,Year,Quarter,Date,negative,positive,uncertainty,litigious,constraining,strong_modal_positive,strong_modal_negative,strong_modal_uncertainty,strong_modal_litigious,strong_modal_constraining,weak_modal_positive,weak_modal_negative,weak_modal_uncertainty,weak_modal_litigious,weak_modal_constraining,strong_modal_raw_count,weak_modal_raw_count
2021_Q2,2021,2,2021-02-24 03:46:53,109,222,67,1,7,0,0,0,0,0,0,0,0,0,0,35,32
2021_Q1,2021,1,2020-11-20 01:44:10,88,140,70,18,9,0,0,0,0,0,0,0,0,0,0,23,36
2020_Q4,2020,4,2020-08-26 05:01:57,117,201,103,5,7,0,0,0,0,0,0,0,0,0,0,45,58
2020_Q3,2020,3,2020-05-22 04:15:09,133,203,94,4,12,0,0,0,0,0,0,0,0,0,0,61,41
2020_Q2,2020,2,2020-02-25 05:34:39,106,275,93,6,13,0,0,0,0,0,0,0,0,0,0,63,54
2020_Q1,2020,1,2019-11-22 03:18:10,99,183,62,2,6,0,0,0,0,0,0,0,0,0,0,35,42
2019_Q4,2019,4,2019-08-23 02:24:09,100,210,62,2,4,0,0,0,0,0,0,0,0,0,0,36,41
2019_Q3,2019,3,2019-05-24 02:11:27,96,224,79,3,9,0,0,0,0,0,0,0,0,0,0,21,41
2019_Q2,2019,2,2019-02-22 01:27:19,109,194,68,7,7,0,0,0,0,0,0,0,0,0,0,48,42
2019_Q1,2019,1,2018-11-20 01:19:09,69,164,90,4,10,0,0,0,0,0,0,0,0,0,0,50,52
2018_Q4,2018,4,2018-08-24 02:48:15,90,187,97,7,6,0,0,0,0,0,0,0,0,0,0,62,62
2018_Q3,2018,3,2018-05-23 03:50:11,88,189,87,7,5,0,0,0,0,0,0,0,0,0,0,60,58
2018_Q2,2018,2,2018-02-23 01:21:51,89,175,73,7,3,0,0,0,0,0,0,0,0,0,0,49,35
2018_Q1,2018,1,2017-11-21 03:47:32,88,167,80,4,3,0,0,0,0,0,0,0,0,0,0,40,44
2017_Q4,2017,4,2017-08-23 01:48:09,104,201,91,2,7,0,0,0,0,0,0,0,0,0,0,81,45
2017_Q3,2017,3,2017-05-24 02:35:25,78,139,58,3,7,0,0,0,0,0,0,0,0,0,0,70,29
2017_Q2,2017,2,2017-02-24 05:06:24,47,113,47,1,2,0,0,0,0,0,0,0,0,0,0,37,25
2017_Q1,2017,1,2016-11-18 03:54:09,72,146,57,1,4,0,0,0,0,0,0,0,0,0,0,53,21
2016_Q4,2016,4,2016-08-24 02:33:46,66,174,51,6,5,0,0,0,0,0,0,0,0,0,0,46,23
2016_Q3,2016,3,2016-05-25 03:03:39,82,188,64,4,7,0,0,0,0,0,1,0,0,0,0,50,35
2016_Q2,2016,2,2016-02-26 02:32:11,57,151,45,5,9,0,0,0,0,0,1,0,0,0,0,42,26
2016_Q1,2016,1,2015-11-20 03:22:08,89,148,67,5,6,0,0,0,0,0,0,0,0,0,0,59,37
