ID,Year,Quarter,Date,negative,positive,uncertainty,litigious,constraining,strong_modal_positive,strong_modal_negative,strong_modal_uncertainty,strong_modal_litigious,strong_modal_constraining,weak_modal_positive,weak_modal_negative,weak_modal_uncertainty,weak_modal_litigious,weak_modal_constraining,strong_modal_raw_count,weak_modal_raw_count
2020_Q4,2020,4,2021-01-22 00:54:08,80,125,115,18,15,0,0,0,0,0,0,0,0,0,0,104,44
2020_Q3,2020,3,2020-10-16 03:18:08,84,137,92,9,10,0,0,0,0,0,0,0,0,0,0,67,44
2020_Q2,2020,2,2020-07-22 02:59:11,98,113,87,14,19,0,0,0,0,0,0,0,0,0,0,105,33
2020_Q1,2020,1,2020-04-17 02:55:14,127,93,126,7,16,0,0,0,0,0,0,1,0,0,0,105,57
2019_Q4,2019,4,2020-01-24 02:47:16,69,136,118,8,6,0,0,0,0,0,0,0,0,0,0,72,33
2019_Q3,2019,3,2019-10-18 02:40:12,51,119,110,12,11,0,0,0,0,0,0,0,0,0,0,91,48
2019_Q2,2019,2,2019-07-19 03:24:08,44,113,118,11,13,0,0,0,0,0,0,0,0,0,0,60,32
2019_Q1,2019,1,2019-04-19 00:30:11,52,116,108,5,24,0,0,0,0,0,0,0,0,0,0,64,46
2018_Q4,2018,4,2019-01-25 01:47:17,56,118,107,5,13,0,0,0,0,0,0,0,0,0,0,69,37
2018_Q3,2018,3,2018-10-19 02:49:07,69,141,83,10,15,0,0,0,0,0,0,0,0,0,0,86,38
2018_Q2,2018,2,2018-07-20 01:42:13,51,98,80,11,19,0,0,0,0,0,0,0,0,0,0,70,28
2018_Q1,2018,1,2018-04-18 01:36:10,77,137,97,11,16,0,0,0,0,0,0,0,0,0,0,61,32
2017_Q4,2017,4,2018-01-26 03:31:46,54,152,101,12,10,0,0,0,0,0,0,0,0,0,0,63,37
2017_Q3,2017,3,2017-10-20 03:57:11,57,119,81,19,11,0,0,0,0,0,0,0,0,0,0,68,26
2017_Q2,2017,2,2017-07-21 01:41:10,58,135,89,17,13,0,0,0,0,0,0,0,0,0,0,72,38
2017_Q1,2017,1,2017-04-19 02:29:09,58,137,85,14,9,0,0,0,0,0,0,0,0,0,0,67,27
2016_Q4,2016,4,2017-01-25 03:57:07,51,148,106,15,16,0,0,0,0,0,0,0,0,0,0,60,31
2016_Q3,2016,3,2016-10-19 02:16:26,60,92,104,13,11,0,0,0,0,0,0,0,0,0,0,72,42
2016_Q2,2016,2,2016-07-20 04:08:17,52,124,96,8,11,0,0,0,0,0,1,0,0,0,0,74,44
2016_Q1,2016,1,2016-04-20 02:08:16,63,142,103,11,9,0,0,0,0,0,0,0,0,0,0,75,53
2015_Q4,2015,4,2016-01-22 03:22:07,57,118,113,21,13,0,0,0,0,0,0,0,0,0,0,80,42
2015_Q3,2015,3,2015-10-21 03:02:09,60,115,102,11,11,0,0,0,0,0,0,0,0,0,0,73,40
2015_Q2,2015,2,2015-07-21 23:48:09,49,129,85,15,14,0,0,0,0,0,0,0,0,0,0,68,30
2015_Q1,2015,1,2015-04-22 01:06:14,71,123,75,10,10,1,0,0,0,0,0,0,0,0,0,56,30
2014_Q4,2014,4,2015-01-23 04:34:12,67,121,105,18,11,0,0,0,0,0,0,0,0,0,0,76,43
2014_Q3,2014,3,2014-10-22 01:06:10,60,125,92,13,10,0,0,0,0,0,1,0,0,0,0,55,54
2014_Q2,2014,2,2014-07-23 03:36:24,62,128,104,17,12,0,0,0,0,0,0,0,0,0,0,56,44
2014_Q-1,2014,-1,2014-06-11 23:19:07,32,74,59,0,5,0,0,0,0,0,0,0,0,0,0,27,40
2014_Q1,2014,1,2014-04-23 04:14:06,74,98,107,18,6,0,0,0,0,0,0,0,0,0,0,45,39
2013_Q4,2013,4,2014-01-24 01:12:07,83,118,138,4,14,0,0,0,0,0,0,0,0,0,0,95,42
2013_Q3,2013,3,2013-10-17 22:15:09,80,96,88,4,8,0,0,0,0,0,0,0,0,0,0,56,33
2013_Q-1,2013,-1,2013-09-11 20:21:12,42,56,34,6,7,0,0,0,0,0,0,0,0,0,0,13,12
2013_Q2,2013,2,2013-07-18 23:30:08,85,79,116,14,8,0,0,0,0,0,0,0,0,0,0,57,45
2013_Q1,2013,1,2013-04-18 22:59:10,75,107,87,13,5,0,0,0,0,0,0,0,0,0,0,38,46
2012_Q4,2012,4,2013-01-23 00:06:09,69,90,97,12,6,0,0,0,0,0,0,0,0,0,0,48,37
2012_Q3,2012,3,2012-10-17 01:11:08,86,72,105,5,7,0,0,0,0,0,0,0,0,0,0,64,45
2012_Q2,2012,2,2012-07-20 02:01:11,68,86,92,10,11,0,0,0,0,0,0,0,0,0,0,64,41
2012_Q1,2012,1,2012-04-18 01:21:07,54,91,65,4,6,0,0,0,0,0,0,0,0,0,0,54,28
2011_Q4,2011,4,2012-01-20 02:41:12,67,74,89,6,8,0,0,0,0,0,0,0,0,0,0,58,38
