ID,Year,Quarter,Date,negative,positive,uncertainty,litigious,constraining,strong_modal_positive,strong_modal_negative,strong_modal_uncertainty,strong_modal_litigious,strong_modal_constraining,weak_modal_positive,weak_modal_negative,weak_modal_uncertainty,weak_modal_litigious,weak_modal_constraining,strong_modal_raw_count,weak_modal_raw_count
2020_Q4,2020,4,2021-01-26 19:03:23,153,285,109,11,18,0,0,0,0,0,0,0,0,0,0,66,42
2020_Q3,2020,3,2020-10-13 20:21:06,167,240,109,10,12,0,0,0,0,0,1,0,0,0,0,61,35
2020_Q2,2020,2,2020-07-16 19:57:10,186,217,128,12,16,0,0,0,0,0,0,1,0,0,0,72,58
2020_Q1,2020,1,2020-04-14 20:38:12,217,280,148,15,23,0,0,0,0,0,0,2,0,0,0,85,61
2019_Q4,2019,4,2020-01-22 19:44:09,147,316,111,21,12,0,0,0,0,0,0,0,0,0,0,76,49
2019_Q3,2019,3,2019-10-15 19:48:06,159,301,108,29,2,0,0,0,0,0,0,0,0,0,0,68,49
2019_Q0,2019,0,2019-03-01 23:02:26,35,65,19,4,2,0,0,0,0,0,0,0,0,0,0,14,11
2019_Q-1,2019,-1,2019-02-19 19:53:09,26,122,17,5,4,0,0,0,0,0,0,0,0,0,0,24,10
2019_Q2,2019,2,2019-07-16 20:11:43,159,287,75,23,6,0,0,0,0,0,0,0,0,0,0,60,36
2019_Q1,2019,1,2019-04-16 18:22:23,133,225,82,11,7,0,0,0,0,0,0,0,0,0,0,53,38
2018_Q4,2018,4,2019-01-22 19:45:21,135,388,99,11,24,0,0,0,0,0,0,0,0,0,0,84,34
2018_Q-1,2018,-1,2018-03-13 20:15:09,20,77,30,0,1,0,0,0,0,0,0,0,0,0,0,34,19
2018_Q3,2018,3,2018-10-16 19:18:11,138,282,144,12,5,0,0,0,0,0,1,0,1,0,0,47,59
2018_Q0,2018,0,2018-01-09 01:02:14,27,80,28,4,5,0,0,0,0,0,0,0,0,0,0,24,21
2018_Q2,2018,2,2018-07-17 20:59:08,153,268,112,26,11,0,0,0,0,0,0,0,0,0,0,58,37
2018_Q1,2018,1,2018-04-17 20:34:08,120,261,100,6,6,0,0,0,0,0,0,0,0,0,0,75,21
2017_Q4,2017,4,2018-01-23 22:40:05,160,316,124,39,23,0,0,0,0,0,0,0,0,0,0,80,46
2017_Q-1,2017,-1,2017-03-14 16:37:05,17,79,59,4,1,0,0,0,0,0,0,0,0,0,0,21,21
2017_Q3,2017,3,2017-10-17 20:18:08,162,228,91,11,3,0,0,0,0,0,0,0,0,0,0,53,32
2017_Q2,2017,2,2017-07-18 18:30:09,147,267,127,14,9,0,0,0,0,0,0,0,0,0,0,82,50
2017_Q0,2017,0,2017-01-10 02:01:13,29,74,46,5,1,0,0,0,0,0,0,0,0,0,0,19,33
2017_Q1,2017,1,2017-04-18 19:15:10,110,123,103,14,2,0,0,0,0,0,1,0,0,0,0,54,32
2016_Q-1,2016,-1,2016-03-17 19:13:09,27,76,28,4,3,0,0,0,0,0,0,0,0,0,0,23,19
2016_Q4,2016,4,2017-01-24 23:32:05,130,300,131,17,14,0,0,0,0,0,0,0,0,0,0,81,54
2016_Q3,2016,3,2016-10-18 23:36:20,120,288,140,20,7,0,0,0,0,0,0,0,0,0,0,88,41
2016_Q2,2016,2,2016-07-19 19:20:34,152,367,131,19,10,0,0,0,0,0,0,0,0,0,0,93,51
2016_Q0,2016,0,2016-06-08 20:22:20,56,92,59,7,9,0,0,0,0,0,0,0,0,0,0,28,31
2016_Q1,2016,1,2016-04-19 16:20:17,116,181,93,7,1,0,0,0,0,0,0,0,0,0,0,49,38
2015_Q4,2015,4,2016-01-26 20:30:11,132,315,134,23,16,0,0,0,0,0,0,0,0,0,0,101,44
2015_Q3,2015,3,2015-10-13 19:46:08,175,320,111,11,13,0,0,0,0,0,0,0,0,0,0,110,46
2015_Q-1,2015,-1,2015-06-11 20:51:18,41,121,23,6,5,0,0,0,0,0,0,0,0,0,0,34,10
2015_Q0,2015,0,2015-09-10 21:32:10,36,84,37,7,2,0,0,0,0,0,0,0,0,0,0,49,19
2015_Q2,2015,2,2015-07-14 22:43:10,144,389,115,29,22,0,0,0,0,0,0,0,0,0,0,105,49
2015_Q1,2015,1,2015-04-14 19:18:07,127,181,101,23,5,0,0,0,0,0,0,0,0,0,0,42,32
2014_Q4,2014,4,2015-01-20 20:17:09,126,335,132,16,12,0,0,0,0,0,0,0,0,0,0,65,53
2014_Q3,2014,3,2014-10-14 16:33:10,108,148,103,23,10,0,0,0,0,0,0,0,1,0,0,47,38
2014_Q-1,2014,-1,2014-03-04 19:11:06,32,87,35,3,9,0,0,0,0,0,0,0,0,0,0,28,14
2014_Q2,2014,2,2014-07-15 19:35:09,132,383,156,13,11,0,0,0,0,0,0,0,1,0,0,78,67
2014_Q1,2014,1,2014-04-15 17:45:09,138,179,117,9,3,0,0,0,0,0,0,0,1,0,0,45,50
2013_Q4,2013,4,2014-01-21 19:49:05,126,464,158,22,16,0,0,0,0,0,0,0,1,0,0,64,60
2013_Q3,2013,3,2013-10-15 16:25:06,138,322,120,11,5,0,0,0,0,0,0,0,1,0,0,80,58
2013_Q2,2013,2,2013-07-16 18:47:08,167,374,122,19,18,0,0,0,0,0,1,0,0,0,0,94,60
2013_Q0,2013,0,2013-04-26 22:53:09,158,281,78,24,57,0,0,0,0,0,0,0,0,0,0,66,29
2013_Q1,2013,1,2013-04-16 17:34:08,146,188,126,19,1,0,0,0,0,0,0,0,1,0,0,48,53
2012_Q4,2012,4,2013-01-22 18:41:06,137,372,128,24,34,0,0,0,0,0,0,1,1,0,0,82,46
2012_Q3,2012,3,2012-10-16 17:08:05,138,313,121,21,18,0,0,0,0,0,0,0,1,0,0,43,54
2012_Q2,2012,2,2012-07-17 20:57:08,169,331,165,54,33,0,0,0,0,0,0,0,1,0,0,100,69
2012_Q0,2012,0,2012-04-26 21:01:03,224,289,106,38,47,0,0,0,0,0,0,0,0,0,0,103,61
2012_Q1,2012,1,2012-04-17 19:21:10,157,168,103,44,8,0,0,0,0,0,0,0,1,0,0,65,41
2011_Q4,2011,4,2012-01-24 19:51:09,168,440,148,39,21,0,0,0,0,0,0,0,1,0,0,120,71
2011_Q3,2011,3,2011-10-18 19:31:15,156,201,117,39,9,0,0,0,0,0,0,1,1,0,0,63,53
2011_Q2,2011,2,2011-07-19 13:21:22,159,345,151,34,11,0,0,0,0,0,0,0,1,0,0,95,64
2011_Q1,2011,1,2011-04-19 19:31:22,123,155,107,65,7,0,0,0,0,0,0,0,1,0,0,69,51
2010_Q4,2010,4,2011-01-26 00:06:15,195,291,142,30,21,0,0,0,0,0,0,0,1,0,0,91,64
2010_Q3,2010,3,2010-10-19 21:05:30,162,238,127,25,9,0,0,0,0,0,0,0,1,0,0,100,49
2010_Q2,2010,2,2010-07-20 18:11:46,173,144,114,23,3,0,0,0,0,0,0,0,2,0,0,55,43
2010_Q1,2010,1,2010-04-20 20:53:14,86,196,103,30,3,0,0,0,0,0,0,0,2,0,0,44,46
2009_Q4,2009,4,2010-01-26 18:25:18,171,334,159,26,19,0,0,0,0,0,0,0,2,0,0,95,67
2009_Q3,2009,3,2009-10-13 21:36:16,138,246,145,21,8,0,0,0,0,0,0,0,0,0,0,66,57
