ID,Year,Quarter,Date,negative,positive,uncertainty,litigious,constraining,strong_modal_positive,strong_modal_negative,strong_modal_uncertainty,strong_modal_litigious,strong_modal_constraining,weak_modal_positive,weak_modal_negative,weak_modal_uncertainty,weak_modal_litigious,weak_modal_constraining,strong_modal_raw_count,weak_modal_raw_count
2020_Q3,2020,3,2020-10-14 05:13:05,149,85,113,9,10,0,0,0,0,0,0,1,0,0,0,85,64
2020_Q2,2020,2,2020-07-14 21:51:45,237,109,147,19,5,0,0,0,0,0,0,0,0,0,0,72,54
2020_Q-1,2020,-1,2020-05-28 03:08:08,78,81,101,15,13,0,0,0,0,0,0,0,0,0,0,47,27
2020_Q1,2020,1,2020-04-14 20:03:08,213,71,134,19,19,0,0,0,0,0,0,0,0,0,0,54,70
2019_Q-1,2019,-1,2019-05-28 18:19:11,127,110,109,27,8,0,0,0,0,0,0,0,0,0,0,75,61
2019_Q3,2019,3,2019-10-16 00:10:08,97,106,47,14,6,0,0,0,0,0,0,0,0,0,0,46,22
2019_Q2,2019,2,2019-07-16 16:39:09,93,149,61,4,9,0,0,0,0,0,0,0,0,0,0,39,31
2019_Q1,2019,1,2019-04-12 22:23:11,129,185,97,9,7,0,0,0,0,0,0,0,0,0,0,45,55
2018_Q4,2018,4,2019-01-15 23:33:12,215,202,105,13,11,0,0,0,0,0,0,0,0,0,0,69,59
2018_Q-1,2018,-1,2018-05-29 18:09:08,39,88,46,2,3,0,0,0,0,0,0,0,0,0,0,35,17
2018_Q3,2018,3,2018-10-12 18:34:18,108,120,81,7,10,0,0,0,0,0,0,0,0,0,0,41,41
2018_Q2,2018,2,2018-07-13 19:19:07,87,115,64,14,4,0,0,0,0,0,0,0,0,0,0,37,37
2018_Q0,2018,0,2018-06-01 18:37:11,101,133,82,13,10,0,0,0,0,0,0,0,0,0,0,71,52
2018_Q1,2018,1,2018-04-13 18:51:10,96,107,79,6,8,0,0,0,0,0,0,0,0,0,0,40,30
2017_Q4,2017,4,2018-01-12 20:09:07,93,176,104,7,14,0,0,0,0,0,0,0,0,0,0,95,58
2017_Q-1,2017,-1,2017-06-01 02:09:08,84,114,80,21,9,0,0,0,0,0,0,0,0,0,0,41,47
2017_Q3,2017,3,2017-10-12 16:49:08,105,142,97,14,4,0,0,0,0,0,0,0,0,0,0,45,59
2017_Q2,2017,2,2017-07-14 17:59:08,104,129,91,26,22,0,0,0,0,0,0,0,0,0,0,65,49
2017_Q0,2017,0,2017-05-16 22:47:13,146,144,65,48,27,0,0,0,0,0,0,0,0,0,0,65,15
2017_Q1,2017,1,2017-04-13 19:15:07,84,102,77,15,5,0,0,0,0,0,0,1,0,0,0,36,30
2016_Q4,2016,4,2017-01-13 22:06:17,85,176,84,18,9,0,0,0,0,0,0,0,0,0,0,85,55
2016_Q-1,2016,-1,2016-06-01 18:07:10,43,59,41,10,5,0,0,0,0,0,0,0,0,0,0,50,14
2016_Q3,2016,3,2016-10-14 18:14:08,84,128,80,5,17,0,0,0,0,0,0,0,0,0,0,42,35
2016_Q2,2016,2,2016-07-14 19:42:12,104,158,96,21,15,0,0,0,0,0,0,0,1,0,1,60,48
2016_Q0,2016,0,2016-05-17 19:31:42,112,102,44,36,18,0,0,0,0,0,0,0,0,0,0,49,18
2016_Q1,2016,1,2016-04-14 00:58:18,142,164,106,23,18,0,0,0,0,0,0,0,1,1,0,78,61
2015_Q-1,2015,-1,2015-06-02 17:16:09,55,63,27,2,2,0,0,0,0,0,0,0,0,0,0,34,14
2015_Q4,2015,4,2016-01-14 20:09:08,132,158,113,16,16,0,0,0,0,0,0,0,0,0,0,55,57
2015_Q3,2015,3,2015-10-14 04:03:05,90,137,78,10,15,0,0,0,0,0,0,0,0,0,0,42,48
2015_Q2,2015,2,2015-07-14 21:29:07,105,176,91,24,14,0,0,0,0,0,0,0,0,0,0,75,42
2015_Q1,2015,1,2015-04-14 17:20:08,83,129,68,14,14,0,0,0,0,0,0,0,0,0,0,35,34
2014_Q4,2014,4,2015-01-15 15:06:05,183,202,171,23,23,0,0,0,0,0,0,0,0,0,0,88,82
2014_Q-1,2014,-1,2014-05-21 21:45:07,64,116,61,13,7,0,0,0,0,0,0,0,0,0,0,28,36
2014_Q3,2014,3,2014-10-14 20:49:06,132,237,123,48,23,0,0,0,0,0,0,0,0,0,0,75,56
2014_Q2,2014,2,2014-07-15 22:02:06,166,217,137,28,25,0,0,0,0,0,0,0,1,0,0,91,72
2014_Q1,2014,1,2014-04-11 17:30:08,135,192,116,33,10,0,0,0,0,0,0,0,0,0,0,58,50
2011_Q-1,2011,-1,2011-12-08 00:26:03,164,117,122,56,10,0,0,0,0,0,0,0,0,0,0,103,62
2011_Q4,2011,4,2012-01-13 19:51:09,216,102,123,43,13,0,0,0,0,0,0,0,0,0,0,94,69
2011_Q3,2011,3,2011-10-17 21:02:51,238,124,181,45,16,0,0,0,0,0,0,0,0,0,0,84,87
