ID,Year,Quarter,Date,negative,positive,uncertainty,litigious,constraining,strong_modal_positive,strong_modal_negative,strong_modal_uncertainty,strong_modal_litigious,strong_modal_constraining,weak_modal_positive,weak_modal_negative,weak_modal_uncertainty,weak_modal_litigious,weak_modal_constraining,strong_modal_raw_count,weak_modal_raw_count
2020_Q4,2020,4,2021-02-10 18:26:49,85,215,71,16,12,0,0,0,0,0,0,0,0,0,0,101,28
2020_Q3,2020,3,2020-10-22 21:46:59,92,254,77,5,12,0,0,0,0,0,0,0,0,0,0,96,40
2020_Q2,2020,2,2020-07-21 19:33:07,119,242,100,6,16,0,0,0,0,0,0,0,0,0,0,83,52
2020_Q-1,2020,-1,2020-05-27 21:01:58,41,70,32,0,4,0,0,0,0,0,0,0,0,0,0,28,21
2020_Q1,2020,1,2020-04-21 17:00:07,137,172,86,7,10,0,0,0,0,0,0,0,0,0,0,88,41
2019_Q4,2019,4,2020-01-30 20:00:06,61,215,55,4,14,0,0,0,0,0,0,0,0,0,0,25,33
2019_Q3,2019,3,2019-10-18 17:13:10,65,134,42,4,3,0,0,0,0,0,0,0,0,0,0,53,29
2019_Q-1,2019,-1,2019-06-12 12:00:08,21,97,27,1,9,0,0,0,0,0,0,0,0,0,0,15,7
2019_Q2,2019,2,2019-07-23 16:59:08,83,201,56,5,4,0,0,0,0,0,0,0,1,0,0,50,38
2019_Q1,2019,1,2019-04-23 18:25:08,72,196,63,2,5,0,0,0,0,0,0,0,0,0,0,51,33
2018_Q4,2018,4,2019-02-14 19:02:28,78,196,67,2,6,0,0,0,0,0,0,0,0,0,0,80,35
2018_Q-1,2018,-1,2018-06-13 19:09:09,39,128,21,1,6,0,0,0,0,0,0,0,0,0,0,26,13
2018_Q3,2018,3,2018-10-30 17:36:27,73,197,65,3,9,0,0,0,0,0,0,0,0,0,0,75,29
2018_Q2,2018,2,2018-07-25 16:52:12,94,205,67,6,5,0,0,0,0,0,0,0,0,0,0,58,40
2018_Q1,2018,1,2018-04-24 19:13:11,69,191,52,6,6,0,0,0,0,0,0,0,0,0,0,48,42
2017_Q4,2017,4,2018-02-16 19:01:52,70,189,71,9,10,0,0,0,0,0,0,0,0,0,0,105,36
2017_Q-1,2017,-1,2017-09-05 23:21:32,33,117,32,7,3,0,0,0,0,0,0,0,0,0,0,33,18
2017_Q3,2017,3,2017-10-25 18:35:08,93,202,42,4,4,0,0,0,0,0,0,0,0,0,0,83,30
2017_Q2,2017,2,2017-07-26 18:18:24,64,176,44,3,4,0,0,0,0,0,0,0,0,0,0,66,19
2017_Q1,2017,1,2017-04-26 06:26:53,80,174,72,8,9,0,0,0,0,0,0,0,0,0,0,76,42
2016_Q4,2016,4,2017-02-09 18:05:05,85,143,73,1,4,0,0,0,0,0,0,0,0,0,0,68,38
2016_Q-1,2016,-1,2016-06-16 15:51:35,43,109,44,7,3,0,0,0,0,0,0,0,0,0,0,60,21
2016_Q3,2016,3,2016-10-26 19:56:16,75,201,44,1,1,0,0,0,0,0,0,0,0,0,0,54,31
2016_Q2,2016,2,2016-07-27 17:52:33,120,168,59,2,4,0,0,0,0,0,0,0,0,0,0,49,26
2016_Q1,2016,1,2016-04-20 17:46:06,92,191,42,3,4,0,0,0,0,0,0,0,0,0,0,74,19
2015_Q4,2015,4,2016-02-09 18:54:10,87,223,69,0,12,0,0,0,0,0,0,0,0,0,0,96,32
2015_Q-1,2015,-1,2015-02-20 21:06:21,54,192,46,3,11,0,0,0,0,0,0,0,0,0,0,57,18
2015_Q3,2015,3,2015-10-21 17:58:07,64,162,51,6,4,0,0,0,0,0,0,0,0,0,0,51,32
2015_Q2,2015,2,2015-07-22 18:16:10,87,195,43,4,7,0,0,0,0,0,0,0,0,0,0,46,23
2015_Q1,2015,1,2015-04-22 19:05:19,91,182,69,2,4,0,0,0,0,0,0,0,0,0,0,54,31
2014_Q4,2014,4,2015-02-10 20:04:09,103,145,100,4,9,0,0,0,0,0,0,0,0,0,0,70,36
2014_Q-1,2014,-1,2014-02-21 22:36:06,20,154,20,0,20,0,0,0,0,0,0,0,0,0,0,35,6
2014_Q3,2014,3,2014-10-21 19:30:08,94,197,67,1,6,0,0,0,0,0,0,0,0,0,0,107,25
2014_Q2,2014,2,2014-07-22 20:15:05,77,257,52,1,12,0,0,0,0,0,0,0,0,0,0,50,32
2014_Q1,2014,1,2014-04-15 19:06:09,54,259,51,1,8,0,0,0,0,0,0,0,0,0,0,45,24
2013_Q4,2013,4,2014-02-18 20:48:04,88,235,62,1,13,0,0,0,0,0,0,0,0,0,0,93,27
2013_Q3,2013,3,2013-10-15 17:00:03,102,185,52,4,3,0,0,0,0,0,0,0,0,0,0,40,25
2013_Q-1,2013,-1,2013-09-04 18:28:07,14,123,35,4,2,0,0,0,0,0,0,0,0,0,0,16,24
2013_Q2,2013,2,2013-07-16 17:44:05,108,261,73,0,8,0,0,0,0,0,0,0,0,0,0,72,33
2013_Q1,2013,1,2013-04-16 17:03:06,56,239,40,0,6,0,0,0,0,0,0,0,0,0,0,79,26
2012_Q4,2012,4,2013-02-12 18:28:08,68,200,45,2,15,0,0,0,0,0,0,0,0,0,0,65,21
2012_Q3,2012,3,2012-10-16 16:41:05,58,217,47,1,8,0,0,1,0,0,0,0,0,0,0,57,24
2012_Q2,2012,2,2012-07-17 18:11:05,106,218,98,1,9,0,0,0,0,0,0,0,0,0,0,61,40
2012_Q0,2012,0,2012-04-25 20:31:02,174,162,46,31,10,0,0,0,0,0,0,0,0,0,0,85,23
2012_Q1,2012,1,2012-04-17 18:01:07,70,240,60,0,8,0,0,0,0,0,0,0,0,0,0,42,28
2011_Q4,2011,4,2012-02-07 18:31:04,84,248,81,0,8,0,0,0,0,0,0,0,0,0,0,52,27
2011_Q-1,2011,-1,2011-09-22 01:01:02,130,614,113,7,19,0,0,0,0,0,0,0,0,0,0,176,62
2011_Q3,2011,3,2011-10-18 17:01:27,84,186,78,1,17,0,0,0,0,0,0,0,0,0,0,51,28
2011_Q2,2011,2,2011-07-19 17:51:11,64,197,59,7,7,0,0,0,0,0,0,0,0,0,0,31,27
2011_Q1,2011,1,2011-04-26 21:01:20,73,232,63,1,11,0,0,0,0,0,0,0,0,0,0,52,34
2010_Q4,2010,4,2011-02-09 19:11:38,43,242,53,0,7,0,0,0,0,0,0,0,0,0,0,62,21
2010_Q3,2010,3,2010-10-19 21:33:23,72,251,50,0,15,0,0,0,0,0,0,0,0,0,0,32,21
2010_Q2,2010,2,2010-07-21 19:45:16,80,280,54,5,12,0,0,0,0,0,0,0,0,0,0,54,23
2010_Q1,2010,1,2010-04-20 19:42:12,69,230,47,2,12,0,0,0,0,0,0,0,0,0,0,46,26
2009_Q4,2009,4,2010-02-09 21:25:10,90,202,60,3,8,0,0,0,0,0,0,0,0,0,0,52,32
2009_Q3,2009,3,2009-10-20 18:25:10,110,206,51,4,8,0,0,0,0,0,0,0,0,0,0,42,23
2009_Q2,2009,2,2009-07-21 19:37:27,77,216,68,2,6,0,0,0,0,0,0,0,0,0,0,50,31
2009_Q1,2009,1,2009-04-21 18:22:26,79,227,57,1,6,0,0,0,0,0,0,0,0,0,0,50,26
2008_Q4,2008,4,2009-02-12 22:24:06,89,225,55,4,6,0,0,0,0,0,0,0,0,0,0,74,28
2008_Q3,2008,3,2008-10-15 18:53:21,75,189,53,2,3,0,0,0,0,0,0,0,0,0,0,59,26
2008_Q2,2008,2,2008-07-17 16:29:15,112,214,61,3,9,0,0,0,0,0,0,0,0,0,0,49,26
2008_Q1,2008,1,2008-04-16 17:38:15,83,239,52,2,4,0,0,0,0,0,0,1,0,0,0,56,30
2007_Q4,2007,4,2008-02-13 18:02:10,55,271,47,1,13,0,0,0,0,0,0,0,0,0,0,60,19
2007_Q3,2007,3,2007-10-17 17:21:56,41,177,30,2,7,0,0,0,0,0,0,0,0,0,0,38,17
2007_Q2,2007,2,2007-07-17 16:33:08,61,227,35,3,13,0,0,0,0,0,0,0,0,0,0,62,12
2007_Q1,2007,1,2007-04-17 17:21:54,57,215,42,0,13,0,0,0,0,0,0,0,0,0,0,66,19
2006_Q4,2006,4,2007-02-14 17:10:49,72,172,49,4,6,0,0,0,0,0,0,0,0,0,0,75,27
2006_Q3,2006,3,2006-10-19 15:49:02,90,192,45,5,7,0,0,0,0,0,0,1,0,0,0,57,19
