ID,Year,Quarter,Date,negative,positive,uncertainty,litigious,constraining,strong_modal_positive,strong_modal_negative,strong_modal_uncertainty,strong_modal_litigious,strong_modal_constraining,weak_modal_positive,weak_modal_negative,weak_modal_uncertainty,weak_modal_litigious,weak_modal_constraining,strong_modal_raw_count,weak_modal_raw_count
2020_Q4,2020,4,2021-01-29 20:32:10,130,193,146,32,14,0,0,0,0,0,0,0,0,0,0,85,77
2020_Q3,2020,3,2020-10-27 15:38:06,187,219,113,20,17,0,0,0,0,0,1,0,0,0,0,84,46
2020_Q2,2020,2,2020-07-30 23:11:46,253,268,173,23,28,0,0,0,0,0,0,0,0,0,0,78,67
2020_Q-1,2020,-1,2020-06-11 00:29:06,38,132,69,5,5,0,0,0,0,0,0,0,0,0,0,44,30
2020_Q1,2020,1,2020-04-23 19:54:10,215,204,185,12,27,0,0,0,0,0,0,0,0,0,0,72,86
2020_Q0,2020,0,2020-01-15 01:47:35,56,73,45,2,1,0,0,0,0,0,0,0,0,0,0,35,18
2019_Q4,2019,4,2020-01-30 21:44:07,143,244,103,15,5,0,0,0,0,0,0,0,0,0,0,59,45
2019_Q3,2019,3,2019-10-23 22:27:28,154,250,95,17,11,0,0,0,0,0,0,0,0,0,0,67,40
2019_Q-1,2019,-1,2019-02-27 23:31:19,32,57,30,4,1,0,0,0,0,0,0,0,0,0,0,22,15
2019_Q2,2019,2,2019-07-30 20:58:10,153,253,107,28,9,0,0,0,0,0,0,0,0,0,0,100,54
2019_Q0,2019,0,2019-01-09 03:26:07,34,95,44,3,3,0,0,0,0,0,0,0,0,0,0,30,21
2019_Q1,2019,1,2019-04-30 20:10:10,103,188,67,21,5,0,0,0,0,0,0,0,0,0,0,99,39
2018_Q4,2018,4,2019-02-06 19:03:07,127,215,90,13,12,0,0,0,0,0,0,0,0,0,0,98,45
2018_Q3,2018,3,2018-11-06 19:46:12,120,211,72,14,7,0,0,0,0,0,0,0,0,0,0,92,38
2018_Q-1,2018,-1,2017-12-13 21:30:06,94,166,91,24,7,0,0,0,0,0,0,0,0,0,0,79,50
2018_Q2,2018,2,2018-07-24 21:54:11,161,193,116,38,12,0,0,0,0,0,0,0,0,0,0,76,61
2018_Q1,2018,1,2018-04-25 01:23:06,163,186,113,18,11,0,0,0,0,0,0,0,0,0,0,76,60
2017_Q4,2017,4,2018-01-31 21:34:22,153,196,126,32,10,0,0,0,0,0,0,0,0,0,0,57,59
2017_Q3,2017,3,2017-10-24 21:28:41,193,220,110,32,12,0,0,0,0,0,0,0,0,0,0,99,60
2017_Q2,2017,2,2017-07-25 21:54:25,182,227,147,35,23,0,0,0,0,0,0,0,0,0,0,142,79
2017_Q1,2017,1,2017-04-26 06:26:44,183,226,92,36,13,0,0,0,0,0,0,0,0,0,0,100,49
2016_Q4,2016,4,2017-01-31 22:24:19,160,228,107,31,10,0,0,0,0,0,0,0,0,0,0,96,63
2016_Q3,2016,3,2016-10-25 22:46:15,167,217,121,34,11,0,0,0,0,0,0,0,0,0,0,112,60
2016_Q2,2016,2,2016-07-26 21:20:44,193,201,124,47,19,0,0,0,0,0,0,0,0,0,0,118,75
2016_Q1,2016,1,2016-04-26 22:34:56,201,199,122,49,9,0,0,0,0,0,0,0,0,0,0,102,56
2015_Q4,2015,4,2016-01-28 21:18:15,193,216,135,39,12,0,0,0,0,0,0,0,0,0,0,96,65
2015_Q3,2015,3,2015-10-22 18:18:08,183,189,107,48,8,0,0,0,0,0,0,0,0,0,0,100,52
2015_Q2,2015,2,2015-07-23 23:12:16,195,254,122,48,14,0,0,0,0,0,0,0,0,0,0,116,73
2015_Q1,2015,1,2015-04-23 21:57:11,154,160,137,52,11,0,0,0,0,0,0,0,0,0,0,125,75
2015_Q-1,2015,-1,2015-01-07 21:35:09,136,252,137,46,15,0,0,0,0,0,0,0,0,0,0,79,62
2014_Q4,2014,4,2015-01-30 21:59:05,164,166,97,17,12,0,0,0,0,0,0,0,0,0,0,65,49
2014_Q3,2014,3,2014-10-24 02:01:59,137,198,166,41,12,0,0,0,0,0,0,0,0,0,0,119,86
2014_Q2,2014,2,2014-07-25 06:21:12,187,192,143,50,8,0,0,0,0,0,0,0,0,0,0,103,72
2014_Q-1,2014,-1,2014-05-29 02:01:51,76,108,71,8,6,0,0,0,0,0,0,0,0,0,0,26,27
2014_Q1,2014,1,2014-04-24 22:39:10,204,220,128,71,6,0,0,0,0,0,0,0,0,0,0,89,65
2014_Q0,2014,0,2014-03-04 21:41:16,38,66,43,5,7,0,0,0,0,0,0,0,0,0,0,56,23
2013_Q4,2013,4,2014-01-30 19:05:05,132,156,100,28,5,0,0,0,0,0,0,0,0,0,0,75,59
2013_Q3,2013,3,2013-10-23 15:58:08,99,126,85,14,5,0,0,0,0,0,0,0,0,0,0,90,41
2013_Q2,2013,2,2013-07-24 16:36:11,106,155,83,18,6,0,0,0,0,0,0,0,0,0,0,40,43
2013_Q-1,2013,-1,2013-01-04 18:21:06,89,90,132,16,11,0,0,0,0,0,0,0,0,0,0,112,61
2013_Q0,2013,0,2013-06-12 22:02:05,63,63,64,3,4,0,0,0,0,0,0,0,0,0,0,44,32
2013_Q1,2013,1,2013-04-24 15:11:18,108,101,95,12,7,0,0,0,0,0,0,0,0,0,0,50,36
2012_Q4,2012,4,2013-01-29 16:18:10,118,122,87,39,8,0,0,0,0,0,0,0,0,0,0,45,45
2012_Q3,2012,3,2012-10-24 18:31:07,138,134,94,16,15,0,0,0,0,0,0,0,0,0,0,81,42
2012_Q2,2012,2,2012-07-25 19:21:05,108,126,72,17,10,0,0,0,0,0,0,0,0,0,0,95,27
2012_Q-1,2012,-1,2012-04-10 18:01:12,87,87,89,9,6,0,0,0,0,0,0,0,0,0,0,41,41
2012_Q1,2012,1,2012-04-25 19:21:09,91,124,90,24,6,0,0,0,0,0,0,0,0,0,0,102,44
2012_Q0,2012,0,2012-01-11 07:01:03,28,60,24,3,5,0,0,0,0,0,0,0,0,0,0,26,7
2011_Q4,2011,4,2012-01-31 19:21:09,81,104,77,9,16,0,0,0,0,0,0,0,0,0,0,81,36
2011_Q3,2011,3,2011-10-20 18:51:20,114,119,103,23,8,0,0,0,0,0,0,0,0,0,0,74,43
2011_Q2,2011,2,2011-07-21 21:21:18,101,75,94,23,5,0,0,0,0,0,0,0,0,0,0,83,40
2011_Q1,2011,1,2011-04-18 23:11:19,114,96,105,14,1,0,0,0,0,0,0,0,0,0,0,70,44
2010_Q4,2010,4,2011-01-27 22:06:38,111,134,84,24,6,0,0,0,0,0,0,0,0,0,0,60,34
2010_Q3,2010,3,2010-10-21 20:35:19,109,115,94,42,8,0,0,0,0,0,0,0,0,0,0,89,31
2010_Q2,2010,2,2010-07-22 19:06:42,85,129,86,15,6,0,0,0,0,0,0,0,0,0,0,61,34
2010_Q1,2010,1,2010-04-19 17:42:12,100,105,87,45,5,0,0,0,0,0,0,0,0,0,0,64,29
2009_Q4,2009,4,2010-01-28 21:45:15,92,133,72,9,4,0,0,0,0,0,0,0,0,0,0,55,36
2009_Q3,2009,3,2009-10-21 19:13:12,87,130,69,22,8,0,0,0,0,0,0,0,0,0,0,78,27
2009_Q2,2009,2,2009-07-22 18:58:25,98,120,90,22,14,0,0,0,0,0,0,0,0,0,0,80,35
2009_Q1,2009,1,2009-04-20 19:33:23,100,130,103,14,3,0,0,0,0,0,0,0,0,0,0,25,42
2008_Q4,2008,4,2009-01-29 20:53:18,115,111,81,25,6,0,0,0,0,0,0,0,0,0,0,52,43
2008_Q3,2008,3,2008-10-23 20:38:19,100,127,64,16,7,0,0,0,0,0,0,0,0,0,0,57,27
2008_Q2,2008,2,2008-07-25 00:52:12,106,98,66,14,16,0,0,0,0,0,0,0,0,0,0,47,22
2008_Q1,2008,1,2008-04-21 17:02:12,88,131,60,26,6,0,0,0,0,0,0,0,0,0,0,54,28
2007_Q4,2007,4,2008-01-29 20:07:06,79,115,95,14,9,0,0,0,0,0,0,0,0,0,0,54,40
