ID,Year,Quarter,Date,negative,positive,uncertainty,litigious,constraining,strong_modal_positive,strong_modal_negative,strong_modal_uncertainty,strong_modal_litigious,strong_modal_constraining,weak_modal_positive,weak_modal_negative,weak_modal_uncertainty,weak_modal_litigious,weak_modal_constraining,strong_modal_raw_count,weak_modal_raw_count
2020_Q4,2020,4,2021-01-26 22:29:10,73,163,74,18,4,0,0,0,0,0,0,0,0,0,0,59,30
2020_Q3,2020,3,2020-10-20 20:46:09,60,150,78,10,7,0,0,0,0,0,0,0,0,0,0,85,29
2020_Q2,2020,2,2020-07-21 21:21:09,79,160,118,20,14,0,0,0,0,0,0,0,0,0,0,47,59
2020_Q-1,2020,-1,2020-06-02 20:20:11,53,82,84,21,6,0,0,0,0,0,0,0,0,0,0,37,32
2020_Q0,2020,0,2020-05-27 17:02:06,60,105,64,6,4,0,0,0,0,0,0,0,0,0,0,50,36
2020_Q1,2020,1,2020-04-21 19:25:37,94,152,59,21,27,0,0,0,0,0,0,0,0,0,0,75,24
2019_Q4,2019,4,2020-01-28 19:48:07,41,116,77,23,7,0,0,0,0,0,0,0,0,0,0,96,29
2019_Q0,2019,0,2019-12-05 18:37:27,22,89,49,7,4,0,0,0,0,0,0,0,0,0,0,35,17
2019_Q3,2019,3,2019-10-22 22:00:06,56,138,92,20,14,0,0,0,0,0,0,0,0,0,0,60,39
2019_Q2,2019,2,2019-07-24 01:17:25,56,184,65,22,6,0,0,0,0,0,0,0,0,0,0,54,30
2019_Q1,2019,1,2019-04-23 18:12:17,43,147,74,10,5,0,0,0,0,0,0,0,0,0,0,77,29
2019_Q-1,2019,-1,2019-03-07 23:41:08,27,73,74,3,3,0,0,0,0,0,0,0,0,0,0,76,38
2018_Q4,2018,4,2019-01-29 21:00:06,82,134,101,11,11,0,0,0,0,0,0,0,0,0,0,72,54
2018_Q3,2018,3,2018-10-23 19:39:08,56,115,101,25,8,0,0,0,0,0,0,0,0,0,0,82,43
2018_Q2,2018,2,2018-07-24 20:26:58,83,166,104,23,6,0,0,0,0,0,0,0,0,0,0,54,61
2018_Q1,2018,1,2018-04-25 00:53:10,78,153,86,21,11,0,0,0,0,0,0,0,0,0,0,76,54
2017_Q4,2017,4,2018-01-29 22:12:05,53,135,86,16,25,0,0,0,0,0,0,0,0,0,0,63,47
2017_Q3,2017,3,2017-10-24 19:50:39,64,131,114,22,17,0,0,0,0,0,0,0,0,0,0,75,58
2017_Q2,2017,2,2017-07-18 22:42:07,73,110,94,16,13,0,0,0,0,0,0,0,0,0,0,42,52
2017_Q1,2017,1,2017-04-26 06:26:56,91,172,77,33,16,0,0,0,0,0,0,0,0,0,0,70,44
2016_Q4,2016,4,2017-01-24 23:21:09,74,151,104,20,13,0,0,0,0,0,0,0,0,0,0,57,50
2016_Q3,2016,3,2016-10-25 20:16:21,91,170,116,19,16,0,0,0,0,0,0,0,0,0,0,63,49
2016_Q2,2016,2,2016-07-19 20:30:40,94,155,93,24,18,0,0,0,0,0,0,1,0,0,0,74,49
2016_Q1,2016,1,2016-04-26 21:36:16,92,126,123,47,15,0,0,0,0,0,0,0,0,0,0,68,57
2015_Q4,2015,4,2016-01-26 21:59:10,73,156,98,16,8,0,0,0,0,0,0,0,0,0,0,48,47
2015_Q3,2015,3,2015-10-20 22:12:07,72,139,105,27,17,0,1,0,0,0,0,0,0,0,0,66,45
2015_Q2,2015,2,2015-07-20 22:45:07,81,157,127,18,9,0,0,0,0,0,0,0,0,0,0,73,64
2015_Q1,2015,1,2015-04-21 21:11:08,80,157,101,27,18,0,0,0,0,0,0,0,0,0,0,72,45
2014_Q4,2014,4,2015-01-27 22:41:10,91,147,121,20,12,0,0,0,0,0,0,0,0,0,0,47,70
2014_Q3,2014,3,2014-10-21 20:44:08,59,131,138,31,18,0,0,0,0,0,0,0,0,1,0,54,74
2014_Q2,2014,2,2014-07-22 20:35:07,82,159,118,13,11,0,0,0,0,0,0,0,0,0,0,83,62
2014_Q0,2014,0,2014-05-29 23:18:04,55,92,32,9,8,0,0,0,0,0,0,0,0,0,0,57,21
2014_Q1,2014,1,2014-04-22 21:26:08,61,133,100,11,17,0,0,0,0,0,0,0,0,0,0,67,48
2013_Q4,2013,4,2014-01-23 23:46:07,100,167,119,30,11,0,0,0,0,0,0,0,0,0,0,61,63
2013_Q3,2013,3,2013-10-22 17:21:12,85,153,115,24,8,0,0,0,0,0,0,0,0,0,0,33,65
2013_Q2,2013,2,2013-07-23 18:29:07,79,127,101,24,16,0,0,0,0,0,0,0,0,0,0,52,49
2013_Q0,2013,0,2013-05-30 23:04:10,57,75,95,18,7,0,0,0,0,0,0,0,0,0,0,38,52
2013_Q1,2013,1,2013-04-23 16:50:12,94,145,104,17,7,0,0,0,0,0,0,0,0,0,0,39,40
2013_Q-1,2013,-1,2013-03-05 21:31:23,62,79,75,16,3,0,0,0,0,0,0,0,0,0,0,42,35
2012_Q4,2012,4,2013-01-24 22:47:11,98,198,121,24,17,0,0,0,0,0,0,0,0,0,0,51,50
2012_Q-1,2012,-1,2012-11-12 16:12:04,56,84,39,11,20,0,0,0,0,0,0,0,0,0,0,56,23
2012_Q3,2012,3,2012-10-25 02:01:06,125,202,119,22,18,0,0,0,0,0,0,0,0,0,0,127,63
2012_Q2,2012,2,2012-07-24 19:51:11,108,135,104,56,13,0,0,0,0,0,0,0,0,0,0,100,40
2012_Q1,2012,1,2012-04-26 22:31:06,73,130,115,12,20,0,0,0,0,0,0,0,0,0,0,68,53
2012_Q0,2012,0,2012-04-26 22:31:03,27,46,21,4,11,0,0,0,0,0,0,0,0,0,0,17,11
2011_Q4,2011,4,2012-01-27 01:01:06,99,140,106,22,11,0,0,0,0,0,0,0,0,0,0,97,60
2011_Q3,2011,3,2011-10-27 00:41:16,127,156,162,38,18,0,0,0,0,0,0,0,0,0,0,84,61
2011_Q2,2011,2,2011-07-26 21:21:15,158,163,144,27,19,0,0,0,0,0,0,0,0,0,0,129,72
2011_Q1,2011,1,2011-04-26 20:21:19,117,120,109,27,10,0,0,0,0,0,0,0,0,0,0,80,48
2010_Q4,2010,4,2011-01-28 03:06:16,111,170,112,34,12,0,0,0,0,0,0,0,0,0,0,105,48
2010_Q3,2010,3,2010-10-19 23:17:26,125,164,122,59,25,0,0,0,0,0,0,0,0,0,0,71,53
2010_Q2,2010,2,2010-07-27 23:06:25,100,159,133,39,24,0,0,0,0,0,0,0,0,0,0,92,54
2010_Q1,2010,1,2010-04-21 16:55:14,59,173,78,21,8,0,0,0,0,0,0,0,0,0,0,28,36
2009_Q4,2009,4,2010-01-28 22:56:22,136,196,149,28,29,0,0,0,0,0,0,0,0,0,0,122,58
2009_Q3,2009,3,2009-10-20 21:09:12,117,170,138,41,19,0,0,0,0,0,0,1,0,0,0,102,57
2009_Q2,2009,2,2009-07-21 22:45:25,102,90,100,55,19,0,0,0,0,0,0,0,0,0,0,50,33
2009_Q1,2009,1,2009-04-21 20:49:21,99,151,88,34,12,0,0,0,0,0,0,0,0,0,0,74,36
2008_Q4,2008,4,2009-01-23 02:09:17,77,159,97,18,25,0,0,0,0,0,0,0,0,0,0,84,38
2008_Q3,2008,3,2008-10-21 22:59:16,76,146,100,48,12,0,0,0,0,0,0,0,0,0,0,61,39
2008_Q2,2008,2,2008-07-23 01:56:22,69,173,89,55,16,0,0,0,0,0,0,0,0,0,0,64,31
2008_Q1,2008,1,2008-04-22 21:07:12,77,175,102,27,11,0,0,0,0,0,0,0,0,0,0,57,41
2007_Q4,2007,4,2008-01-25 01:20:06,94,208,128,23,23,0,0,0,0,0,0,0,0,0,0,84,65
