ID,Year,Quarter,Date,negative,positive,uncertainty,litigious,constraining,strong_modal_positive,strong_modal_negative,strong_modal_uncertainty,strong_modal_litigious,strong_modal_constraining,weak_modal_positive,weak_modal_negative,weak_modal_uncertainty,weak_modal_litigious,weak_modal_constraining,strong_modal_raw_count,weak_modal_raw_count
2020_Q4,2020,4,2021-02-24 21:09:08,74,245,76,2,10,0,0,0,0,0,0,0,0,0,0,84,26
2020_Q3,2020,3,2020-11-18 17:59:10,64,202,61,1,13,0,0,0,0,0,0,0,0,0,0,48,17
2020_Q2,2020,2,2020-08-19 18:06:53,64,202,50,1,18,0,0,0,0,0,0,0,0,0,0,66,22
2020_Q0,2020,0,2020-06-16 16:53:08,48,64,52,2,5,0,0,0,0,0,0,0,0,0,0,36,20
2020_Q-1,2020,-1,2020-03-06 20:24:08,51,191,43,1,7,0,0,0,0,0,0,0,0,0,0,49,31
2020_Q1,2020,1,2020-05-20 17:01:56,111,194,57,2,22,0,0,0,0,0,0,0,0,0,0,25,19
2019_Q4,2019,4,2020-02-26 19:55:06,79,314,64,1,9,0,0,0,0,0,0,0,0,0,0,80,20
2019_Q-1,2019,-1,2019-09-04 19:52:13,43,142,36,1,2,0,0,0,0,0,0,0,0,0,0,18,19
2019_Q3,2019,3,2019-11-20 20:09:11,76,294,55,2,12,0,0,0,0,0,0,0,0,0,0,50,16
2019_Q2,2019,2,2019-08-21 20:03:41,93,261,74,2,22,0,0,0,0,0,0,0,0,0,0,86,17
2019_Q1,2019,1,2019-05-22 20:22:28,82,236,52,2,13,0,0,0,0,0,0,0,0,0,0,62,13
2018_Q4,2018,4,2019-02-27 21:06:13,75,238,60,5,8,0,0,0,0,0,0,0,0,0,0,89,19
2018_Q-1,2018,-1,2018-12-13 13:06:08,301,677,160,6,30,0,0,0,0,0,0,0,0,0,0,335,52
2018_Q3,2018,3,2018-11-20 19:08:07,150,223,76,2,11,0,0,0,0,0,0,0,0,0,0,60,23
2018_Q0,2018,0,2018-09-06 21:41:06,47,144,26,0,0,0,0,0,0,0,0,0,0,0,0,49,10
2018_Q2,2018,2,2018-08-22 17:31:52,107,235,59,1,9,0,0,0,0,0,0,0,0,0,0,41,14
2018_Q1,2018,1,2018-05-23 19:16:55,71,268,61,2,9,0,0,0,0,0,0,0,0,0,0,43,17
2017_Q4,2017,4,2018-02-28 17:32:11,53,250,55,2,14,0,0,0,0,0,0,0,0,0,0,59,18
2017_Q3,2017,3,2017-11-21 17:18:07,44,229,42,1,10,0,0,0,0,0,0,0,0,0,0,43,8
2017_Q2,2017,2,2017-08-23 20:18:10,52,294,49,7,11,0,0,0,0,0,0,0,0,0,0,32,9
2017_Q1,2017,1,2017-05-24 19:00:09,64,208,77,5,7,0,0,0,0,0,0,0,0,0,0,44,20
2016_Q4,2016,4,2017-03-01 20:45:10,45,242,58,6,10,0,0,0,0,0,0,0,0,0,0,34,12
2016_Q3,2016,3,2016-11-16 20:24:23,92,236,66,4,14,0,0,0,0,0,0,0,0,0,0,40,27
2016_Q2,2016,2,2016-08-17 19:56:35,73,242,61,3,9,0,0,0,0,0,0,0,0,0,0,30,16
2016_Q1,2016,1,2016-05-18 19:24:27,50,246,52,5,8,0,0,0,0,0,0,0,0,0,0,28,18
2015_Q4,2015,4,2015-02-25 21:01:03,48,206,55,3,9,0,0,0,0,0,0,0,0,0,0,47,26
2015_Q3,2015,3,2015-11-18 20:14:07,42,219,43,3,6,0,0,0,0,0,0,0,0,0,0,38,14
2015_Q2,2015,2,2015-08-19 19:32:05,53,230,65,5,7,0,0,0,0,0,0,0,0,0,0,56,22
2015_Q1,2015,1,2015-05-20 19:07:09,44,217,46,8,8,0,0,0,0,0,0,0,0,0,0,30,23
2014_Q3,2014,3,2014-11-19 19:09:07,55,222,63,3,4,0,0,0,0,0,0,0,0,0,0,36,26
2014_Q2,2014,2,2014-08-20 17:09:05,42,213,59,2,5,0,0,0,0,0,0,0,0,0,0,40,21
2014_Q1,2014,1,2014-05-21 18:23:06,84,199,75,7,12,0,0,0,0,0,1,0,0,0,0,44,25
2013_Q4,2013,4,2014-02-26 20:29:06,63,198,67,4,14,0,0,0,0,0,0,0,0,0,0,86,24
2013_Q3,2013,3,2013-11-20 19:21:13,59,175,78,8,7,0,0,0,0,0,0,0,0,0,0,50,27
2013_Q2,2013,2,2013-08-21 15:40:07,65,209,84,4,6,0,0,0,0,0,0,0,0,0,0,28,26
2013_Q0,2013,0,2013-05-31 16:19:08,28,51,13,6,13,0,0,0,0,0,0,0,0,0,0,20,6
2013_Q1,2013,1,2013-05-22 17:13:08,71,230,76,3,8,0,0,0,0,0,0,0,0,0,0,46,25
2013_Q-1,2013,-1,2013-03-13 23:41:08,55,192,60,0,6,0,0,0,0,0,0,0,0,0,0,45,34
2012_Q4,2012,4,2013-02-25 17:31:32,76,207,81,2,8,0,0,0,0,0,0,1,0,0,0,85,24
2012_Q-1,2012,-1,2012-12-06 02:31:10,128,466,172,6,19,0,0,0,0,0,0,0,0,0,0,138,79
2012_Q3,2012,3,2012-11-19 18:01:08,91,183,74,9,12,0,0,0,0,0,0,0,0,0,0,43,25
2012_Q2,2012,2,2012-08-20 16:01:08,96,152,87,6,7,0,0,0,0,0,0,0,0,0,0,45,19
2012_Q0,2012,0,2012-06-01 16:51:09,32,54,16,12,16,0,0,0,0,0,0,0,0,0,0,26,8
2012_Q1,2012,1,2012-05-21 18:01:06,74,143,80,5,13,0,0,0,0,0,0,0,0,0,0,51,23
2011_Q4,2011,4,2012-02-27 17:41:10,73,175,76,6,15,0,0,0,0,0,0,0,0,0,0,62,23
2011_Q-1,2011,-1,2011-12-06 22:01:03,137,524,139,2,33,0,0,0,0,0,1,0,0,0,0,190,43
2011_Q3,2011,3,2011-11-14 18:41:34,116,146,65,9,9,0,0,0,0,0,0,0,0,0,0,52,21
2011_Q2,2011,2,2011-08-15 16:51:15,101,170,71,2,12,0,0,0,0,0,0,0,0,0,0,73,25
2011_Q1,2011,1,2011-05-16 18:31:20,113,176,91,7,9,0,0,0,0,0,0,0,0,0,0,40,22
2010_Q4,2010,4,2011-02-23 20:31:18,63,194,77,3,7,0,0,0,0,0,0,0,0,0,0,48,18
2010_Q3,2010,3,2010-11-15 18:14:32,89,180,61,5,8,0,0,0,0,0,0,0,0,0,0,31,22
2010_Q2,2010,2,2010-08-16 19:11:44,71,180,97,5,6,0,0,0,0,0,1,0,0,0,0,35,39
2010_Q1,2010,1,2010-05-17 19:06:22,87,213,92,9,6,0,0,0,0,0,0,0,0,0,0,47,31
