ID,Year,Quarter,Date,negative,positive,uncertainty,litigious,constraining,strong_modal_positive,strong_modal_negative,strong_modal_uncertainty,strong_modal_litigious,strong_modal_constraining,weak_modal_positive,weak_modal_negative,weak_modal_uncertainty,weak_modal_litigious,weak_modal_constraining,strong_modal_raw_count,weak_modal_raw_count
2020_Q4,2020,4,2021-01-29 01:40:08,102,152,61,14,11,0,0,0,0,0,0,0,0,0,0,70,32
2020_Q3,2020,3,2020-10-28 18:22:08,70,127,49,13,6,0,0,0,0,0,0,0,0,0,0,60,23
2020_Q2,2020,2,2020-07-30 20:18:09,82,174,59,7,23,0,0,0,0,0,1,0,0,0,0,48,25
2020_Q-1,2020,-1,2020-03-06 19:23:32,16,87,21,4,11,0,0,0,0,0,0,0,0,0,0,18,13
2020_Q1,2020,1,2020-04-29 22:13:07,125,182,116,3,25,0,0,0,0,0,0,0,0,0,0,134,38
2019_Q4,2019,4,2020-01-29 20:58:08,98,115,67,5,7,0,0,0,0,0,0,0,0,0,0,68,31
2019_Q3,2019,3,2019-10-29 19:59:12,90,131,51,8,6,0,0,0,0,0,0,1,0,0,0,73,19
2019_Q-1,2019,-1,2019-03-08 01:00:08,34,105,27,10,5,0,0,0,0,0,0,0,0,0,0,32,18
2019_Q2,2019,2,2019-07-30 16:24:11,57,131,68,26,6,0,0,0,0,0,0,0,0,0,0,58,35
2019_Q0,2019,0,2019-06-25 19:00:11,53,50,23,27,6,0,0,0,0,0,0,0,0,0,0,28,12
2019_Q1,2019,1,2019-04-30 19:24:12,68,126,72,10,10,0,0,0,0,0,0,0,0,0,0,65,44
2018_Q-1,2018,-1,2018-03-08 23:28:09,44,145,49,9,12,0,0,0,0,0,0,0,0,0,0,37,43
2018_Q4,2018,4,2019-01-31 19:27:14,61,131,53,5,7,0,0,0,0,0,0,0,0,0,0,43,24
2018_Q3,2018,3,2018-10-30 17:36:29,77,155,50,6,10,0,0,0,0,0,0,0,0,0,0,62,30
2018_Q2,2018,2,2018-07-26 18:18:22,78,138,62,9,5,0,0,0,0,0,0,0,0,0,0,53,41
2018_Q1,2018,1,2018-05-02 16:47:29,56,139,53,7,8,0,0,0,0,0,0,0,0,0,0,57,26
2017_Q4,2017,4,2018-02-01 20:18:08,62,133,69,4,7,0,0,0,0,0,0,0,0,0,0,80,31
2017_Q3,2017,3,2017-10-31 17:44:41,80,131,53,24,5,0,0,0,0,0,0,0,0,0,0,47,34
2017_Q-1,2017,-1,2017-03-16 01:32:05,29,102,49,5,10,0,0,0,0,0,0,0,0,0,0,22,37
2017_Q2,2017,2,2017-07-27 21:06:20,67,185,50,11,7,0,0,0,0,0,0,0,0,0,0,56,30
2017_Q0,2017,0,2017-05-31 18:34:04,63,85,47,18,9,0,0,0,0,0,0,0,0,0,0,40,30
2017_Q1,2017,1,2017-05-02 18:18:34,70,136,67,11,7,0,0,0,0,0,0,0,0,0,0,54,35
2016_Q4,2016,4,2017-01-31 19:22:22,82,136,79,20,10,0,0,0,0,0,0,0,0,0,0,51,37
2016_Q3,2016,3,2016-10-28 19:40:14,72,119,72,24,8,0,0,0,0,0,0,0,0,0,0,56,41
2016_Q-1,2016,-1,2016-03-15 19:50:15,103,105,52,7,5,0,0,0,0,0,0,0,0,0,0,48,29
2016_Q2,2016,2,2016-07-28 19:23:06,85,132,65,38,11,0,0,0,0,0,0,0,0,0,0,48,47
2016_Q1,2016,1,2016-04-28 20:28:22,102,126,65,17,10,0,0,0,0,0,0,0,0,0,0,49,35
2015_Q4,2015,4,2016-01-29 20:22:12,80,116,59,11,7,0,0,0,0,0,0,0,0,0,0,49,30
2015_Q3,2015,3,2015-10-29 20:58:11,96,109,85,15,7,0,0,0,0,0,0,0,0,0,0,72,55
2015_Q-1,2015,-1,2015-03-23 20:20:04,47,123,39,5,3,0,0,0,0,0,0,0,0,0,0,37,27
2015_Q2,2015,2,2015-07-29 18:28:08,73,113,78,30,14,0,0,0,0,0,0,0,0,0,0,61,44
2015_Q1,2015,1,2015-04-29 17:56:04,65,124,75,24,16,0,0,0,0,0,0,0,0,0,0,78,40
2014_Q4,2014,4,2015-01-30 20:10:04,68,114,89,21,10,0,0,0,0,0,0,0,1,0,0,55,34
