ID,Year,Quarter,Date,negative,positive,uncertainty,litigious,constraining,strong_modal_positive,strong_modal_negative,strong_modal_uncertainty,strong_modal_litigious,strong_modal_constraining,weak_modal_positive,weak_modal_negative,weak_modal_uncertainty,weak_modal_litigious,weak_modal_constraining,strong_modal_raw_count,weak_modal_raw_count
2020_Q4,2020,4,2021-01-28 18:45:11,88,187,83,1,27,0,0,0,0,0,0,0,0,0,0,54,47
2020_Q3,2020,3,2020-11-09 15:06:13,16,57,15,2,7,0,0,0,0,0,0,0,0,0,0,6,8
2020_Q2,2020,2,2020-07-28 17:22:07,129,177,96,4,16,0,0,0,0,0,0,0,0,0,0,64,53
2020_Q-1,2020,-1,2020-06-16 19:20:09,52,69,71,1,3,0,0,0,0,0,0,0,0,0,0,21,54
2020_Q1,2020,1,2020-04-30 16:17:24,134,135,94,5,16,0,0,0,0,0,0,0,0,0,0,64,51
2019_Q4,2019,4,2020-01-29 21:54:07,59,174,70,2,14,0,0,0,0,0,0,0,0,0,0,37,37
2019_Q3,2019,3,2019-10-22 21:31:43,55,179,56,1,5,0,0,0,0,0,0,0,0,0,0,72,34
2019_Q2,2019,2,2019-07-26 23:00:12,68,230,67,1,11,0,0,0,0,0,0,0,0,0,0,51,36
2019_Q1,2019,1,2019-04-30 22:03:13,71,263,49,3,6,0,0,0,0,0,0,0,0,0,0,81,26
2019_Q-1,2019,-1,2019-03-15 18:35:07,32,77,35,3,5,0,0,0,0,0,0,0,0,0,0,71,24
2018_Q4,2018,4,2019-01-30 23:28:28,68,226,76,1,16,0,0,0,0,0,0,0,0,0,0,100,34
2018_Q3,2018,3,2018-10-23 21:31:56,59,234,52,4,8,0,0,0,0,0,0,0,0,0,0,73,31
2018_Q2,2018,2,2018-07-26 20:08:15,71,209,82,4,14,0,0,0,0,0,0,0,0,0,0,76,47
2018_Q0,2018,0,2018-06-01 00:38:07,36,125,70,3,13,0,0,0,0,0,0,0,0,0,0,69,45
2018_Q1,2018,1,2018-04-30 21:55:09,68,215,67,3,9,0,0,0,0,0,0,0,0,0,1,40,41
2017_Q0,2017,0,2017-05-25 03:10:09,89,192,69,14,22,0,0,0,0,0,1,0,0,0,0,102,35
2017_Q4,2017,4,2018-01-30 23:31:11,42,248,59,4,19,0,0,0,0,0,0,1,0,0,0,86,27
2017_Q-1,2017,-1,2017-06-01 17:23:10,35,49,47,7,10,0,0,0,0,0,0,0,0,0,0,26,38
2017_Q3,2017,3,2017-10-24 19:58:41,61,189,65,5,22,0,0,0,0,0,0,0,0,0,0,77,39
2017_Q2,2017,2,2017-07-25 20:14:22,62,183,50,3,19,0,0,0,0,0,0,0,0,0,0,80,37
2017_Q1,2017,1,2017-04-26 06:26:35,81,226,61,3,9,0,0,0,0,0,0,0,0,0,0,71,31
2015_Q-1,2015,-1,2015-03-05 16:39:09,58,112,49,0,8,0,0,0,0,0,0,0,0,0,0,32,36
2015_Q4,2015,4,2016-01-25 22:49:10,82,200,77,5,15,0,0,0,0,0,0,0,0,0,0,60,40
2015_Q3,2015,3,2015-10-22 21:48:11,84,196,68,6,11,0,0,0,0,0,0,0,0,0,0,65,38
2015_Q2,2015,2,2015-07-23 21:10:44,100,187,63,9,11,0,0,0,0,0,0,0,0,0,0,76,32
2015_Q1,2015,1,2015-04-22 21:34:07,134,139,105,2,12,0,0,0,0,0,0,0,0,0,0,84,67
2016_Q4,2016,4,2017-01-23 20:42:06,49,211,51,0,8,0,0,0,0,0,0,0,0,0,0,74,31
2016_Q3,2016,3,2016-10-21 22:04:22,70,243,71,1,11,0,0,0,0,0,0,0,0,0,0,30,46
2016_Q2,2016,2,2016-07-26 21:14:36,66,245,86,4,16,0,0,0,0,0,0,0,0,0,0,58,34
2016_Q0,2016,0,2016-06-02 00:07:25,44,149,67,3,19,0,0,0,0,0,0,0,0,0,0,73,46
2016_Q1,2016,1,2016-04-22 19:36:21,74,251,64,5,7,0,0,0,0,0,0,0,0,0,0,62,49
2016_Q-1,2016,-1,2016-03-16 15:52:11,37,54,66,0,5,0,0,0,0,0,0,1,0,0,0,59,47
2014_Q4,2014,4,2015-01-23 22:14:06,120,167,48,8,7,0,0,0,0,0,0,0,0,0,0,92,18
2014_Q-1,2014,-1,2014-11-20 20:22:08,24,100,21,0,6,0,0,0,0,0,0,0,0,0,0,19,9
2014_Q3,2014,3,2014-10-21 21:11:17,125,182,82,15,6,0,0,0,0,0,0,0,0,0,0,71,46
2014_Q2,2014,2,2014-07-22 21:06:09,135,276,88,11,12,0,0,0,0,0,0,0,0,0,0,80,54
2014_Q0,2014,0,2014-05-23 00:59:08,99,175,57,14,36,0,0,0,0,0,0,0,0,0,0,95,39
2014_Q1,2014,1,2014-04-22 21:30:08,88,209,64,6,5,0,0,0,0,0,0,0,0,0,0,60,39
2013_Q4,2013,4,2014-01-23 18:33:07,98,212,69,3,11,0,0,0,0,0,0,0,0,0,0,61,40
2013_Q3,2013,3,2013-10-21 17:53:09,102,160,70,12,14,0,0,0,0,0,0,0,0,0,0,57,40
2013_Q-1,2013,-1,2013-05-29 19:46:08,38,167,33,4,6,0,0,0,0,0,0,0,0,0,0,42,20
2013_Q2,2013,2,2013-07-22 19:00:05,129,163,67,5,8,0,0,0,0,0,0,0,0,0,0,40,42
2013_Q0,2013,0,2013-05-23 20:57:05,108,127,56,8,18,0,0,0,0,0,0,0,0,0,0,68,23
2013_Q1,2013,1,2013-04-19 16:50:11,139,161,66,6,12,0,0,0,0,0,0,0,0,0,0,38,45
2012_Q4,2012,4,2013-01-23 20:48:08,104,213,69,7,11,0,0,0,0,0,0,0,0,0,0,56,41
2012_Q3,2012,3,2012-10-19 17:31:06,110,167,68,10,8,0,0,0,0,0,0,0,0,0,0,46,42
2012_Q2,2012,2,2012-07-23 17:24:03,108,148,85,9,10,0,0,0,0,0,0,0,0,0,0,62,54
2012_Q1,2012,1,2012-04-20 18:31:10,80,179,72,6,10,0,0,0,0,0,0,0,0,0,0,64,45
2011_Q4,2011,4,2012-01-24 23:21:09,96,208,85,8,16,0,0,0,0,0,0,0,0,0,0,70,44
2011_Q-1,2011,-1,2011-11-10 23:31:03,225,890,248,20,43,0,0,0,0,0,0,0,0,0,0,279,153
2011_Q3,2011,3,2011-10-21 22:31:11,66,165,76,6,10,0,0,0,0,0,0,0,0,0,0,52,40
2011_Q2,2011,2,2011-07-22 19:41:16,75,196,66,2,5,0,0,0,0,0,0,0,0,0,0,54,40
2011_Q1,2011,1,2011-04-22 21:41:18,90,198,57,1,9,0,0,0,0,0,0,0,0,0,0,57,33
2010_Q4,2010,4,2011-01-24 22:06:19,79,191,74,4,14,0,0,0,0,0,0,0,0,0,0,63,45
2010_Q3,2010,3,2010-10-26 09:19:42,76,206,78,8,7,0,0,0,0,0,0,0,0,0,0,70,50
2010_Q1,2010,1,2010-04-21 21:57:12,79,213,76,3,14,0,0,0,0,0,0,0,0,0,0,61,50
2009_Q4,2009,4,2010-01-22 23:07:12,84,200,51,3,8,0,0,0,0,0,0,0,0,0,0,49,31
2009_Q2,2009,2,2009-07-23 21:15:26,95,192,83,1,6,0,0,0,0,0,0,0,0,0,0,47,53
2009_Q1,2009,1,2009-04-22 21:15:18,115,201,64,4,9,0,0,0,0,0,0,0,0,0,0,66,40
2008_Q4,2008,4,2009-01-26 23:11:34,124,176,99,0,9,0,0,0,0,0,0,0,0,0,0,43,63
2008_Q3,2008,3,2008-10-22 20:23:12,76,174,88,3,7,0,0,0,0,0,0,0,0,0,0,41,50
2008_Q2,2008,2,2008-07-24 00:24:13,72,161,75,1,3,0,0,0,0,0,0,0,0,0,0,39,52
2008_Q1,2008,1,2008-04-22 20:14:11,70,154,64,2,4,0,0,0,0,0,0,0,0,0,0,36,45
2007_Q4,2007,4,2008-01-28 22:27:32,98,182,77,5,16,0,0,0,0,0,0,0,0,0,0,74,61
2007_Q3,2007,3,2007-10-19 21:27:39,53,156,54,0,8,0,0,0,0,0,0,0,0,0,0,55,30
2007_Q2,2007,2,2007-07-24 20:54:32,70,168,78,3,13,0,0,0,0,0,0,0,0,0,0,45,55
2007_Q1,2007,1,2007-04-20 20:38:43,84,179,96,6,29,0,0,0,0,0,0,0,0,0,0,74,51
2006_Q4,2006,4,2007-01-24 19:10:21,56,142,60,7,13,0,0,0,0,0,0,0,0,0,0,53,42
2006_Q3,2006,3,2006-10-19 22:22:48,47,199,57,1,10,0,0,0,0,0,0,0,0,0,0,64,35
2006_Q2,2006,2,2006-07-25 20:11:30,64,163,57,4,8,0,0,0,0,0,0,0,0,0,0,65,39
2006_Q1,2006,1,2006-04-22 23:34:20,67,158,63,3,6,0,0,0,0,0,0,0,0,0,0,24,41
2005_Q4,2005,4,2006-01-26 16:45:53,77,213,98,6,19,0,0,0,0,0,0,0,0,0,0,67,49
