ID,Year,Quarter,Date,negative,positive,uncertainty,litigious,constraining,strong_modal_positive,strong_modal_negative,strong_modal_uncertainty,strong_modal_litigious,strong_modal_constraining,weak_modal_positive,weak_modal_negative,weak_modal_uncertainty,weak_modal_litigious,weak_modal_constraining,strong_modal_raw_count,weak_modal_raw_count
2020_Q4,2020,4,2021-02-12 22:31:46,91,201,167,16,15,0,0,0,0,0,0,0,0,0,0,62,71
2020_Q3,2020,3,2020-10-30 07:42:45,124,246,175,22,24,0,0,0,0,0,0,0,0,0,0,82,79
2020_Q2,2020,2,2020-07-31 06:36:49,129,171,160,9,13,0,0,0,0,0,0,0,0,0,0,54,68
2020_Q1,2020,1,2020-05-01 00:37:16,156,138,135,7,12,0,0,0,0,0,0,0,0,0,0,55,50
2019_Q4,2019,4,2020-02-13 00:42:14,87,184,119,10,13,0,0,0,0,0,0,0,0,0,0,86,43
2019_Q3,2019,3,2019-10-31 00:06:08,98,173,114,17,21,0,0,0,0,0,0,0,0,0,0,47,51
2019_Q2,2019,2,2019-07-31 22:19:12,111,141,129,3,8,0,0,0,0,0,0,0,0,0,0,60,51
2019_Q1,2019,1,2019-04-24 22:28:11,77,131,78,10,7,0,0,0,0,0,0,0,0,0,0,57,34
2018_Q4,2018,4,2019-02-15 22:27:26,139,141,102,5,15,0,0,0,0,0,0,0,0,0,0,66,51
2018_Q3,2018,3,2018-10-26 20:48:09,109,136,114,21,16,1,0,0,0,0,0,0,0,0,0,52,51
2018_Q2,2018,2,2018-07-27 22:36:13,58,120,87,12,14,0,0,0,0,0,0,0,0,0,0,50,34
2018_Q1,2018,1,2018-04-28 21:58:09,80,125,107,14,16,0,0,0,0,0,0,0,0,0,0,57,45
2017_Q4,2017,4,2018-02-09 21:18:08,78,176,133,25,24,0,0,0,0,0,0,0,0,0,0,81,65
2017_Q3,2017,3,2017-11-04 02:14:13,97,144,133,10,17,0,0,0,0,0,0,0,0,0,0,44,57
2017_Q-1,2017,-1,2017-09-12 15:53:30,33,78,42,3,8,0,0,0,0,0,0,0,0,0,0,35,16
2017_Q2,2017,2,2017-07-21 22:10:08,71,126,99,10,13,0,0,0,0,0,0,1,0,0,0,62,60
2017_Q1,2017,1,2017-05-05 22:24:34,67,114,94,14,11,0,0,0,0,0,0,0,0,0,0,54,43
