ID,Year,Quarter,Date,negative,positive,uncertainty,litigious,constraining,strong_modal_positive,strong_modal_negative,strong_modal_uncertainty,strong_modal_litigious,strong_modal_constraining,weak_modal_positive,weak_modal_negative,weak_modal_uncertainty,weak_modal_litigious,weak_modal_constraining,strong_modal_raw_count,weak_modal_raw_count
2021_Q3,2021,3,2021-02-23 16:23:07,82,205,64,5,6,0,0,0,0,0,0,0,0,0,0,55,30
2021_Q2,2021,2,2020-11-24 17:37:06,81,199,88,4,9,0,0,0,0,0,0,0,0,0,0,59,50
2021_Q1,2021,1,2020-08-25 19:13:10,97,215,84,7,10,0,0,0,0,0,0,0,0,0,0,52,39
2020_Q0,2020,0,2020-05-29 19:46:07,69,147,46,2,6,0,0,0,0,0,0,0,0,0,0,56,30
2020_Q-1,2020,-1,2020-06-03 20:14:09,29,92,49,1,1,0,0,0,0,0,0,0,0,0,0,24,35
2020_Q4,2020,4,2020-05-21 19:23:11,170,164,82,11,7,0,0,0,0,0,0,0,0,0,0,48,41
2020_Q3,2020,3,2020-02-18 20:41:08,145,159,77,3,8,0,0,0,0,0,0,0,0,0,0,69,29
2020_Q2,2020,2,2019-11-19 20:35:09,110,210,77,3,12,0,0,0,0,0,0,0,0,0,0,61,39
2020_Q1,2020,1,2019-08-20 20:42:25,89,181,75,11,7,0,0,0,0,0,0,0,0,0,0,50,41
2019_Q-1,2019,-1,2019-03-12 15:40:08,19,89,28,2,1,0,0,0,0,0,0,0,0,0,0,31,19
2019_Q4,2019,4,2019-05-23 18:48:07,120,192,70,12,11,0,0,0,0,0,0,0,0,0,0,90,42
2019_Q0,2019,0,2019-02-27 20:27:17,15,73,8,5,1,0,0,0,0,0,0,0,0,0,0,13,7
2019_Q3,2019,3,2019-02-19 20:23:08,116,200,76,7,6,0,0,0,0,0,0,0,0,0,0,65,46
2019_Q2,2019,2,2018-11-20 19:51:21,54,223,65,1,14,0,0,0,0,0,0,0,0,0,0,51,37
2019_Q1,2019,1,2018-08-21 17:19:08,96,257,70,15,7,0,0,0,0,0,0,0,0,0,0,53,45
2018_Q0,2018,0,2018-09-06 17:50:07,41,112,34,1,3,0,0,0,0,0,0,0,0,0,0,23,17
2018_Q4,2018,4,2018-05-24 19:25:05,107,210,82,9,7,0,0,0,0,0,0,0,0,0,0,48,36
2018_Q3,2018,3,2018-02-20 18:51:07,106,233,91,13,10,0,0,0,0,0,0,0,0,0,0,68,43
2018_Q2,2018,2,2017-11-21 18:56:07,107,171,94,12,12,0,0,0,0,0,0,0,0,0,0,38,30
