ID,Year,Quarter,Date,negative,positive,uncertainty,litigious,constraining,strong_modal_positive,strong_modal_negative,strong_modal_uncertainty,strong_modal_litigious,strong_modal_constraining,weak_modal_positive,weak_modal_negative,weak_modal_uncertainty,weak_modal_litigious,weak_modal_constraining,strong_modal_raw_count,weak_modal_raw_count
2020_Q3,2020,3,2020-11-05 19:47:00,96,156,81,24,11,0,0,0,0,0,0,0,0,0,0,33,18
2020_Q2,2020,2,2020-08-06 19:28:23,132,147,90,23,20,0,0,0,0,0,0,0,0,0,0,50,25
2020_Q1,2020,1,2020-05-07 19:05:34,125,146,107,21,14,0,0,0,0,0,0,0,0,0,0,39,31
2019_Q4,2019,4,2020-02-06 17:41:43,83,152,62,13,11,0,0,0,0,0,0,0,0,0,0,43,28
2019_Q3,2019,3,2019-10-31 17:55:08,91,166,97,16,8,0,0,0,0,0,0,0,0,0,0,30,36
2019_Q-1,2019,-1,2019-09-04 18:03:06,12,87,36,0,4,0,0,0,0,0,0,0,0,0,0,11,9
2019_Q2,2019,2,2019-08-01 16:59:38,90,195,74,10,10,0,0,0,0,0,0,0,0,0,0,32,19
2019_Q1,2019,1,2019-05-02 19:28:10,69,202,62,13,11,0,0,0,0,0,0,0,0,0,0,42,14
2018_Q4,2018,4,2019-02-07 19:21:10,106,174,78,24,11,0,0,0,0,0,0,0,0,0,0,49,23
2018_Q-1,2018,-1,2018-12-14 19:59:07,94,159,112,13,14,0,0,0,0,0,0,0,0,0,0,59,31
2018_Q3,2018,3,2018-11-02 17:35:38,96,135,112,21,3,0,0,0,0,0,0,0,0,0,0,44,27
2018_Q2,2018,2,2018-08-02 18:41:59,79,139,116,21,16,0,0,0,0,0,0,0,0,0,0,42,38
2018_Q1,2018,1,2018-05-03 16:56:12,87,151,90,19,12,0,0,0,0,0,0,0,0,0,0,48,24
2017_Q4,2017,4,2018-02-14 18:32:09,119,112,94,41,16,0,0,0,0,0,0,0,0,0,0,94,33
2017_Q3,2017,3,2017-11-02 15:08:23,80,114,71,25,9,0,0,0,0,0,0,0,0,0,0,39,21
2017_Q2,2017,2,2017-08-03 17:16:10,83,122,94,22,3,0,0,0,0,0,0,0,0,0,0,45,18
2017_Q1,2017,1,2017-05-04 17:01:28,111,148,82,46,5,0,0,0,0,0,0,0,0,0,0,41,21
2016_Q4,2016,4,2017-02-02 19:11:21,103,109,81,35,8,0,0,0,0,0,0,0,0,0,0,36,29
2016_Q3,2016,3,2016-11-03 16:28:38,105,128,96,38,9,0,0,0,0,0,0,0,0,0,0,57,33
2016_Q2,2016,2,2016-08-04 22:00:47,93,84,120,43,11,0,0,0,0,0,0,0,0,0,0,69,24
2016_Q1,2016,1,2016-05-05 18:20:33,141,120,115,51,11,0,0,0,0,0,0,0,0,0,0,72,40
2015_Q4,2015,4,2016-02-04 17:06:10,124,87,111,42,20,0,0,0,0,0,0,0,0,0,0,61,42
2015_Q3,2015,3,2015-11-05 21:12:06,119,84,123,33,9,0,0,0,0,0,0,0,0,0,0,37,32
2015_Q2,2015,2,2015-07-30 17:57:09,113,127,119,27,14,0,0,0,0,0,0,0,0,0,0,68,45
2015_Q1,2015,1,2015-05-07 16:48:04,115,128,137,40,8,0,0,0,0,0,0,0,0,0,0,58,30
2014_Q4,2014,4,2015-02-12 19:07:07,73,113,100,45,11,0,0,0,0,0,0,0,0,0,0,33,21
2014_Q3,2014,3,2014-10-30 16:31:07,101,138,105,32,10,0,0,0,0,0,0,0,0,0,0,66,28
2014_Q2,2014,2,2014-07-31 19:11:17,150,103,98,59,7,0,1,0,0,0,0,0,0,0,0,60,25
2014_Q1,2014,1,2014-05-01 18:16:04,103,138,115,38,13,0,0,0,0,0,0,0,0,0,0,58,33
2013_Q4,2013,4,2014-02-13 17:51:10,101,132,119,43,10,0,0,0,0,0,0,0,0,0,0,36,32
2013_Q0,2013,0,2013-12-12 17:41:15,151,194,223,40,21,0,0,0,0,0,0,0,0,0,0,111,71
2013_Q3,2013,3,2013-10-31 16:21:09,107,128,154,31,6,0,0,0,0,0,0,0,0,0,0,62,40
2013_Q-1,2013,-1,2013-02-15 00:36:03,37,49,68,9,2,0,0,0,0,0,0,0,0,0,0,35,21
2013_Q2,2013,2,2013-08-01 16:21:08,110,126,96,42,9,0,0,0,0,0,0,0,0,0,0,54,29
2013_Q1,2013,1,2013-05-02 17:21:12,120,101,153,34,7,0,0,0,0,0,0,1,0,0,0,46,41
2012_Q4,2012,4,2013-02-14 17:51:16,127,93,167,27,10,0,0,0,0,0,0,0,1,0,0,47,50
2012_Q0,2012,0,2012-12-13 17:11:06,91,71,183,14,18,0,0,0,0,0,0,0,0,0,0,50,22
