ID,Year,Quarter,Date,negative,positive,uncertainty,litigious,constraining,strong_modal_positive,strong_modal_negative,strong_modal_uncertainty,strong_modal_litigious,strong_modal_constraining,weak_modal_positive,weak_modal_negative,weak_modal_uncertainty,weak_modal_litigious,weak_modal_constraining,strong_modal_raw_count,weak_modal_raw_count
2020_Q4,2020,4,2021-02-04 18:28:14,127,226,109,6,11,0,0,0,0,0,0,0,0,0,0,105,39
2020_Q3,2020,3,2020-10-27 17:33:12,106,202,76,8,24,0,0,0,0,0,0,0,0,0,0,83,28
2020_Q2,2020,2,2020-07-31 18:11:08,138,224,126,5,17,0,0,0,0,0,0,0,0,0,0,61,53
2020_Q-1,2020,-1,2020-06-03 00:51:10,116,134,129,5,10,0,0,0,0,0,0,0,0,0,0,34,83
2020_Q1,2020,1,2020-04-28 19:49:07,171,171,144,17,19,0,0,0,0,0,0,0,0,0,0,100,71
2019_Q4,2019,4,2020-02-05 20:17:51,101,347,92,8,12,0,0,0,0,0,0,0,0,0,0,134,27
2019_Q3,2019,3,2019-10-29 17:17:28,109,212,82,9,10,0,0,0,0,0,0,0,0,0,0,75,38
2019_Q0,2019,0,2019-09-09 18:07:26,39,99,44,3,1,0,0,0,0,0,0,0,0,0,0,42,34
2019_Q2,2019,2,2019-07-30 18:02:37,99,160,69,16,5,0,0,0,0,0,0,0,0,0,0,65,40
2019_Q-1,2019,-1,2019-01-08 04:29:22,30,90,42,1,8,0,0,0,0,0,0,0,0,0,0,19,26
2019_Q1,2019,1,2019-04-30 19:32:43,65,193,81,8,5,0,0,0,0,0,0,0,0,0,0,64,38
2018_Q4,2018,4,2019-02-01 17:17:11,94,198,96,11,10,0,0,0,0,0,0,0,0,0,0,66,41
2018_Q3,2018,3,2018-10-25 16:53:26,82,174,89,9,6,0,0,0,0,0,0,0,0,0,0,76,43
2018_Q-1,2018,-1,2018-01-09 05:07:16,21,99,48,6,2,0,0,0,0,0,0,0,0,0,0,26,31
2018_Q2,2018,2,2018-07-27 18:09:08,87,171,108,8,9,0,0,0,0,0,0,0,0,0,0,69,50
2018_Q1,2018,1,2018-05-01 18:28:07,95,181,80,14,8,0,0,0,0,0,0,0,0,0,0,77,32
2018_Q0,2018,0,2018-03-13 19:20:10,39,64,43,4,5,0,0,0,0,0,0,0,0,0,0,34,28
2017_Q4,2017,4,2018-02-02 19:16:10,79,231,102,14,6,0,0,0,0,0,0,0,0,0,0,90,46
2017_Q3,2017,3,2017-10-27 16:32:41,106,202,91,5,8,0,0,0,0,0,0,0,0,0,0,82,39
2017_Q-1,2017,-1,2017-06-03 07:04:05,105,152,114,13,4,0,0,0,0,0,0,0,0,0,0,44,61
2017_Q2,2017,2,2017-07-28 16:48:39,107,171,92,12,7,0,0,0,0,0,0,0,0,0,0,70,44
2017_Q0,2017,0,2017-05-23 17:43:07,126,171,77,18,18,0,0,0,0,0,0,0,0,0,0,47,38
2017_Q1,2017,1,2017-05-02 16:30:31,96,135,102,6,9,0,0,0,0,0,0,0,0,0,0,78,37
2016_Q4,2016,4,2017-02-02 17:24:31,118,145,99,8,16,0,0,0,0,0,0,0,0,0,0,101,47
2016_Q3,2016,3,2016-10-25 17:02:27,105,173,126,9,8,0,0,0,0,0,0,0,0,0,0,83,57
2016_Q-1,2016,-1,2016-05-25 17:49:20,24,78,33,2,4,0,0,0,0,0,0,0,0,0,0,51,18
2016_Q2,2016,2,2016-07-29 16:46:13,75,166,83,16,9,0,0,0,0,0,0,0,0,0,0,82,35
2016_Q1,2016,1,2016-05-05 17:28:27,110,160,98,11,13,0,0,0,0,0,0,0,0,0,0,85,47
2015_Q4,2015,4,2016-02-03 18:47:16,98,191,86,14,10,0,0,0,0,0,0,0,0,0,0,50,38
2015_Q3,2015,3,2015-10-27 18:42:09,89,155,88,15,22,0,0,0,0,0,0,0,0,0,0,78,37
2015_Q-1,2015,-1,2015-09-17 17:11:06,32,85,32,3,3,0,0,0,0,0,0,0,0,0,0,45,27
2015_Q2,2015,2,2015-07-28 20:18:06,137,210,130,5,15,0,0,0,0,0,0,0,0,0,0,118,55
2015_Q1,2015,1,2015-04-28 16:30:07,112,173,89,13,6,0,0,0,0,0,0,0,0,0,0,80,36
