ID,Year,Quarter,Date,negative,positive,uncertainty,litigious,constraining,strong_modal_positive,strong_modal_negative,strong_modal_uncertainty,strong_modal_litigious,strong_modal_constraining,weak_modal_positive,weak_modal_negative,weak_modal_uncertainty,weak_modal_litigious,weak_modal_constraining,strong_modal_raw_count,weak_modal_raw_count
2020_Q3,2020,3,2020-10-15 17:52:07,101,166,106,11,8,0,0,0,0,0,0,0,0,0,0,78,52
2020_Q2,2020,2,2020-07-16 17:15:08,108,168,87,16,6,0,0,0,0,0,0,0,0,0,0,79,26
2020_Q-1,2020,-1,2020-06-10 01:53:07,69,85,59,6,9,1,0,0,0,0,0,0,0,0,0,48,31
2020_Q1,2020,1,2020-04-16 17:52:48,172,114,115,11,10,0,0,0,0,0,0,0,0,0,0,59,48
2019_Q4,2019,4,2020-01-16 18:30:10,81,185,90,14,10,0,0,0,0,0,0,0,0,0,0,65,33
2019_Q3,2019,3,2019-10-17 17:26:10,81,166,65,6,8,0,0,0,0,0,0,0,0,0,0,38,28
2019_Q2,2019,2,2019-07-18 16:40:10,111,140,84,14,3,0,0,0,0,0,0,0,0,0,0,60,38
2019_Q1,2019,1,2019-04-17 17:51:11,98,153,80,8,6,0,0,0,0,0,0,0,0,0,0,56,39
2018_Q4,2018,4,2019-01-17 20:36:06,144,184,112,8,5,0,0,0,0,0,0,0,0,0,0,67,42
2018_Q3,2018,3,2018-10-16 17:10:08,129,175,100,8,9,0,0,0,0,0,0,0,0,0,0,43,39
2018_Q2,2018,2,2018-07-18 18:12:09,87,172,87,5,6,0,0,0,0,0,0,0,0,0,0,51,26
2018_Q1,2018,1,2018-04-18 17:39:09,102,178,94,10,26,1,0,0,0,0,0,1,0,0,0,65,35
2017_Q4,2017,4,2018-01-18 18:39:30,117,238,133,18,4,0,0,0,0,0,0,0,0,0,0,87,46
2017_Q3,2017,3,2017-10-17 17:31:42,82,142,82,14,8,0,0,0,0,0,0,0,0,0,0,44,37
2017_Q2,2017,2,2017-07-19 18:18:07,102,155,104,23,14,0,0,0,0,0,0,0,0,0,0,41,45
2017_Q-1,2017,-1,2017-05-31 21:28:08,32,60,45,2,2,0,0,0,0,0,0,0,0,0,0,30,30
2017_Q1,2017,1,2017-04-19 17:59:05,112,167,123,23,14,0,0,0,0,0,0,0,0,0,0,42,49
2016_Q4,2016,4,2017-01-17 19:20:07,128,193,121,15,12,0,0,0,0,0,0,0,0,0,0,55,52
2016_Q3,2016,3,2016-10-19 18:11:10,108,156,104,24,10,0,0,0,0,0,0,0,0,0,0,51,37
2016_Q2,2016,2,2016-07-20 16:15:07,109,179,111,9,15,0,0,0,0,0,0,0,0,0,0,66,40
