ID,Year,Quarter,Date,negative,positive,uncertainty,litigious,constraining,strong_modal_positive,strong_modal_negative,strong_modal_uncertainty,strong_modal_litigious,strong_modal_constraining,weak_modal_positive,weak_modal_negative,weak_modal_uncertainty,weak_modal_litigious,weak_modal_constraining,strong_modal_raw_count,weak_modal_raw_count
2021_Q2,2021,2,2021-01-27 03:57:09,57,155,65,7,9,0,0,0,0,0,0,0,0,0,0,46,26
2021_Q1,2021,1,2020-10-28 01:16:10,74,180,70,8,8,0,0,0,0,0,0,0,0,0,0,42,35
2020_Q0,2020,0,2020-12-02 18:44:09,94,145,39,15,18,0,0,0,0,0,0,0,0,0,1,63,14
2020_Q4,2020,4,2020-07-23 01:29:10,73,142,57,6,9,0,0,0,0,0,0,0,0,0,0,61,24
2020_Q3,2020,3,2020-04-30 03:02:32,75,132,62,7,10,0,0,0,0,0,0,0,0,0,0,56,31
2020_Q2,2020,2,2020-01-30 02:39:36,53,164,47,5,6,0,0,0,0,0,0,0,0,0,0,52,19
2020_Q1,2020,1,2019-10-24 02:20:43,58,165,51,9,12,0,0,0,0,0,0,0,0,0,0,33,25
2019_Q0,2019,0,2019-12-04 20:42:28,57,146,42,17,15,0,0,0,0,0,0,0,0,0,0,56,21
2019_Q4,2019,4,2019-07-19 02:28:12,54,167,45,16,12,0,0,0,0,0,0,0,0,0,0,56,7
2019_Q-1,2019,-1,2019-06-04 20:39:09,32,126,23,5,4,0,0,0,0,0,0,0,0,0,0,22,15
2019_Q3,2019,3,2019-04-25 02:29:17,68,174,56,10,11,0,0,0,0,0,0,0,0,0,0,45,21
2019_Q2,2019,2,2019-01-31 04:16:08,63,166,54,11,10,0,0,0,0,0,0,0,0,0,0,45,20
2019_Q1,2019,1,2018-10-25 01:26:27,79,207,65,11,11,0,0,0,0,0,0,0,0,0,0,55,25
2018_Q-1,2018,-1,2018-09-06 15:24:12,30,88,35,4,3,0,0,0,0,0,0,0,0,0,0,35,28
2018_Q0,2018,0,2018-11-27 21:54:11,37,131,42,7,10,0,0,0,0,0,0,0,0,0,0,25,26
2018_Q4,2018,4,2018-07-20 01:29:11,58,177,56,4,8,0,0,0,0,0,0,0,0,0,0,40,19
2018_Q3,2018,3,2018-04-27 02:01:52,71,189,61,7,6,0,0,0,0,0,0,0,0,0,0,68,24
2018_Q2,2018,2,2018-02-01 05:00:07,72,169,46,7,14,0,0,0,0,0,0,0,0,0,0,64,18
2018_Q1,2018,1,2017-10-27 01:55:14,72,178,68,8,7,0,0,0,0,0,0,0,0,0,0,57,22
2017_Q-1,2017,-1,2017-09-13 12:42:10,26,90,39,3,0,0,0,0,0,0,0,0,0,0,0,38,26
2017_Q0,2017,0,2017-05-23 19:15:07,23,110,27,7,2,0,0,0,0,0,0,0,0,0,0,24,19
2017_Q4,2017,4,2017-07-21 02:42:11,75,170,58,5,8,0,0,0,0,0,0,0,0,0,0,60,23
2017_Q3,2017,3,2017-04-28 01:58:36,82,151,75,7,3,0,0,0,0,0,0,0,0,0,0,85,31
2017_Q2,2017,2,2017-01-27 05:31:04,73,159,52,10,6,0,0,0,0,0,0,0,0,0,0,65,16
2017_Q1,2017,1,2016-10-21 03:46:24,63,140,49,10,11,0,0,0,0,0,0,0,0,0,0,47,19
2016_Q-1,2016,-1,2016-06-13 19:46:40,52,159,52,11,6,0,0,0,0,0,0,0,0,0,0,58,27
2016_Q0,2016,0,2016-12-01 02:17:22,73,233,66,19,17,0,0,0,0,0,0,0,0,0,0,85,42
2016_Q4,2016,4,2016-07-20 01:18:14,100,156,72,14,10,0,0,0,0,0,0,0,0,0,0,65,33
2016_Q3,2016,3,2016-04-22 01:52:20,95,128,50,4,9,0,0,0,0,0,0,0,0,0,0,57,20
2016_Q2,2016,2,2016-01-29 04:38:12,83,176,59,2,4,0,0,0,0,0,0,0,0,0,0,57,32
2016_Q1,2016,1,2015-10-23 03:06:08,86,160,50,6,3,0,0,0,0,0,0,0,0,0,0,48,24
2015_Q-1,2015,-1,2015-03-13 05:50:09,26,77,53,5,2,0,0,0,0,0,0,0,0,0,0,28,34
2015_Q4,2015,4,2015-07-22 01:46:14,95,193,61,4,7,0,0,0,0,0,0,0,0,0,0,98,28
2015_Q3,2015,3,2015-04-24 02:45:11,63,159,51,8,3,0,0,0,0,0,0,0,0,0,0,47,27
2015_Q2,2015,2,2015-01-27 04:54:08,95,174,48,9,12,0,0,0,0,0,0,0,0,0,0,73,21
2015_Q1,2015,1,2014-10-24 00:34:11,81,169,46,6,3,0,0,0,0,0,0,0,0,0,0,39,27
2014_Q-1,2014,-1,2014-03-03 22:14:10,21,166,32,5,5,0,0,0,0,0,0,0,0,0,0,27,23
2014_Q0,2014,0,2014-05-20 17:27:08,39,89,33,6,6,0,0,0,0,0,0,0,0,0,0,13,22
2014_Q4,2014,4,2014-07-23 03:00:12,75,138,32,2,3,0,0,0,0,0,0,0,0,0,0,64,16
2014_Q3,2014,3,2014-04-25 04:26:10,80,158,46,6,5,0,0,0,0,0,0,1,0,0,0,64,29
2014_Q2,2014,2,2014-01-24 00:54:07,73,150,49,25,4,0,0,0,0,0,0,0,0,0,0,18,23
2014_Q1,2014,1,2013-10-25 00:30:10,102,210,79,4,9,0,0,0,0,0,0,1,0,0,0,51,36
2013_Q-1,2013,-1,2013-09-03 16:51:08,37,223,48,9,6,0,0,0,0,0,0,0,0,0,0,106,19
2013_Q0,2013,0,2013-05-30 17:06:09,24,150,23,3,2,0,0,0,0,0,0,0,0,0,0,21,9
2013_Q4,2013,4,2013-07-19 00:09:09,83,83,50,2,6,0,0,0,0,0,0,0,0,0,0,41,23
2013_Q3,2013,3,2013-04-18 23:58:06,28,103,36,5,7,0,0,0,0,0,0,0,0,0,0,35,21
2013_Q2,2013,2,2013-01-25 01:23:04,52,95,39,2,18,0,0,0,0,0,0,0,0,0,0,45,20
2013_Q1,2013,1,2012-10-18 22:51:08,76,91,39,4,7,0,0,0,0,0,0,0,0,0,0,53,13
2012_Q4,2012,4,2012-07-20 00:22:06,39,120,41,3,10,0,0,0,0,0,0,0,0,0,0,41,15
2012_Q-1,2012,-1,2012-06-19 20:15:08,24,93,38,2,2,0,0,0,0,0,0,0,0,0,0,30,33
2012_Q3,2012,3,2012-04-20 00:21:08,47,108,47,4,2,0,0,0,0,0,0,0,0,0,0,38,24
2012_Q2,2012,2,2012-01-20 01:41:13,60,124,46,4,7,0,0,0,0,0,0,0,0,0,0,36,27
2012_Q1,2012,1,2011-10-21 00:51:12,50,112,44,4,7,0,0,0,0,0,0,0,0,0,0,45,23
2011_Q-1,2011,-1,2011-05-11 01:19:31,18,146,21,5,10,0,0,0,0,0,0,0,0,0,0,47,11
2011_Q4,2011,4,2011-07-21 23:51:16,41,104,54,7,17,0,0,0,0,0,0,0,0,0,0,58,25
2011_Q3,2011,3,2011-04-29 00:21:22,34,127,34,2,8,0,0,0,0,0,0,0,0,0,0,38,19
2011_Q2,2011,2,2011-01-28 02:06:18,27,144,48,10,6,0,0,0,0,0,0,0,0,0,0,37,23
2011_Q1,2011,1,2010-10-29 01:06:16,27,105,52,5,2,0,0,0,0,0,0,0,0,0,0,39,25
2010_Q4,2010,4,2010-07-23 00:02:16,42,128,42,6,6,0,0,0,0,0,0,0,0,0,0,45,18
2010_Q3,2010,3,2010-04-23 03:25:13,48,106,57,6,2,0,0,0,0,0,0,1,0,0,0,38,23
2010_Q2,2010,2,2010-01-29 00:18:18,51,100,55,9,5,0,0,0,0,0,0,0,0,0,0,46,23
2010_Q1,2010,1,2009-10-23 15:01:24,81,160,75,8,6,0,0,0,0,0,0,0,1,0,0,72,33
2009_Q4,2009,4,2009-07-24 04:14:22,137,140,67,19,11,0,0,0,0,0,0,0,0,0,0,65,34
2009_Q3,2009,3,2009-04-24 03:36:30,122,118,73,14,17,0,0,0,0,0,0,0,0,0,0,85,26
2009_Q2,2009,2,2009-01-22 22:10:14,135,110,90,21,12,0,0,0,0,0,0,0,0,0,0,93,42
2009_Q1,2009,1,2008-10-24 03:36:34,100,104,101,8,14,0,0,0,0,0,0,0,0,0,0,89,33
2008_Q4,2008,4,2008-07-18 04:38:14,96,112,69,12,12,0,0,0,0,0,0,0,0,0,0,66,28
2008_Q3,2008,3,2008-04-25 02:56:27,78,100,76,19,4,0,0,0,0,0,0,0,0,0,0,47,23
2008_Q2,2008,2,2008-01-25 02:47:25,52,129,62,14,9,0,0,0,0,0,0,0,0,0,0,47,28
2008_Q-1,2008,-1,2008-01-08 03:38:21,56,78,79,4,2,0,0,0,0,0,0,0,0,0,0,30,49
2008_Q1,2008,1,2007-10-26 03:33:07,65,145,53,7,6,0,0,0,0,0,0,0,0,0,0,50,21
2007_Q-1,2007,-1,2007-10-26 01:54:49,41,95,30,1,5,0,0,0,0,0,1,0,0,0,0,25,21
2007_Q4,2007,4,2007-07-20 04:01:39,60,135,72,10,5,0,0,0,0,0,0,0,0,0,0,69,31
