ID,Year,Quarter,Date,negative,positive,uncertainty,litigious,constraining,strong_modal_positive,strong_modal_negative,strong_modal_uncertainty,strong_modal_litigious,strong_modal_constraining,weak_modal_positive,weak_modal_negative,weak_modal_uncertainty,weak_modal_litigious,weak_modal_constraining,strong_modal_raw_count,weak_modal_raw_count
2020_Q4,2020,4,2021-01-20 04:20:07,26,112,72,2,1,0,0,0,0,0,0,0,0,0,0,33,48
2020_Q3,2020,3,2020-10-21 04:15:07,40,103,76,1,5,0,0,0,0,0,0,0,0,0,0,24,50
2020_Q2,2020,2,2020-07-17 04:04:07,29,173,66,2,4,0,0,0,0,0,0,0,0,0,0,36,53
2020_Q1,2020,1,2020-04-22 02:35:08,50,109,53,4,1,0,0,0,0,0,0,0,0,0,0,39,37
2019_Q4,2019,4,2020-01-22 05:10:12,58,144,66,1,4,0,0,0,0,0,0,0,0,0,0,53,40
2019_Q-1,2019,-1,2019-12-11 01:56:13,32,127,70,2,2,0,0,0,0,0,0,0,0,0,0,33,54
2019_Q3,2019,3,2019-10-17 01:34:09,35,132,52,4,7,0,0,0,0,0,0,0,0,0,0,53,39
2019_Q2,2019,2,2019-07-18 04:10:35,27,153,54,0,5,0,0,0,0,0,0,0,0,0,0,35,40
2019_Q1,2019,1,2019-04-17 02:29:22,14,143,60,3,4,0,0,0,0,0,0,0,0,0,0,33,51
2018_Q4,2018,4,2019-01-18 05:27:12,17,113,65,3,8,0,0,0,0,0,0,0,0,0,0,17,46
2018_Q0,2018,0,2018-05-15 02:47:12,48,111,59,13,7,0,0,0,0,0,0,0,0,0,0,52,40
2018_Q3,2018,3,2018-10-17 03:29:08,27,102,86,1,0,0,0,0,0,0,0,0,0,0,0,29,68
2018_Q2,2018,2,2018-07-17 01:47:10,28,137,40,1,2,0,0,0,0,0,0,0,0,0,0,33,25
2018_Q1,2018,1,2018-04-17 02:43:10,17,100,67,4,12,0,0,0,0,0,0,0,0,0,0,34,54
2017_Q4,2017,4,2018-01-23 04:44:09,38,121,59,2,4,0,0,0,0,0,0,0,0,0,0,24,32
2017_Q0,2017,0,2017-09-12 23:41:08,43,89,69,3,4,0,0,0,0,0,0,0,0,0,0,38,54
2017_Q3,2017,3,2017-10-17 04:50:07,49,156,53,4,4,0,0,0,0,0,0,0,0,0,0,33,39
2017_Q2,2017,2,2017-07-18 05:21:33,33,153,37,4,1,0,0,0,0,0,0,0,0,0,0,18,26
2017_Q1,2017,1,2017-04-18 02:35:06,20,121,42,5,3,0,0,0,0,0,0,0,0,0,0,21,23
2016_Q4,2016,4,2017-01-20 02:50:06,27,106,45,0,7,0,0,0,0,0,0,0,0,0,0,35,31
2016_Q0,2016,0,2016-09-21 02:06:11,49,108,73,4,11,0,0,0,0,0,0,0,0,0,0,28,63
2016_Q3,2016,3,2016-10-18 01:45:09,45,119,76,3,12,0,0,0,0,0,0,0,0,0,0,40,43
2016_Q2,2016,2,2016-07-19 03:18:11,50,105,85,5,8,0,0,0,0,0,1,0,0,0,0,30,65
2016_Q1,2016,1,2016-04-19 01:48:18,31,127,80,3,10,0,0,0,0,0,0,0,0,0,0,73,54
2015_Q4,2015,4,2016-01-20 04:12:18,35,116,65,4,9,0,0,0,0,0,0,0,0,0,0,34,45
2015_Q0,2015,0,2015-12-08 00:56:09,31,130,37,0,2,0,0,0,0,0,0,0,0,0,0,28,22
2015_Q3,2015,3,2015-10-15 05:54:08,56,140,60,7,9,0,0,0,0,0,0,0,0,0,0,42,42
2015_Q2,2015,2,2015-07-16 01:48:05,72,144,61,13,5,0,0,0,0,0,0,0,0,0,0,62,35
2015_Q1,2015,1,2015-04-16 02:20:08,58,114,39,6,13,0,0,0,0,0,0,0,0,0,0,31,31
