ID,Year,Quarter,Date,negative,positive,uncertainty,litigious,constraining,strong_modal_positive,strong_modal_negative,strong_modal_uncertainty,strong_modal_litigious,strong_modal_constraining,weak_modal_positive,weak_modal_negative,weak_modal_uncertainty,weak_modal_litigious,weak_modal_constraining,strong_modal_raw_count,weak_modal_raw_count
2021_Q2,2021,2,2020-12-19 01:40:05,60,224,78,6,11,0,0,0,0,0,0,0,0,0,0,52,31
2021_Q1,2021,1,2020-09-23 04:09:05,65,234,85,9,6,0,0,0,0,0,0,0,0,0,0,71,40
2020_Q4,2020,4,2020-06-26 03:10:14,79,190,75,12,11,0,0,0,0,0,0,0,0,0,0,87,34
2020_Q3,2020,3,2020-03-25 01:02:26,70,245,59,2,13,0,0,0,0,0,0,0,0,0,0,82,39
2020_Q2,2020,2,2019-12-20 03:43:10,49,292,55,12,7,0,0,0,0,0,0,0,0,0,0,69,28
2020_Q1,2020,1,2019-09-25 03:32:22,83,268,63,15,5,0,0,0,0,0,0,0,0,0,0,47,31
2019_Q4,2019,4,2019-06-28 01:14:10,69,247,64,8,7,0,0,0,0,0,0,0,0,0,0,58,31
2019_Q3,2019,3,2019-03-22 02:26:08,38,274,43,16,5,0,0,0,0,0,0,0,0,0,0,39,22
2019_Q2,2019,2,2018-12-21 04:03:08,56,276,49,12,5,0,0,0,0,0,0,0,0,0,0,52,27
2019_Q1,2019,1,2018-09-26 02:28:09,43,263,46,10,4,0,0,0,0,0,0,1,0,0,0,34,23
2018_Q0,2018,0,2018-09-20 21:40:09,25,106,22,5,11,0,0,0,0,0,0,0,0,0,0,31,12
2018_Q4,2018,4,2018-06-29 02:06:50,63,215,50,11,4,0,0,0,0,0,0,0,0,0,0,42,25
2018_Q3,2018,3,2018-03-23 02:45:09,54,226,45,16,7,0,0,0,0,0,0,0,0,0,0,79,18
2018_Q2,2018,2,2017-12-22 04:35:06,63,261,37,18,4,0,0,0,0,0,0,0,0,0,0,50,15
2018_Q1,2018,1,2017-09-27 04:03:10,82,264,66,25,6,0,0,0,0,0,0,0,0,0,0,73,32
2017_Q4,2017,4,2017-06-30 05:32:09,54,297,53,25,5,0,0,0,0,0,0,0,0,0,0,54,31
2017_Q3,2017,3,2017-03-22 00:35:08,68,262,56,14,6,0,0,0,0,0,0,0,0,0,0,66,21
2017_Q2,2017,2,2016-12-21 00:57:05,54,258,69,11,7,0,0,0,0,0,0,0,0,0,0,54,33
2017_Q1,2017,1,2016-09-28 03:03:19,45,293,41,11,7,0,0,0,0,0,0,0,0,0,0,41,23
2016_Q4,2016,4,2016-06-29 04:19:23,43,255,49,19,7,0,0,0,0,0,0,0,0,0,0,58,31
2016_Q3,2016,3,2016-03-23 02:40:14,60,255,50,17,6,0,0,0,0,0,0,0,0,0,0,41,31
2016_Q2,2016,2,2015-12-23 03:16:12,62,280,40,14,6,0,0,0,0,0,0,0,0,0,0,57,23
2016_Q1,2016,1,2015-09-25 02:34:09,47,244,70,25,7,0,0,0,0,0,0,0,0,0,0,51,43
