ID,Year,Quarter,Date,negative,positive,uncertainty,litigious,constraining,strong_modal_positive,strong_modal_negative,strong_modal_uncertainty,strong_modal_litigious,strong_modal_constraining,weak_modal_positive,weak_modal_negative,weak_modal_uncertainty,weak_modal_litigious,weak_modal_constraining,strong_modal_raw_count,weak_modal_raw_count
2020_Q3,2020,3,2020-10-30 19:45:09,120,96,76,27,6,0,0,0,0,0,0,0,0,0,0,59,31
2020_Q2,2020,2,2020-08-07 09:33:16,118,91,70,37,3,0,0,0,0,0,0,0,0,0,0,44,28
2020_Q1,2020,1,2020-05-07 21:23:23,105,114,82,20,3,0,0,0,0,0,0,0,0,0,0,83,44
2019_Q4,2019,4,2020-02-05 17:02:22,110,108,82,28,10,0,0,0,0,0,0,0,0,0,0,44,40
2019_Q3,2019,3,2019-11-01 18:34:11,109,116,70,25,20,0,0,0,0,0,0,0,0,0,0,54,27
2019_Q2,2019,2,2019-08-09 20:15:41,108,107,96,39,9,0,0,1,0,0,0,0,0,0,0,63,46
2019_Q1,2019,1,2019-05-04 01:29:10,128,88,95,35,11,0,0,0,0,0,0,0,0,0,0,36,47
2018_Q4,2018,4,2019-02-01 22:45:10,90,89,71,34,4,0,0,0,0,0,0,0,0,0,0,29,32
2018_Q3,2018,3,2018-11-01 20:34:23,106,137,67,27,4,0,0,0,0,0,0,0,0,0,0,33,27
2018_Q2,2018,2,2018-08-08 18:48:27,10,61,20,4,0,0,0,0,0,0,0,0,0,0,0,12,2
2018_Q1,2018,1,2018-05-02 17:30:13,102,104,78,36,5,0,0,0,0,0,0,1,0,0,0,52,41
2017_Q4,2017,4,2018-02-02 00:50:30,95,93,81,32,10,0,0,0,0,0,0,0,0,0,0,60,39
2017_Q3,2017,3,2017-11-02 02:13:06,100,106,79,46,8,0,0,0,0,0,0,0,0,0,0,66,21
2017_Q2,2017,2,2017-08-09 23:24:09,120,100,94,34,6,0,0,0,0,0,0,0,0,0,0,46,40
2017_Q1,2017,1,2017-05-03 17:48:20,60,115,81,27,2,0,0,0,0,0,0,0,0,0,0,72,28
2016_Q4,2016,4,2017-02-02 20:12:16,120,84,103,36,6,0,0,0,0,0,0,0,0,0,0,55,43
2016_Q3,2016,3,2016-10-28 17:55:20,120,81,88,26,8,0,0,0,0,0,0,0,0,0,0,63,28
2016_Q2,2016,2,2016-08-05 20:54:40,115,93,97,24,14,0,0,0,0,0,0,0,0,0,0,74,27
2016_Q1,2016,1,2016-05-01 08:18:32,110,109,88,43,15,0,0,0,0,0,0,1,0,0,0,59,42
2015_Q4,2015,4,2016-02-03 16:29:13,122,107,83,28,9,0,0,0,0,0,0,0,0,0,0,59,32
2015_Q3,2015,3,2015-10-31 01:22:12,127,113,88,33,8,0,0,0,0,0,0,0,0,0,0,80,41
2015_Q2,2015,2,2015-08-09 08:48:16,123,87,102,42,14,0,0,0,0,0,0,0,0,1,0,66,56
2015_Q1,2015,1,2015-05-05 02:09:08,110,106,71,32,6,0,0,0,0,0,0,0,0,0,0,89,34
2014_Q4,2014,4,2015-01-30 18:47:11,109,81,87,41,8,0,0,0,0,0,0,0,0,0,0,64,38
2014_Q3,2014,3,2014-11-04 02:42:07,137,100,82,36,8,0,0,0,0,0,0,0,0,0,0,56,38
2014_Q2,2014,2,2014-08-08 14:51:11,41,63,43,22,1,0,0,0,0,0,0,0,0,0,0,56,10
2014_Q1,2014,1,2014-05-01 18:01:03,103,129,85,27,6,0,0,0,0,0,0,0,0,0,0,59,33
2013_Q0,2013,0,2014-02-03 20:34:12,99,114,84,14,10,0,0,0,0,0,0,0,0,0,0,72,39
2013_Q4,2013,4,2014-01-31 00:01:16,89,108,87,41,10,0,0,0,0,0,0,0,0,0,0,52,29
2013_Q3,2013,3,2013-11-01 01:51:07,88,104,91,29,4,0,0,0,0,0,0,0,0,0,0,71,32
2013_Q-1,2013,-1,2013-02-11 14:01:03,56,28,49,26,22,0,0,0,0,0,0,0,0,0,0,55,20
2013_Q2,2013,2,2013-08-08 19:51:10,113,91,102,34,9,0,0,0,0,0,0,0,0,0,0,62,32
2013_Q1,2013,1,2013-05-01 20:31:17,101,102,72,40,21,0,0,0,0,0,0,0,0,0,0,97,29
2012_Q4,2012,4,2013-01-31 22:55:06,98,101,99,58,19,0,0,0,0,0,0,0,0,0,0,67,37
2012_Q3,2012,3,2012-10-31 23:06:05,93,81,97,44,5,0,0,0,0,0,1,0,0,0,0,66,36
2012_Q-1,2012,-1,2012-09-20 00:09:04,85,120,94,44,4,0,0,0,0,0,0,0,0,0,0,76,47
2012_Q2,2012,2,2012-08-09 18:01:03,97,92,74,44,6,0,0,0,0,0,0,0,0,0,0,64,30
2010_Q3,2010,3,2010-11-01 02:37:23,117,72,104,27,6,0,0,0,0,0,0,0,0,0,0,36,30
2010_Q2,2010,2,2010-08-09 22:13:16,110,71,94,41,14,0,0,0,0,0,0,0,0,0,0,48,44
2010_Q1,2010,1,2010-06-18 15:24:15,117,110,100,49,11,0,0,0,0,0,0,0,0,0,0,65,41
2010_Q-1,2010,-1,2010-06-11 23:22:14,160,173,196,59,20,0,0,0,0,0,0,0,0,0,0,130,108
2009_Q4,2009,4,2010-02-02 21:25:16,109,97,91,49,6,0,0,0,0,0,0,0,0,0,0,50,42
