ID,Year,Quarter,Date,negative,positive,uncertainty,litigious,constraining,strong_modal_positive,strong_modal_negative,strong_modal_uncertainty,strong_modal_litigious,strong_modal_constraining,weak_modal_positive,weak_modal_negative,weak_modal_uncertainty,weak_modal_litigious,weak_modal_constraining,strong_modal_raw_count,weak_modal_raw_count
2020_Q3,2020,3,2020-10-27 15:50:13,167,228,122,20,16,0,0,0,0,0,0,0,0,0,0,87,51
2020_Q2,2020,2,2020-07-21 21:41:49,184,212,119,10,15,0,0,0,0,0,0,0,0,0,0,97,40
2020_Q1,2020,1,2020-04-28 18:08:09,149,257,158,25,16,0,0,0,0,0,0,0,0,0,0,115,78
2019_Q4,2019,4,2020-01-29 23:13:11,176,298,108,24,22,0,0,0,0,0,0,0,0,0,0,77,45
2019_Q3,2019,3,2019-10-22 21:41:08,153,245,131,34,11,0,0,0,0,0,0,0,0,0,0,126,61
2019_Q2,2019,2,2019-07-18 20:58:38,184,283,134,23,12,0,0,0,0,0,0,0,0,0,0,46,76
2019_Q1,2019,1,2019-04-25 01:56:09,191,209,149,28,15,0,0,0,0,0,0,0,0,0,0,82,82
2018_Q4,2018,4,2019-01-30 19:38:09,174,331,144,30,25,0,0,0,0,0,0,0,0,0,0,148,71
2018_Q3,2018,3,2018-10-18 22:53:08,157,205,93,26,12,0,0,0,0,0,0,0,0,0,0,75,50
2018_Q2,2018,2,2018-07-18 16:54:08,130,192,107,11,12,0,0,0,0,0,0,0,0,0,0,39,62
2018_Q1,2018,1,2018-04-19 23:03:07,133,241,133,10,10,0,0,0,0,0,0,0,0,0,0,85,62
2017_Q4,2017,4,2018-01-24 22:41:14,139,292,122,10,9,0,0,0,0,0,0,0,0,0,0,98,52
2017_Q3,2017,3,2017-10-24 19:14:39,115,197,86,14,8,0,0,0,0,0,0,0,0,0,0,75,49
2017_Q2,2017,2,2017-07-18 17:50:09,124,201,95,11,7,0,0,0,0,0,0,0,0,0,0,71,50
2017_Q1,2017,1,2017-04-26 06:26:49,150,190,101,12,22,0,0,0,0,0,1,0,0,0,0,90,43
2016_Q4,2016,4,2017-01-26 16:46:08,312,506,274,47,55,0,0,0,0,0,1,0,1,0,0,255,160
2016_Q3,2016,3,2016-10-25 20:36:29,149,221,96,16,8,0,0,0,0,0,0,0,0,0,0,94,47
