ID,Year,Quarter,Date,negative,positive,uncertainty,litigious,constraining,strong_modal_positive,strong_modal_negative,strong_modal_uncertainty,strong_modal_litigious,strong_modal_constraining,weak_modal_positive,weak_modal_negative,weak_modal_uncertainty,weak_modal_litigious,weak_modal_constraining,strong_modal_raw_count,weak_modal_raw_count
2021_Q2,2021,2,2020-12-11 01:42:00,28,71,38,5,4,0,0,0,0,0,0,0,0,0,0,33,22
2021_Q1,2021,1,2020-09-11 03:03:13,38,78,42,2,7,0,0,0,0,0,0,0,0,0,0,31,25
2021_Q3,2021,3,2021-03-11 04:39:09,30,50,31,3,8,0,0,0,0,0,0,0,0,0,0,36,17
2020_Q4,2020,4,2020-06-17 02:34:09,58,139,68,13,10,0,0,0,0,0,0,0,0,0,0,49,34
2020_Q3,2020,3,2020-03-13 01:31:23,43,75,52,4,8,0,0,0,0,0,0,0,0,0,0,47,27
2020_Q2,2020,2,2019-12-13 04:52:58,45,78,45,5,6,0,0,0,0,0,0,0,0,0,0,38,26
2020_Q1,2020,1,2019-09-12 17:44:09,87,92,50,3,10,0,0,0,0,0,0,0,0,0,0,42,29
2019_Q4,2019,4,2019-06-20 03:55:10,54,88,57,3,11,0,0,0,0,0,0,0,0,0,0,53,39
2019_Q3,2019,3,2019-03-15 02:16:11,50,78,41,4,6,0,0,0,0,0,0,0,0,0,0,29,24
2019_Q2,2019,2,2018-12-18 00:36:13,27,85,43,6,4,0,0,0,0,0,0,0,0,0,0,35,24
2019_Q1,2019,1,2018-09-18 02:04:10,51,84,43,4,13,0,0,0,0,0,0,0,0,0,0,25,22
2018_Q0,2018,0,2018-11-14 22:37:11,71,61,39,27,11,0,0,0,0,0,0,0,0,0,0,29,21
2018_Q4,2018,4,2018-06-20 02:45:16,43,71,44,4,6,0,0,0,0,0,0,0,0,0,0,23,24
2018_Q3,2018,3,2018-03-20 01:41:51,49,50,51,6,5,0,0,0,0,0,0,0,0,0,0,47,30
2018_Q2,2018,2,2017-12-15 03:39:30,43,76,73,9,9,0,0,0,0,0,0,0,0,0,0,40,45
2018_Q1,2018,1,2017-09-15 03:17:08,61,89,52,3,6,0,0,0,0,0,0,0,0,0,0,51,26
2017_Q0,2017,0,2017-11-16 05:54:10,64,72,45,25,10,0,0,0,0,0,0,0,0,0,0,39,13
2017_Q4,2017,4,2017-06-22 02:00:27,73,80,66,4,5,0,0,0,0,0,0,0,0,0,0,55,35
2017_Q3,2017,3,2017-03-16 03:26:52,44,52,41,5,1,0,0,0,0,0,0,0,0,0,0,41,25
2017_Q2,2017,2,2016-12-16 02:31:13,63,93,57,6,2,0,0,0,0,0,0,0,0,0,0,44,35
2017_Q1,2017,1,2016-09-16 02:33:07,49,102,50,5,2,0,0,0,0,0,0,0,0,0,0,29,27
2016_Q4,2016,4,2016-06-17 03:27:09,44,104,57,7,4,0,0,0,0,0,0,0,0,0,0,40,34
2016_Q3,2016,3,2016-03-16 00:47:13,46,100,59,3,6,0,0,0,0,0,0,0,0,0,0,53,36
2016_Q2,2016,2,2015-12-17 04:04:08,36,87,43,3,1,0,0,0,0,0,0,0,0,0,0,36,23
2016_Q1,2016,1,2015-09-17 02:45:10,68,95,64,14,5,0,0,0,0,0,0,0,0,0,0,77,38
