ID,Year,Quarter,Date,negative,positive,uncertainty,litigious,constraining,strong_modal_positive,strong_modal_negative,strong_modal_uncertainty,strong_modal_litigious,strong_modal_constraining,weak_modal_positive,weak_modal_negative,weak_modal_uncertainty,weak_modal_litigious,weak_modal_constraining,strong_modal_raw_count,weak_modal_raw_count
2020_Q4,2020,4,2021-02-11 15:36:30,54,125,50,1,7,0,0,0,0,0,0,0,0,0,0,35,38
2020_Q3,2020,3,2020-10-01 18:47:08,74,153,62,0,16,0,0,0,0,0,0,0,0,0,0,29,43
2020_Q2,2020,2,2020-07-13 17:14:11,55,116,55,2,11,0,0,0,0,0,0,0,0,0,0,29,29
2020_Q1,2020,1,2020-04-28 16:42:19,68,129,70,3,9,0,0,0,0,0,0,0,0,0,0,44,33
2019_Q4,2019,4,2020-02-13 19:20:35,45,225,58,0,7,0,0,0,0,0,0,0,0,0,0,26,27
2019_Q3,2019,3,2019-10-03 17:57:25,53,224,42,0,1,0,0,0,0,0,0,0,0,0,0,37,17
2019_Q2,2019,2,2019-07-09 18:32:19,59,220,57,3,11,0,0,0,0,0,0,0,0,0,0,50,31
2019_Q1,2019,1,2019-04-17 23:43:11,67,241,44,2,2,0,0,0,0,0,0,0,0,0,0,50,19
2019_Q-1,2019,-1,2019-02-21 01:06:08,38,195,33,1,3,0,0,0,0,0,0,0,0,0,0,74,23
2018_Q4,2018,4,2019-02-15 19:02:14,58,263,69,1,8,0,0,0,0,0,0,0,0,0,0,61,29
2018_Q3,2018,3,2018-10-02 18:19:09,82,206,71,4,2,0,0,0,0,0,0,0,0,0,0,43,39
2018_Q2,2018,2,2018-07-10 19:01:57,72,231,63,3,7,0,0,0,0,0,0,0,0,0,0,39,37
2018_Q1,2018,1,2018-04-26 16:44:13,94,193,84,3,2,0,0,0,0,0,0,0,0,0,0,64,49
2017_Q4,2017,4,2018-02-13 18:21:51,98,242,67,2,8,0,0,0,0,0,0,1,0,0,0,55,31
2017_Q3,2017,3,2017-10-04 17:23:07,104,218,84,4,2,0,0,0,0,0,0,0,0,0,0,50,41
2017_Q2,2017,2,2017-07-11 17:59:07,71,143,65,10,4,0,0,0,0,0,0,0,0,0,0,23,30
2017_Q1,2017,1,2017-04-26 16:13:37,67,125,56,3,5,0,0,0,0,0,0,0,0,0,0,28,22
2016_Q4,2016,4,2017-02-15 16:50:19,74,154,62,3,5,0,0,0,0,0,0,0,0,0,0,34,16
2016_Q3,2016,3,2016-09-29 16:56:08,53,141,52,2,5,0,0,0,0,0,0,0,0,0,0,21,26
2016_Q-1,2016,-1,2016-09-07 17:32:08,32,133,42,1,1,0,0,0,0,0,0,0,0,0,0,30,24
2016_Q2,2016,2,2016-07-07 17:46:24,58,155,47,4,4,0,0,0,0,0,0,0,0,0,0,16,20
2016_Q1,2016,1,2016-04-18 16:48:15,69,155,74,1,3,0,0,0,0,0,0,0,0,0,0,38,34
2015_Q4,2015,4,2016-02-11 16:56:12,81,168,50,2,4,0,0,0,0,0,0,0,0,0,0,36,16
2015_Q3,2015,3,2015-10-06 15:10:08,73,128,60,1,2,0,0,0,0,0,0,0,0,0,0,32,15
2015_Q2,2015,2,2015-07-09 16:44:09,72,208,63,2,5,0,0,0,0,0,0,0,0,0,0,35,19
2015_Q1,2015,1,2015-04-23 16:52:07,88,118,66,1,7,0,0,0,0,0,0,0,0,0,0,22,27
2015_Q-1,2015,-1,2015-02-20 03:55:08,45,194,28,2,8,0,0,0,0,0,0,0,0,0,0,36,18
2014_Q4,2014,4,2015-02-11 18:47:10,82,130,67,1,6,0,0,0,0,0,0,0,0,0,0,34,22
2014_Q3,2014,3,2014-10-09 17:21:07,81,178,44,1,4,0,0,0,0,0,0,0,0,0,0,29,16
2014_Q-1,2014,-1,2014-02-20 23:04:10,47,210,30,2,6,0,0,0,0,0,0,0,0,0,0,28,19
2014_Q2,2014,2,2014-07-23 15:30:05,66,170,57,2,6,0,0,0,0,0,1,0,0,0,0,28,22
2014_Q1,2014,1,2014-04-17 17:08:15,68,157,71,0,5,0,0,0,0,0,0,0,0,0,0,39,30
2013_Q4,2013,4,2014-02-13 15:55:08,80,175,48,2,11,0,0,0,0,0,0,0,0,0,0,31,12
2013_Q3,2013,3,2013-10-16 14:42:08,96,192,80,0,3,0,0,0,0,0,0,0,0,0,0,34,24
2013_Q-1,2013,-1,2013-05-29 21:29:08,54,194,32,15,8,0,0,0,0,0,0,0,0,0,0,19,17
2013_Q2,2013,2,2013-07-24 15:08:05,42,131,40,0,1,0,0,0,0,0,0,0,0,0,0,32,11
2013_Q1,2013,1,2013-04-18 14:58:07,65,170,55,2,3,0,0,0,0,0,0,0,0,0,0,24,25
2012_Q0,2012,0,2012-05-02 22:01:10,52,89,55,22,7,0,0,0,0,0,0,0,0,0,0,44,12
2012_Q4,2012,4,2013-02-14 16:22:05,57,200,50,3,4,0,0,0,0,0,0,0,0,0,0,27,20
2012_Q3,2012,3,2012-10-17 16:11:08,86,197,43,1,2,0,0,0,0,0,0,0,0,0,0,39,21
2012_Q2,2012,2,2012-07-25 16:41:05,68,264,54,0,4,0,0,0,0,0,0,0,0,0,0,44,28
2012_Q1,2012,1,2012-04-26 16:51:09,74,247,64,3,2,0,0,0,0,0,0,0,0,0,0,47,35
2011_Q4,2011,4,2012-02-09 20:41:08,167,372,120,6,15,0,0,0,0,0,0,0,0,0,0,163,50
2011_Q3,2011,3,2011-10-12 17:21:16,62,181,52,1,7,0,0,0,0,0,0,0,0,0,0,47,28
2011_Q2,2011,2,2011-07-21 16:51:12,72,154,70,1,8,0,0,0,0,0,0,0,0,0,0,54,41
2011_Q1,2011,1,2011-04-28 18:51:24,83,131,58,0,13,0,0,0,0,0,0,0,0,0,0,56,30
2010_Q4,2010,4,2011-02-10 18:01:20,64,232,50,1,3,0,0,0,0,0,0,0,0,0,0,54,23
2010_Q3,2010,3,2010-10-07 16:48:38,61,261,33,2,8,0,0,0,0,0,0,0,0,0,0,52,14
2010_Q2,2010,2,2010-07-20 17:41:43,53,323,45,4,12,0,0,0,0,0,0,0,0,0,0,66,21
2010_Q1,2010,1,2010-04-22 16:13:13,85,213,42,4,6,0,0,0,0,0,0,1,0,0,0,46,15
2009_Q4,2009,4,2010-02-11 19:59:11,55,224,50,6,14,0,0,0,0,0,0,0,0,0,0,84,26
2009_Q3,2009,3,2009-10-08 17:23:11,68,211,32,3,5,0,0,0,0,0,0,0,0,0,0,60,20
2009_Q2,2009,2,2009-07-22 17:38:49,83,184,55,1,7,0,0,0,0,0,0,0,0,0,0,40,24
2009_Q1,2009,1,2009-04-20 22:15:20,90,220,69,5,16,0,0,0,0,0,0,0,0,0,0,59,38
2008_Q4,2008,4,2009-02-13 18:27:11,88,200,54,0,6,0,0,0,0,0,0,0,0,0,0,76,25
