ID,Year,Quarter,Date,negative,positive,uncertainty,litigious,constraining,strong_modal_positive,strong_modal_negative,strong_modal_uncertainty,strong_modal_litigious,strong_modal_constraining,weak_modal_positive,weak_modal_negative,weak_modal_uncertainty,weak_modal_litigious,weak_modal_constraining,strong_modal_raw_count,weak_modal_raw_count
2020_Q4,2020,4,2021-02-02 21:42:09,104,219,173,16,19,0,0,0,0,0,0,0,0,0,0,152,81
2020_Q3,2020,3,2020-10-27 20:14:09,162,215,104,2,13,0,0,0,0,0,0,0,1,0,0,133,45
2020_Q2,2020,2,2020-07-28 23:47:10,153,224,124,18,15,0,0,0,0,0,0,0,1,0,0,109,64
2020_Q0,2020,0,2020-06-09 20:48:13,49,112,69,3,7,0,0,0,0,0,0,0,0,0,0,108,37
2020_Q1,2020,1,2020-04-28 23:31:36,154,213,130,35,12,0,0,0,0,0,0,0,0,0,0,102,49
2019_Q4,2019,4,2020-01-28 21:56:09,125,233,124,15,5,0,0,0,0,0,0,0,0,0,0,97,54
2019_Q0,2019,0,2019-01-07 19:44:08,34,68,27,0,4,0,0,0,0,0,0,0,0,0,0,44,17
2019_Q3,2019,3,2019-10-29 22:44:08,122,188,89,7,11,0,0,0,0,0,0,1,0,0,0,78,39
2019_Q2,2019,2,2019-07-29 20:36:09,132,165,93,14,4,0,0,0,0,0,0,0,0,0,0,114,27
2019_Q1,2019,1,2019-04-30 18:12:24,140,186,91,19,11,0,0,0,0,0,0,0,0,0,0,76,44
2018_Q4,2018,4,2019-01-30 01:08:08,147,238,99,8,12,0,0,0,0,0,0,0,0,0,0,88,32
2018_Q3,2018,3,2018-10-30 20:19:19,148,255,94,9,9,0,0,0,0,0,0,0,0,0,0,94,35
2018_Q2,2018,2,2018-07-31 19:48:14,124,192,109,8,12,0,0,0,0,0,0,0,0,0,0,96,40
2018_Q1,2018,1,2018-05-01 19:42:02,138,175,126,19,9,0,0,0,0,0,0,0,0,0,0,81,55
2018_Q-1,2018,-1,2018-01-08 22:35:10,34,82,25,2,0,0,0,0,0,0,0,0,0,0,0,23,14
2017_Q4,2017,4,2018-01-31 01:29:09,180,215,127,16,13,0,0,0,0,0,0,0,0,0,0,83,42
2017_Q3,2017,3,2017-10-31 20:00:46,183,154,119,36,14,0,0,0,0,0,0,0,0,0,0,81,62
2017_Q-1,2017,-1,2017-03-15 23:41:07,24,38,45,5,2,0,0,0,0,0,0,0,0,0,0,48,26
2017_Q2,2017,2,2017-08-01 19:40:32,139,177,101,18,9,0,0,0,0,0,0,0,0,0,0,56,42
2017_Q1,2017,1,2017-05-02 19:50:19,151,173,125,20,12,0,0,0,0,0,0,0,0,0,0,83,60
2017_Q0,2017,0,2017-01-10 23:00:08,41,89,42,1,7,0,0,0,0,0,0,0,0,0,0,55,24
2016_Q4,2016,4,2017-01-31 22:20:32,184,178,143,20,12,0,0,0,0,0,0,0,0,0,0,104,54
