ID,Year,Quarter,Date,negative,positive,uncertainty,litigious,constraining,strong_modal_positive,strong_modal_negative,strong_modal_uncertainty,strong_modal_litigious,strong_modal_constraining,weak_modal_positive,weak_modal_negative,weak_modal_uncertainty,weak_modal_litigious,weak_modal_constraining,strong_modal_raw_count,weak_modal_raw_count
2021_Q2,2021,2,2021-01-20 17:43:11,113,135,82,6,7,0,0,0,0,0,0,0,0,0,0,54,38
2021_Q1,2021,1,2020-10-20 16:04:09,104,136,67,2,6,0,0,0,0,0,0,1,1,0,0,33,34
2020_Q4,2020,4,2020-07-30 18:25:09,108,191,67,2,16,0,0,0,0,0,0,0,0,0,0,79,28
2020_Q3,2020,3,2020-04-17 20:06:50,179,177,108,6,14,0,0,0,0,0,0,0,0,0,0,88,51
2020_Q2,2020,2,2020-01-23 19:59:10,91,192,46,3,12,0,0,0,0,0,0,0,0,0,0,64,27
2020_Q1,2020,1,2019-10-22 17:32:25,88,199,62,1,7,0,0,0,0,0,0,0,0,0,0,40,36
2019_Q-1,2019,-1,2019-02-23 02:38:11,51,188,33,3,9,0,0,0,0,0,0,0,0,0,0,33,25
2019_Q4,2019,4,2019-07-30 20:25:40,121,331,78,3,19,0,0,0,0,0,0,0,0,0,0,55,44
2019_Q3,2019,3,2019-04-23 19:57:22,92,207,68,1,7,0,0,0,0,0,0,0,0,0,0,53,30
2019_Q2,2019,2,2019-01-23 18:30:14,123,218,68,2,5,0,0,0,0,0,0,0,0,0,0,57,37
2019_Q1,2019,1,2018-10-19 18:09:06,113,187,69,2,5,0,0,0,0,0,0,0,0,0,0,40,33
2018_Q-1,2018,-1,2018-06-14 19:35:22,56,172,27,6,7,0,0,0,0,0,0,0,0,0,0,40,15
2018_Q4,2018,4,2018-07-31 18:20:21,115,367,121,9,19,0,0,0,0,0,0,0,0,0,0,96,59
2018_Q3,2018,3,2018-04-19 20:50:09,152,338,86,11,13,0,0,0,0,0,0,0,0,0,0,105,37
