ID,Year,Quarter,Date,negative,positive,uncertainty,litigious,constraining,strong_modal_positive,strong_modal_negative,strong_modal_uncertainty,strong_modal_litigious,strong_modal_constraining,weak_modal_positive,weak_modal_negative,weak_modal_uncertainty,weak_modal_litigious,weak_modal_constraining,strong_modal_raw_count,weak_modal_raw_count
2020_Q4,2020,4,2021-02-04 21:04:06,99,223,107,9,26,0,0,0,0,0,0,0,0,0,0,89,41
2020_Q3,2020,3,2020-10-20 20:33:08,99,183,89,5,13,0,0,0,0,0,0,0,0,0,0,50,42
2020_Q2,2020,2,2020-07-21 21:09:08,198,223,140,10,29,0,0,0,0,0,0,0,0,0,0,56,59
2020_Q1,2020,1,2020-04-21 18:30:07,180,110,134,2,32,0,0,0,0,0,0,0,0,0,0,54,58
2019_Q4,2019,4,2020-02-06 19:43:34,110,176,87,6,13,0,0,0,0,0,0,0,0,0,0,55,24
2019_Q-1,2019,-1,2019-02-21 00:27:13,59,111,67,13,13,0,0,0,0,0,0,0,0,0,0,68,28
2019_Q3,2019,3,2019-10-17 18:50:12,106,154,119,11,8,0,0,0,0,0,0,0,0,0,0,41,38
2019_Q2,2019,2,2019-07-18 17:57:24,69,163,91,4,7,0,0,0,0,0,0,0,0,0,0,57,31
2019_Q1,2019,1,2019-04-18 19:19:08,71,156,91,7,7,0,0,0,0,0,0,0,0,0,0,30,35
2018_Q4,2018,4,2019-02-08 07:59:06,96,168,101,4,8,0,0,0,0,0,0,0,0,0,0,62,41
2018_Q3,2018,3,2018-10-18 19:51:57,67,147,86,7,13,0,0,0,0,0,0,0,0,0,0,43,46
2018_Q2,2018,2,2018-07-19 19:52:11,98,229,128,9,9,0,0,0,0,0,0,0,0,0,0,68,40
2018_Q1,2018,1,2018-04-19 18:41:08,129,171,130,8,10,0,0,0,0,0,0,0,0,0,0,59,50
2017_Q4,2017,4,2018-02-08 23:26:08,124,169,126,18,19,0,0,1,0,0,0,0,0,0,0,92,39
2017_Q-1,2017,-1,2017-09-08 02:47:06,47,60,50,11,5,0,0,0,0,0,0,0,0,0,0,61,28
2017_Q3,2017,3,2017-10-19 19:28:13,109,131,105,11,20,0,0,0,0,0,0,0,0,0,0,96,40
2017_Q2,2017,2,2017-07-20 20:51:26,119,168,95,3,18,0,0,0,0,0,0,0,0,0,0,89,41
2017_Q1,2017,1,2017-04-20 19:23:12,118,111,72,3,8,0,1,0,0,0,0,0,0,0,0,45,37
2016_Q4,2016,4,2017-02-02 19:34:19,105,104,101,13,17,0,0,0,0,0,0,0,0,0,0,83,37
2016_Q-1,2016,-1,2016-03-22 00:58:09,70,92,58,7,3,0,0,0,0,0,0,0,0,0,0,43,29
2016_Q3,2016,3,2016-10-18 19:13:18,66,75,73,3,12,0,0,0,0,0,0,0,0,0,0,50,36
2016_Q2,2016,2,2016-07-19 17:32:19,95,102,73,0,4,0,0,0,0,0,0,0,0,0,0,37,39
2016_Q1,2016,1,2016-04-19 17:52:32,121,155,100,0,6,0,0,0,0,0,0,0,0,0,0,57,51
2015_Q4,2015,4,2016-02-04 21:20:14,110,152,70,3,2,0,0,0,0,0,0,0,0,0,0,64,28
2015_Q-1,2015,-1,2015-02-19 02:30:10,83,171,72,10,6,0,0,0,0,0,0,0,0,0,0,57,21
2015_Q3,2015,3,2015-10-15 18:57:04,117,212,115,18,16,0,0,0,0,0,0,0,0,0,0,88,47
2015_Q2,2015,2,2015-07-16 18:56:09,120,163,109,23,14,0,0,0,0,0,0,0,0,0,0,69,61
2015_Q1,2015,1,2015-04-16 17:15:04,65,137,59,4,2,0,0,0,0,0,0,0,0,0,0,22,31
